phrase	length	count
straat 	1	211
weg 	1	105
van 	1	60
laan 	1	56
donkinstraat 	1	49
avenue 	1	39
voortrekkerstraat 	1	39
skool 	1	30
kerkstraat 	1	28
the 	1	25
de 	1	23
putfonteinweg 	1	22
rylaan 	1	22
jan 	1	19
hoërskool 	1	19
primêre skool 	2	18
primêre 	1	18
mainweg 	1	17
victoriaweg 	1	17
kerk 	1	15
drakensbergrylaan 	1	15
hexrivierpas 	1	15
jonker 	1	14
der 	1	14
du 	1	14
jonker weg 	2	14
laerskool 	1	14
jan jonker weg 	3	13
singel 	1	13
hoofweg 	1	13
heidelbergweg 	1	13
jan jonker 	2	13
van der 	2	13
kloofweg 	1	13
st 	1	13
kommetjieweg 	1	12
ou 	1	11
sint 	1	11
camps 	1	11
bayrylaan 	1	11
pad 	1	11
camps bayrylaan 	2	11
kaapseweg 	1	10
ou kaapseweg 	2	10
hoog 	1	9
saint 	1	9
hoog straat 	2	9
eros 	1	9
stasie 	1	9
eros weg 	2	9
president 	1	8
walk 	1	8
mark 	1	8
genevarylaan 	1	8
hutchinsonlaan 	1	7
spoordienspad 	1	7
hans 	1	7
hely hutchinsonlaan 	2	7
greystraat 	1	7
watermeyerstraat 	1	7
stasie straat 	2	7
hely 	1	7
madadeniweg 	1	7
nelson 	1	7
mark st 	2	7
langstraat 	1	7
theresalaan 	1	7
nightingalestraat 	1	7
caprirylaan 	1	7
hospitaal 	1	6
john 	1	6
die 	1	6
griffith straat 	2	6
shanklinsingel 	1	6
princessstraat 	1	6
houtbaai 	1	6
olienhoutlaan 	1	6
hoofstraat 	1	6
sprigg straat 	2	6
boulevard 	1	6
plessis 	1	6
inglesideweg 	1	6
schröderstraat 	1	6
avenue de 	2	6
kaapschehoopweg 	1	6
hangklip weg 	2	6
aspeneinde 	1	6
road 	1	6
sprigg 	1	6
griffith 	1	6
viljoenstraat 	1	6
verlatenkloofpas 	1	6
president laan 	2	6
edgemead rylaan 	2	6
kerk straat 	2	6
houtbaai mainweg 	2	6
du plessis 	2	6
hangklip 	1	6
mandelaweg 	1	6
albanyweg 	1	6
eagleplek 	1	6
hoof 	1	6
linkweg 	1	6
edgemead 	1	6
fish eagleplek 	2	5
fish 	1	5
high 	1	5
boundarystraat 	1	5
treeweg 	1	5
sekondêre 	1	5
longboatstraat 	1	5
chas boothlaan 	2	5
hoopstraat 	1	5
ng 	1	5
earlstraat 	1	5
grand bahamarylaan 	2	5
athollweg 	1	5
allenstraat 	1	5
ravensteynweg 	1	5
llandudnoweg 	1	5
grand 	1	5
shetlandrylaan 	1	5
voortrekkerlaan 	1	5
voortrekker 	1	5
avenue saint 	2	5
in 	1	5
bahamarylaan 	1	5
john magagulastraat 	2	5
fiskaalweg 	1	5
oaklaan 	1	5
piet 	1	5
ng kerk 	2	5
sekondêre skool 	2	5
magagulastraat 	1	5
blue 	1	5
mount 	1	5
lady greystraat 	2	5
bergstraat 	1	5
county road 	2	5
county 	1	5
park 	1	5
dameskoshuis 	1	5
bordeauxweg 	1	5
hans strydomlaan 	2	5
boothlaan 	1	5
serruriasirkel 	1	5
chas 	1	5
strydomlaan 	1	5
lady 	1	5
