road 	1	557
መንገድ 	1	384
ቤት 	1	154
bahir 	1	132
bahir dar 	2	132
dar 	1	132
to 	1	131
mek'ele-weldiya 	1	129
mek'ele-weldiya road 	2	129
awash 	1	105
gonder 	1	103
ባንክ 	1	94
mosque 	1	93
highway 	1	90
gonder road 	2	90
school 	1	79
of 	1	77
church 	1	74
addis 	1	74
jimma 	1	70
unknown 	1	68
bank 	1	62
ት 	1	58
ሬስቶራንት 	1	58
ababa 	1	57
addis ababa 	2	57
unknown mosque 	2	55
ከተማ 	1	55
ቀለበት መንገድ 	2	54
ቀለበት 	1	54
hut 	1	53
assab 	1	52
nekemte 	1	52
ጎዳና 	1	50
ካፌ 	1	49
street 	1	48
assab highway 	2	47
minch 	1	46
jimma road 	2	45
arba 	1	44
arba minch 	2	44
ደረጃ 	1	44
asseb 	1	43
restaurant 	1	43
asseb highway 	2	43
fuel 	1	41
health 	1	40
ክፍለ ከተማ 	2	39
ክፍለ 	1	39
ቅርንጫፍ 	1	38
ቤተ 	1	38
bahir dar road 	3	38
asosa 	1	38
dar road 	2	38
ጽ 	1	38
cafe 	1	38
አፍሪካ 	1	37
አስተዳደር 	1	37
ኤምባሲ 	1	36
menschen 	1	36
station 	1	36
ከተማ የወረዳ 	2	35
አስተዳደር ጽ 	2	35
የኢትዮጵያ 	1	35
ክፍለ ከተማ የወረዳ 	3	35
የወረዳ 	1	35
robe 	1	35
ambo 	1	34
ደረጃ ት 	2	33
የመጀመሪያ 	1	32
ambo road 	2	32
ቶታል 	1	32
ቤተ ክርስቲያን 	2	32
guba 	1	32
ክርስቲያን 	1	32
ደጃ 	1	31
post 	1	31
bete 	1	31
ች 	1	31
expressway 	1	30
addis-adama 	1	30
addis-adama expressway 	2	30
ንግድ 	1	29
ንግድ ባንክ 	2	29
ቅዱስ 	1	29
sodo 	1	29
የመጀመሪያ ደረጃ 	2	28
mariam 	1	27
bete kristiyan 	2	27
ኦሊቢያ 	1	27
የኢትዮጵያ ንግድ 	2	27
market 	1	27
kristiyan 	1	27
የኢትዮጵያ ንግድ ባንክ 	3	27
ሆስፒታል 	1	27
ኢንተርናሽናል 	1	27
ring road 	2	27
ring 	1	27
secondary 	1	26
to arba minch 	3	26
አፍሪካ ጎዳና 	2	26
to arba 	2	26
bus 	1	25
ethiopia 	1	25
total 	1	24
ፖሊስ 	1	24
office 	1	24
secondary school 	2	24
sodo to 	2	23
sodo to arba minch 	4	23
sodo to arba 	3	23
hotel 	1	23
bus station 	2	23
guba road 	2	22
hospital 	1	22
college 	1	22
center 	1	22
and 	1	21
bet 	1	21
st. 	1	21
bank of 	2	21
አባ 	1	21
clinic 	1	20
new 	1	20
negele 	1	20
փողոց 	1	20
university 	1	20
የመጀመሪያ ደረጃ ት 	3	19
commercial bank 	2	19
commercial 	1	19
ኢንተርናሽናል ባንክ 	2	19
ባርና ሬስቶራንት 	2	18
fuer menschen 	2	18
debre 	1	18
primary school 	2	18
ኖክ 	1	18
health post 	2	18
fuer 	1	18
konso 	1	18
the 	1	18
of ethiopia 	2	18
abaya 	1	18
bank of ethiopia 	3	18
menschen fuer 	2	18
primary 	1	18
menschen fuer menschen 	3	18
ባርና 	1	18
አካባቢ 	1	17
նորքի 	1	17
abaya secondary school 	3	17
rd 	1	17
police 	1	17
መድሃኒት 	1	17
abaya secondary 	2	17
international 	1	16
metu 	1	16
asosa road 	2	16
maryam 	1	16
robe road 	2	16
commercial bank of ethiopia 	4	16
