phrase	length	count
شارع 	1	12735
al 	1	4395
الطريق 	1	2789
مسجد 	1	2676
مدرسة 	1	2584
طريق 	1	2353
بن 	1	1975
عبد 	1	1464
الصحية 	1	1367
نهج 	1	1321
الوحدة 	1	1299
الوحدة الصحية 	2	1249
السيار 	1	1156
الطريق السيار 	2	1156
محمد 	1	1133
شرق-غرب 	1	1042
الطريق السيار شرق-غرب 	3	1042
السيار شرق-غرب 	2	1042
مركز 	1	1014
الوطنية 	1	836
bin 	1	825
تونس 	1	813
الطريق الوطنية 	2	801
جامع 	1	664
صيدلية 	1	645
أبو 	1	611
وحدة 	1	601
زنقة 	1	578
الصحي 	1	529
الشيخ 	1	516
شارع محمد 	2	506
محطة 	1	498
مستشفى 	1	491
سيدي 	1	483
علي 	1	475
بيت 	1	462
مطعم 	1	462
الطريق الوطنية تونس 	3	458
الوطنية تونس 	2	458
المركز 	1	458
عمر 	1	456
school 	1	454
أحمد 	1	447
الملك 	1	435
دير 	1	429
ibn 	1	415
الثانوية 	1	405
للبنات 	1	398
إبن 	1	395
ابن 	1	395
ابو 	1	394
جادة 	1	393
شارع عبد 	2	390
الوطني 	1	389
المركز الصحي 	2	388
الله 	1	364
روضة 	1	345
ها 	1	343
السريعة 	1	337
الدين 	1	335
شرطة 	1	331
الطريق السريعة 	2	329
السريعة تونس 	2	329
الطريق السريعة تونس 	3	329
mosque 	1	328
الدائري 	1	324
القدس 	1	319
صحية 	1	316
station 	1	308
restaurant 	1	308
وحدة صحية 	2	305
مكتب 	1	302
بنك 	1	294
للبنين 	1	288
مار 	1	285
بني 	1	281
جامعة 	1	281
ليبيا 	1	278
العزيز 	1	274
وادي 	1	272
hospital 	1	272
بيغن 	1	269
مناحيم 	1	269
مناحيم بيغن 	2	269
عبد العزيز 	2	264
كلية 	1	252
منطقة 	1	251
السلام 	1	241
ould 	1	234
el 	1	233
جمعية 	1	231
الاساسية 	1	230
حسن 	1	229
رأس 	1	227
عيادة 	1	225
الجزائر 	1	225
شركة 	1	225
parking 	1	223
البحر 	1	221
الشهيد 	1	221
غوريون 	1	221
بن غوريون 	2	221
هرتسل 	1	217
صلاح 	1	213
سوق 	1	212
عمر بن 	2	212
إمام 	1	212
بنزرت 	1	211
شارع أحمد 	2	210
عبد الله 	2	209
صفاقس 	1	209
سوسة 	1	204
طريق الملك 	2	201
خط 	1	199
المطار 	1	198
شارع الشيخ 	2	198
أتستراد 	1	198
إبراهيم 	1	197
محمود 	1	196
خالد 	1	193
موشيه 	1	192
بكر 	1	189
البنك 	1	188
الخطاب 	1	187
دوار 	1	187
مركز شرطة 	2	186
و 	1	185
سفارة 	1	184
r 	1	183
صحي 	1	182
ثانوية 	1	181
العامة 	1	181
mohammed 	1	181
الدكتور 	1	178
center 	1	177
cafe 	1	177
يوسف 	1	174
شارع عمر 	2	173
وقود 	1	173
حسين 	1	171
التجنب 	1	171
مصطفى 	1	170
أتستراد البحر 	2	170
مركز صحي 	2	169
شارع أبو 	2	167
الجنوبي 	1	166
الصديق 	1	166
آل 	1	165
الطريق الدائري 	2	164
abi 	1	163
جمال 	1	162
كنيسة 	1	157
عثمان 	1	155
مستوصف 	1	155
رأس جدير 	2	154
وزو 	1	154
جدير 	1	154
بنات 	1	153
مدرسه 	1	152
abdullah 	1	150
احمد 	1	149
بلدية 	1	149
بن الخطاب 	2	148
de 	1	148
المدرسة 	1	147
دار 	1	147
عين 	1	147
بار 	1	146
جابوتنسكي 	1	145
سعد 	1	144
حارة 	1	144
عمر بن الخطاب 	3	143
ميدان 	1	140
pizza 	1	140
الأول 	1	140
أبي 	1	140
البريد 	1	139
عربة 	1	137
الابتدائية 	1	137
مجلس 	1	136
مخفر 	1	136
وادي عربة 	2	136
الوليد 	1	136
mountain 	1	134
هَزايت 	1	133
pharmacy 	1	132
تينا 	1	132
بن عبد 	2	132
طبرقة 	1	131
بكر الصديق 	2	131
ساحة 	1	129
باشا 	1	129
النور 	1	128
تكسي 	1	127
الدرك 	1	127
الرحمن 	1	126
ali 	1	126
محطه 	1	126
مجمع 	1	126
سعيد 	1	125
وايزمان 	1	125
وزارة 	1	125
الكرمة 	1	125
الخليل 	1	125
الثانوية للبنات 	2	125
هَبَنيم 	1	124
سلام 	1	124
الدرك الوطني 	2	123
الأمير 	1	122
abu 	1	122
قصر 	1	122
hut 	1	120
المدينة 	1	119
الشهداء 	1	118
النيل 	1	118
الجامعة 	1	118
العام 	1	118
مصر 	1	117
المديرية 	1	117
route 	1	117
b 	1	116
عبد القادر 	2	116
القادر 	1	116
العربي 	1	114
موقف 	1	114
petrol 	1	114
سالم 	1	114
الشمالي 	1	114
الطريق السيار الجزائر-تيزي 	3	113
فلسطين 	1	113
السيار الجزائر-تيزي وزو 	3	113
hangar 	1	113
الجزائر-تيزي وزو 	2	113
الجزائر-تيزي 	1	113
السيار الجزائر-تيزي 	2	113
الطريق السيار الجزائر-تيزي وزو 	4	113
دفاع 	1	113
الكرمل 	1	112
الإبتدائية 	1	112
يهودا 	1	112
صلاح الدين 	2	111
سليمان 	1	111
كفر 	1	111
قبر 	1	111
جسر 	1	111
police 	1	111
ام 	1	111
counter 	1	111
ديفيد 	1	111
أبو بكر 	2	110
الحرية 	1	110
موسى 	1	110
زيد 	1	109
العربية 	1	109
هَميلِخ 	1	109
السيد 	1	108
واد 	1	108
دير مار 	2	108
الناصر 	1	108
النصر 	1	108
سيد 	1	108
مكتب البريد 	2	108
المديرية العامة 	2	108
سليم 	1	108
الحسن 	1	107
mohamed 	1	106
للأمن 	1	106
شارع إبن 	2	106
محطه وقود 	2	106
إسماعيل 	1	106
للأمن الوطني 	2	106
متوسطة 	1	105
house 	1	105
العامة للأمن 	2	105
المديرية العامة للأمن الوطني 	4	105
حي 	1	105
المديرية العامة للأمن 	3	105
العامة للأمن الوطني 	3	105
international 	1	104
بريد 	1	104
الكبير 	1	104
ديوان 	1	104
ريمون 	1	103
مقهى 	1	102
ها تينا 	2	102
ال 	1	102
شارع الدكتور 	2	102
a 	1	102
فهد 	1	102
مدرسة بنات 	2	102
اسحق 	1	102
building 	1	102
شارع حسن 	2	101
حاييم 	1	101
ها ريمون 	2	100
رمبام 	1	99
الثانوية للبنين 	2	99
الثاني 	1	99
صالح 	1	98
جمال عبد 	2	97
القاهرة 	1	97
عبد الناصر 	2	97
شارع علي 	2	97
جبل 	1	96
باب 	1	96
والمواصلات 	1	95
بياليك 	1	95
التجنب الجنوبي 	2	95
مقبرة 	1	94
المستشفى 	1	94
الامام 	1	93
معهد 	1	93
جمال عبد الناصر 	3	93
البريد والمواصلات 	2	92
مكتب البريد والمواصلات 	3	92
تعز 	1	92
الطبي 	1	92
محمد بن 	2	92
مالك 	1	91
مكتبة 	1	91
تل 	1	91
المعهد 	1	91
mohammed bin 	2	91
كيرين 	1	91
صنعاء 	1	90
university 	1	90
شارع الشهيد 	2	90
أبو بكر الصديق 	3	90
الإمام 	1	90
فيصل 	1	89
طالب 	1	89
petrol station 	2	89
عفان 	1	88
طريق المطار 	2	88
kfc 	1	88
أم 	1	87
الملك فهد 	2	87
بن تسفي 	2	87
تسفي 	1	87
القديم 	1	87
شارع صلاح 	2	86
مخفر شرطة 	2	86
عبدالله 	1	86
שביל 	1	86
ذكور 	1	86
الملك عبد 	2	85
هَيسود 	1	85
شارع الملك 	2	85
يِهودا 	1	85
كوبري 	1	85
كيرين هَيسود 	2	85
الجزائري 	1	85
مدرسة ذكور 	2	85
office 	1	84
يتْسحاك 	1	84
يِهودا هاليڨي 	2	84
clinic 	1	84
خليل 	1	84
هاليڨي 	1	84
الجديد 	1	83
الجيش 	1	83
ahmad 	1	83
قاعة 	1	83
طه 	1	83
أرلوزوروڤ 	1	83
كامل 	1	83
car 	1	83
شارع محمود 	2	82
اسحق رابين 	2	82
road 	1	82
رابين 	1	82
ahmed 	1	82
هَألون 	1	81
الجديدة 	1	80
public 	1	80
شارع جمال 	2	80
عمار 	1	80
ألون 	1	80
شارع احمد 	2	80
الخليج 	1	79
شارع مصطفى 	2	79
primary 	1	79
سيدة 	1	79
هَچَليل 	1	79
الحميد 	1	79
التعابير 	1	79
بحيرة 	1	79
bar 	1	78
שביל הגולן 	2	78
كورنيش 	1	78
הגולן 	1	78
بيروت 	1	78
هَتَماَر 	1	78
مسجد عمر 	2	77
عبد الحميد 	2	77
بن عبد العزيز 	3	77
for 	1	77
pizza hut 	2	76
الكورنيش 	1	76
ابي 	1	76
السوق 	1	76
الاقليمى 	1	75
شارع إبراهيم 	2	75
الايتسل 	1	75
سيارات 	1	75
الطريق الاقليمى 	2	75
mcdonald's 	1	74
البلدية 	1	74
بنت 	1	74
مصنع 	1	73
شارع ابن 	2	73
مشفى 	1	73
خالد بن 	2	73
عمارة 	1	73
نفق 	1	72
الى 	1	72
البنك الوطني 	2	72
ابراهيم 	1	72
بدر 	1	72
adnoc 	1	72
ديوان ال 	2	71
السيدة 	1	71
الاجتنابي 	1	71
الطريق الاجتنابي 	2	71
الحبيب 	1	70
شاريت 	1	70
السلطان 	1	70
st 	1	70
موشيه شاريت 	2	70
سلطان 	1	70
تْساهل 	1	69
أمين 	1	69
الجامع 	1	69
في 	1	69
علي بن 	2	69
الحياة 	1	69
الرحمة 	1	69
wadi 	1	69
المختلطة 	1	68
المسجد 	1	68
السيارات 	1	68
الشارع 	1	68
خالد بن الوليد 	3	67
villa 	1	67
چَلوْيوت 	1	67
هَمَعْپيليم 	1	67
غولومب 	1	67
كيبوتس چَلوْيوت 	2	67
كيبوتس 	1	67
بن الوليد 	2	67
طريق الخليل 	2	67
ها سلام 	2	67
المستقبل 	1	66
عبدالعزيز 	1	66
طريق الملك فهد 	3	66
الريفية 	1	66
الخيرية 	1	66
سعود 	1	66
الصحية بني 	2	65
سديه 	1	65
قروي 	1	65
محطة وقود 	2	65
مسجد عمر بن 	3	65
