phrase	length	count
yolu 	1	2482
saylı 	1	535
məktəb 	1	375
döngə 	1	371
saylı məktəb 	2	310
məktəbi 	1	292
kənd 	1	188
bakı-ələt-qazax-gürcüstan yolu 	2	182
bakı-ələt-qazax-gürcüstan 	1	182
küç. 	1	169
uşaq 	1	168
kənd məktəbi 	2	164
əliyev 	1	157
bağçası 	1	117
uşaq bağçası 	2	116
pr. 	1	114
bakı-quba-rusiya yolu 	2	100
bakı-quba-rusiya 	1	100
küçəsi 	1	91
küçə 	1	91
saylı uşaq 	2	91
bulvarı 	1	87
heydər 	1	85
heydər əliyev 	2	78
saylı uşaq bağçası 	3	77
mərkəzi 	1	74
nizami 	1	72
keçid 	1	70
bakı-ələt-astara-iran yolu 	2	64
bakı-ələt-astara-iran 	1	64
orta 	1	60
küçə döngə 	2	54
bəy 	1	53
polis 	1	50
dalan 	1	50
nərimanov 	1	47
azərbaycan 	1	47
mirzə 	1	46
petrol 	1	46
idarəsi 	1	45
evi 	1	44
bakı 	1	43
bakı-şamaxı-yevlax yolu 	2	41
həsən 	1	41
restoranı 	1	41
bakı-şamaxı-yevlax 	1	41
səməd 	1	40
axundov 	1	40
şossesi 	1	40
sarayı 	1	40
yanvar 	1	40
nəriman nərimanov 	2	39
şadlıq 	1	39
nəriman 	1	39
məşədi 	1	39
əzizbəyov 	1	39
moskva 	1	39
kafesi 	1	38
koroğlu 	1	38
ziya 	1	37
bünyadov 	1	37
prospekti 	1	36
məşədi əzizbəyov 	2	36
məmməd 	1	36
ziya bünyadov 	2	36
yevlax-zaqatala-gürcüstan yolu 	2	35
xəstəxanası 	1	35
yevlax-zaqatala-gürcüstan 	1	35
babək 	1	35
şöbəsi 	1	34
xanlar 	1	34
atm 	1	33
və 	1	33
bank 	1	33
hüseyn 	1	32
səməd vurğun 	2	32
şosesi 	1	32
vurğun 	1	32
əliyev pr. 	2	31
aşağı 	1	31
heydər əliyev pr. 	3	31
mehdi 	1	31
mikayıl 	1	31
məscidi 	1	31
musiqi 	1	31
binəqədi 	1	30
şadlıq sarayı 	2	30
məmmədov 	1	30
musiqi məktəbi 	2	30
şəhid 	1	29
liseyi 	1	29
yeni 	1	28
ələkbər 	1	28
sabir 	1	28
üzeyir 	1	28
ismayılov 	1	28
ələkbər sabir 	2	27
mirzə ələkbər sabir 	3	27
aptek 	1	27
zərdabi 	1	27
st. 	1	27
mirzə ələkbər 	2	27
məscid 	1	27
adına 	1	27
bəy zərdabi 	2	26
rayon 	1	26
həsən bəy zərdabi 	3	26
abbasov 	1	26
həsən bəy 	2	26
road 	1	26
şəhər 	1	26
hacıbəyov 	1	25
kafe 	1	25
cəfər 	1	25
küçesi 	1	25
üzeyir hacıbəyov 	2	25
gülüstan 	1	25
ilqar 	1	25
peşə 	1	24
müşfiq 	1	24
aeroport 	1	24
çayxana 	1	24
əli 	1	24
school 	1	24
heydər əliyev prospekti 	3	23
məntəqəsi 	1	23
hüseynzadə 	1	23
mikayıl müşfiq 	2	23
universiteti 	1	23
institutu 	1	23
əliyev prospekti 	2	23
dövlət 	1	23
mədəniyyət 	1	22
gülüstan döngə 	2	22
orta məktəb 	2	22
azpetrol 	1	22
qala 	1	22
rəsulzadə 	1	21
aslanov 	1	21
həzi 	1	21
