phrase	length	count
урамы 	1	296
željeznice 	1	47
štembajzove 	1	47
štembajzove željeznice 	2	47
вәлиди урамы 	2	27
зәки вәлиди урамы 	3	27
зәки вәлиди 	2	27
зәки 	1	27
вәлиди 	1	27
октябрь 	1	20
менделеев урамы 	2	19
менделеев 	1	19
маршал жуков урамы 	3	18
жуков 	1	18
маршал жуков 	2	18
проспекты 	1	18
жуков урамы 	2	18
маршал 	1	18
йыллыѓы 	1	14
ссср-ґыњ 	1	14
йыллыѓы урамы 	2	14
октябрь проспекты 	2	14
маркс урамы 	2	13
карл 	1	13
маркс 	1	13
карл маркс урамы 	3	13
карл маркс 	2	13
цюрупа урамы 	2	12
цюрупа 	1	12
юрий 	1	11
бикбай урамы 	2	11
революцион урамы 	2	11
гагарин урамы 	2	11
баязит бикбай 	2	11
гагарин 	1	11
революцион 	1	11
юрий гагарин урамы 	3	11
бикбай 	1	11
баязит бикбай урамы 	3	11
юрий гагарин 	2	11
баязит 	1	11
пархоменко урамы 	2	10
пархоменко 	1	10
коммунистик 	1	9
достоевский урамы 	2	9
достоевский 	1	9
коммунистик урамы 	2	9
пушкин 	1	8
чернышевский урамы 	2	8
пушкин урамы 	2	8
чернышевский 	1	8
университеты 	1	8
киров 	1	8
киров урамы 	2	8
минћажев урамы 	2	7
ѓафури 	1	7
минћажев 	1	7
ѓафури урамы 	2	7
октябрь революцияһы 	2	6
октябрь революцияһы урамы 	3	6
революцияһы 	1	6
революцияһы урамы 	2	6
вокзал 	1	5
йыллығы урамы 	2	5
йыллығы 	1	5
дзержинский 	1	5
аксаков 	1	5
бакалы урамы 	2	5
әй урамы 	2	5
дәүләт 	1	5
ul. 	1	5
октябрџең 	1	5
әй 	1	5
дзержинский урамы 	2	5
аксаков урамы 	2	5
вокзал урамы 	2	5
бакалы 	1	5
