phrase	length	count
вуліца 	1	34485
завулак 	1	6244
вулiца 	1	1202
ленiна 	1	1136
вулiца ленiна 	2	1136
праспект 	1	1092
савецкая 	1	768
савецкая вуліца 	2	763
маладзёжная 	1	683
маладзёжная вуліца 	2	679
леніна 	1	512
шаша 	1	452
царква 	1	444
садовая 	1	424
садовая вуліца 	2	423
лясная 	1	404
вуліца леніна 	2	401
лясная вуліца 	2	401
камсамольская 	1	386
цэнтральная 	1	385
школьная 	1	372
школьная вуліца 	2	372
камсамольская вуліца 	2	363
гагарына 	1	352
цэнтральная вуліца 	2	344
праезд 	1	343
новая 	1	340
аптэка 	1	340
зарэчная 	1	339
зарэчная вуліца 	2	335
новая вуліца 	2	328
кірава 	1	325
зялёная 	1	309
плошча 	1	307
міру 	1	303
зялёная вуліца 	2	303
касцёл 	1	301
першамайская 	1	298
максіма 	1	298
набярэжная 	1	296
першамайская вуліца 	2	294
вуліца кірава 	2	293
палявая 	1	282
палявая вуліца 	2	282
перамогі 	1	279
вуліца гагарына 	2	272
юбілейная 	1	272
юбілейная вуліца 	2	272
горкага 	1	271
дзяржынскага 	1	269
святога 	1	265
гадоў 	1	261
лугавая вуліца 	2	260
лугавая 	1	260
калініна 	1	260
кастрычніцкая 	1	259
кастрычніцкая вуліца 	2	255
набярэжная вуліца 	2	251
янкі 	1	238
сонечная 	1	237
вуліца максіма 	2	237
сонечная вуліца 	2	235
вуліца міру 	2	235
пушкіна 	1	235
карла 	1	232
чкалава 	1	230
купалы 	1	229
азёрная 	1	225
азёрная вуліца 	2	225
белінвестбанк 	1	222
сад 	1	220
янкі купалы 	2	218
чыгуначная 	1	209
вуліца карла 	2	207
вуліца калініна 	2	203
маркса 	1	203
карла маркса 	2	201
чыгуначная вуліца 	2	201
якуба 	1	200
вуліца чкалава 	2	200
пралетарская 	1	200
пралетарская вуліца 	2	200
фрунзэ 	1	198
якуба коласа 	2	198
коласа 	1	198
касманаўтаў 	1	192
будаўнікоў 	1	191
чапаева 	1	189
чырвонаармейская 	1	186
чырвонаармейская вуліца 	2	185
вуліца янкі 	2	184
вуліца дзяржынскага 	2	180
вуліца пушкіна 	2	180
вуліца карла маркса 	3	178
калгасная вуліца 	2	176
калгасная 	1	176
інтэрнацыянальная 	1	175
інтэрнацыянальная вуліца 	2	175
піянерская 	1	173
ленінская вуліца 	2	171
ленінская 	1	171
заслонава 	1	171
хмяльніцкага 	1	169
белаграпрамбанк 	1	169
піянерская вуліца 	2	168
багдана 	1	166
вуліца янкі купалы 	3	166
багдана хмяльніцкага 	2	166
вуліца якуба 	2	165
заводская вуліца 	2	165
заводская 	1	165
усходняя вуліца 	2	164
усходняя 	1	164
вуліца якуба коласа 	3	164
шаўчэнкі 	1	158
прыёрбанк 	1	156
вуліца чапаева 	2	155
максіма горкага 	2	153
бульвар 	1	152
кастрычніка 	1	151
міцкевіча 	1	147
школа 	1	146
дзіцячы 	1	146
паўднёвая 	1	143
свярдлова 	1	143
паўднёвая вуліца 	2	141
паркавая 	1	141
паркавая вуліца 	2	141
дзмітраўская шаша 	2	139
вуліца перамогі 	2	139
дзмітраўская 	1	139
гастэлы 	1	138
беларуснафта 	1	137
вуліца максіма горкага 	3	136
дзіцячы сад 	2	135
мінская 	1	133
энгельса 	1	132
садовы 	1	132
незалежнасці 	1	131
вуліца будаўнікоў 	2	131
камуністычная вуліца 	2	128
камуністычная 	1	128
вуліца фрунзэ 	2	127
садовы завулак 	2	126
вуліца свярдлова 	2	125
верасня 	1	124
мінская вуліца 	2	122
вуліца заслонава 	2	122
скарыны 	1	122
хмяльніцкага вуліца 	2	121
багдана хмяльніцкага вуліца 	3	121
шасэйная 	1	121
шасэйная вуліца 	2	121
багдановіча 	1	120
гадоў кастрычніка 	2	118
маякоўскага 	1	118
астроўскага 	1	117
вакзальная 	1	117
вакзальная вуліца 	2	117
праспект незалежнасці 	2	117
мічурына 	1	115
сацыялістычная вуліца 	2	114
сацыялістычная 	1	114
куйбышава 	1	112
вуліца гастэлы 	2	108
крупскай 	1	108
паўночная 	1	108
паўночная вуліца 	2	107
мая 	1	106
гогаля 	1	106
сакавіка 	1	105
вішнёвая 	1	105
царква святога 	2	105
вішнёвая вуліца 	2	105
партызанскі 	1	103
школьны 	1	103
школьны завулак 	2	103
спартыўная 	1	103
сярэдняя 	1	103
спартыўная вуліца 	2	102
някрасава 	1	101
партызанская 	1	101
алея 	1	101
партызанская вуліца 	2	101
вуліца касманаўтаў 	2	101
машэрава 	1	100
вуліца горкага 	2	100
палеская 	1	99
палеская вуліца 	2	99
прамысловая 	1	98
кветкавая 	1	98
вуліца маякоўскага 	2	98
кветкавая вуліца 	2	98
уладзіміра 	1	98
прамысловая вуліца 	2	98
маскоўская 	1	98
камарова 	1	97
францыска 	1	97
дастаеўскага 	1	97
маскоўскі 	1	97
суворава 	1	96
тракт 	1	94
францыска скарыны 	2	94
святой 	1	93
маскоўская вуліца 	2	92
энтузіястаў 	1	92
вуліца энгельса 	2	92
лермантава 	1	91
вуліца крупскай 	2	91
вуліца мічурына 	2	91
заходняя 	1	90
тараса 	1	90
заходняя вуліца 	2	90
тараса шаўчэнкі 	2	90
вуліца астроўскага 	2	89
вуліца гогаля 	2	89
вялікага 	1	89
чарняхоўскага 	1	88
уладзіміра вялікага 	2	88
вялікага вуліца 	2	88
ленінградская 	1	88
паліклініка 	1	88
уладзіміра вялікага вуліца 	3	88
сярэдняя школа 	2	87
стрыйская 	1	87
савецкі 	1	87
стрыйская вуліца 	2	87
ціміразева 	1	83
драгобыцкая вуліца 	2	83
вуліца куйбышава 	2	83
драгобыцкая 	1	83
дз 	1	83
вул. 	1	83
маскоўскі праспект 	2	82
савецкі завулак 	2	82
талстога 	1	82
найсвяцейшай 	1	81
вуліца францыска 	2	80
капліца 	1	80
кастрычніцкі 	1	80
вуліца суворава 	2	80
касцёл святога 	2	80
вуліца францыска скарыны 	3	80
багародзіцы 	1	79
брэсцкая 	1	79
прасвятой 	1	79
вуліца лермантава 	2	79
будзённага 	1	78
вуліца будзённага 	2	78
максіма багдановіча 	2	78
ленінградская вуліца 	2	78
праспект перамогі 	2	77
прасвятой багародзіцы 	2	76
банк 	1	76
рачная вуліца 	2	75
працоўная 	1	75
валгаградскі праспект 	2	75
шаўчэнкі вуліца 	2	75
працоўная вуліца 	2	75
рачная 	1	75
валгаградскі 	1	75
тараса шаўчэнкі вуліца 	3	75
адама 	1	74
вуліца някрасава 	2	74
жукава 	1	74
марыі 	1	74
беларуская 	1	74
дастаеўскага вуліца 	2	74
божай 	1	74
беларуская вуліца 	2	73
валадарскага 	1	73
каліноўскага 	1	73
генерала 	1	73
адама міцкевіча 	2	73
матросава 	1	72
партызанскі праспект 	2	72
віцебская 	1	71
вясновая 	1	71
вуліца максіма багдановіча 	3	71
вуліца камарова 	2	71
ціхая 	1	70
ціхая вуліца 	2	70
кастрычніцкі завулак 	2	70
чэхава 	1	69
казлова 	1	69
шаша энтузіястаў 	2	69
вясновая вуліца 	2	69
заводскі 	1	69
сасновая вуліца 	2	68
сасновая 	1	68
прытыцкага 	1	67
шчорса 	1	67
бібліятэка 	1	66
atm 	1	66
будаўнічая 	1	66
заводскі завулак 	2	66
камунальная 	1	65
камунальная вуліца 	2	65
вуліца міцкевіча 	2	65
віцебская вуліца 	2	65
будаўнічая вуліца 	2	64
вуліца ціміразева 	2	64
дачная вуліца 	2	64
васіля 	1	64
дачная 	1	64
маці 	1	64
урыцкага 	1	63
саўгасная вуліца 	2	63
саўгасная 	1	63
