ул. 	1	11676
бул. 	1	1758
автомагистрала 	1	886
св. 	1	804
иван 	1	623
христо 	1	581
георги 	1	556
цар 	1	554
и 	1	540
васил 	1	534
димитър 	1	506
ботев 	1	440
път 	1	426
тракия 	1	396
никола 	1	381
шосе 	1	371
левски 	1	364
христо ботев 	2	334
марица 	1	332
бл 	1	308
улица 	1	305
войвода 	1	302
бл. 	1	300
стефан 	1	299
александър 	1	297
васил левски 	2	295
хемус 	1	294
автомагистрала тракия 	2	293
хан 	1	279
оу 	1	272
автомагистрала хемус 	2	264
вазов 	1	259
чешма 	1	258
околовръстен 	1	254
околовръстен път 	2	254
планина 	1	249
петър 	1	239
свети 	1	235
автомагистрала марица 	2	230
вода 	1	227
методий 	1	224
соу 	1	224
и методий 	2	223
ген. 	1	221
на 	1	220
кирил 	1	217
цдг 	1	216
асен 	1	212
читалище 	1	212
борис 	1	209
симеон 	1	208
тодор 	1	202
д-р 	1	199
стамболийски 	1	198
ул. цар 	2	192
каравелов 	1	192
март 	1	190
по 	1	181
иван вазов 	2	181
одз 	1	178
кирил и 	2	176
за 	1	174
петко 	1	173
люлин 	1	172
ад 	1	169
проф. 	1	167
център 	1	165
църква 	1	165
ул. иван 	2	163
i 	1	162
площад 	1	157
княз 	1	157
ул. георги 	2	156
стара 	1	156
българия 	1	155
вапцаров 	1	155
оод 	1	153
софия 	1	152
ул. васил 	2	152
гора 	1	151
септември 	1	151
димитров 	1	150
любен 	1	149
ул. христо 	2	149
храм 	1	149
цар симеон 	2	149
училище 	1	147
кирил и методий 	3	147
паисий 	1	140
бенковски 	1	139
кметство 	1	139
александър стамболийски 	2	138
паркинг 	1	137
караджа 	1	137
аспарух 	1	133
раковски 	1	133
братя 	1	131
стара планина 	2	129
ангел 	1	128
любен каравелов 	2	128
банка 	1	127
смирненски 	1	127
рилски 	1	127
детска 	1	126
константин 	1	126
панайот 	1	125
дунав 	1	125
стоянов 	1	124
градина 	1	123
ул.георги 	1	123
св. св. 	2	120
хаджи 	1	119
ул. хан 	2	119
охридски 	1	117
ул. димитър 	2	117
стефан караджа 	2	116
шипка 	1	113
климент 	1	113
св. кирил 	2	113
св. кирил и 	3	112
благоев 	1	111
пл. 	1	110
евтимий 	1	110
стамболов 	1	109
христо смирненски 	2	108
кънчев 	1	108
йордан 	1	107
захари 	1	106
петков 	1	106
св. св. кирил 	3	105
св. св. кирил и 	4	105
витоша 	1	105
милев 	1	104
с. 	1	103
ул.христо 	1	102
славейков 	1	102
климент охридски 	2	102
здравец 	1	102
връх 	1	101
отец 	1	101
княгиня 	1	100
михаил 	1	100
хан аспарух 	2	100
николай 	1	100
автомагистрала люлин 	2	99
света 	1	99
май 	1	99
стефан стамболов 	2	98
св. кирил и методий 	4	98
искър 	1	97
хаджи димитър 	2	97
ул. никола 	2	96
генерал 	1	96
рила 	1	94
ул. стефан 	2	93
сливница 	1	93
илия 	1	92
стоян 	1	92
манастир 	1	92
ул.иван 	1	92
море 	1	92
освободител 	1	92
поща 	1	92
крум 	1	91
св. св. кирил и методий 	5	91
първа 	1	91
акад. 	1	91
атанас 	1	91
дск 	1	90
отец паисий 	2	90
георги бенковски 	2	89
априлов 	1	89
велики 	1	89
ул. ген. 	2	89
ул.васил 	1	87
калоян 	1	87
ул. тодор 	2	87
княз борис 	2	87
река 	1	86
димитър благоев 	2	86
община 	1	85
пирин 	1	85
оборище 	1	84
пттс 	1	83
волов 	1	83
гимназия 	1	83
константинов 	1	82
делчев 	1	82
бул. българия 	2	82
медицински 	1	82
освобождение 	1	81
дом 	1	81
ангел кънчев 	2	81
гео милев 	2	80
мост 	1	80
гео 	1	80
каблешков 	1	80
патриарх 	1	79
к. 	1	79
ул. св. 	2	79
алеко 	1	79
цар иван 	2	79
миладинови 	1	78
яворов 	1	78
владимир 	1	78
ресторант 	1	78
захари стоянов 	2	78
пттс софия 	2	78
детска градина 	2	77
неофит 	1	77
васил априлов 	2	76
йосиф 	1	76
борис i 	2	76
мак 	1	74
въстание 	1	74
п. 	1	74
бузлуджа 	1	74
родопи 	1	73
сава 	1	73
г. 	1	73
средна 	1	72
еделвайс 	1	72
берон 	1	72
гурко 	1	71
гагарин 	1	71
средна гора 	2	71
параклис 	1	71
странджа 	1	71
братя миладинови 	2	71
добруджа 	1	70
мбал 	1	69
цар освободител 	2	69
симеон велики 	2	69
добри 	1	68
панайот волов 	2	68
ивайло 	1	68
петър берон 	2	68
ул. васил левски 	3	68
търново 	1	67
автогара 	1	67
никола вапцаров 	2	67
попов 	1	67
медицински център 	2	67
ул.христо ботев 	2	67
киро 	1	67
тодор каблешков 	2	67
патриарх евтимий 	2	67
bar 	1	66
самуил 	1	66
еоод 	1	66
кубрат 	1	66
й. 	1	66
bank 	1	65
скобелев 	1	65
екзарх 	1	65
алеко константинов 	2	65
съединение 	1	65
изгрев 	1	65
иванов 	1	65
хан крум 	2	64
баба 	1	64
ул.цар 	1	64
бул. цариградско 	2	64
цариградско 	1	64
еконт 	1	64
черни 	1	64
цариградско шосе 	2	64
бул. цариградско шосе 	3	64
елин 	1	64
поп 	1	63
стефано 	1	63
райна 	1	63
ул. братя 	2	63
кокиче 	1	63
поляна 	1	62
преслав 	1	62
гоце делчев 	2	62
ул. христо ботев 	3	62
гоце 	1	62
янтра 	1	61
антим 	1	61
пг 	1	61
цар калоян 	2	61
юрий 	1	61
бул. александър 	2	60
роза 	1	60
ул. проф. 	2	60
ботевградско 	1	60
ботевградско шосе 	2	60
пелин 	1	60
мария 	1	60
ул. стара 	2	60
камък 	1	60
св.св.кирил и 	2	59
свобода 	1	59
св.св.кирил 	1	59
рожен 	1	59
ул.васил левски 	2	58
й. вапцаров 	2	58
черни връх 	2	58
проход 	1	58
бул. христо 	2	58
янко 	1	58
княз борис i 	3	57
елин пелин 	2	57
ул. петър 	2	57
дкц 	1	57
с. раковски 	2	57
опълченска 	1	57
бул. сливница 	2	57
дружба 	1	56
ул 	1	56
райна княгиня 	2	56
бул. христо ботев 	3	56
бачо 	1	56
болница 	1	56
дол 	1	56
македония 	1	56
св.св.кирил и методий 	3	55
черно 	1	55
славянска 	1	55
андрей 	1	55
бачо киро 	2	55
люляк 	1	55
петров 	1	55
арда 	1	55
йовков 	1	55
служба 	1	55
кв. 	1	54
струма 	1	54
чавдар 	1	54
златаров 	1	54
ул.хаджи 	1	53
богородица 	1	53
пейо 	1	53
козлодуй 	1	53
черно море 	2	53
иван рилски 	2	53
банк 	1	53
детелина 	1	52
тунджа 	1	52
асен златаров 	2	52
хитов 	1	52
ул. стара планина 	3	52
бензиностанция 	1	51
петко войвода 	2	51
х. 	1	51
ул.хан 	1	51
цар самуил 	2	51
ул. александър 	2	51
ул.никола 	1	51
omv 	1	51
основно 	1	50
йордан йовков 	2	50
iii 	1	50
бул. васил 	2	50
ул. шипка 	2	49
неофит рилски 	2	49
пг по 	2	49
бул. цар 	2	49
антим i 	2	49
аптека 	1	49
вардар 	1	49
александров 	1	49
ул. иван вазов 	3	49
основно училище 	2	49
цар борис 	2	49
сан 	1	49
хасково 	1	49
ал. 	1	49
величков 	1	48
петка 	1	48
ул. панайот 	2	48
иван асен 	2	48
ален 	1	47
зорница 	1	47
заимов 	1	47
борис iii 	2	47
капитан 	1	47
ален мак 	2	47
ул. йордан 	2	46
ул. цар симеон 	3	46
тодор александров 	2	46
мусала 	1	46
ул. д-р 	2	46
никола петков 	2	46
сан стефано 	2	46
р. 	1	46
д. 	1	46
ул. княз 	2	46
панайот хитов 	2	46
филип 	1	46
св. георги 	2	46
ул. любен 	2	46
момина 	1	45
ул. тодор каблешков 	3	45
ясла 	1	45
цар асен 	2	45
плиска 	1	45
димчо 	1	45
ул.стара 	1	45
теменуга 	1	45
пенчо 	1	45
ул.димитър 	1	45
блок 	1	45
богородично 	1	45
иглика 	1	44
ул.георги димитров 	2	44
илинден 	1	44
шишман 	1	44
ул. здравец 	2	44
вихрен 	1	44
синчец 	1	44
пазар 	1	44
беласица 	1	44
банка дск 	2	44
бул. никола 	2	44
павел 	1	44
варна 	1	44
даскалов 	1	43
методи 	1	43
ул. георги бенковски 	3	43
мургаш 	1	43
априлско 	1	43
ул.стара планина 	2	43
театър 	1	43
ул. дунав 	2	43
търговска 	1	42
хан кубрат 	2	42
антон 	1	42
георги димитров 	2	42
в. 	1	42
ул. хаджи 	2	42
извор 	1	42
възраждане 	1	42
ул. петко 	2	42
джамия 	1	42
пролет 	1	42
лом 	1	42
ропотамо 	1	41
долина 	1	41
троица 	1	41
априлско въстание 	2	41
юрий гагарин 	2	41
ул. искър 	2	41
механа 	1	41
зона 	1	41
кладенец 	1	41
н. 	1	41
ул.петко 	1	41
зора 	1	41
ул.тодор 	1	41
радецки 	1	41
бели 	1	41
булевард 	1	41
ул. стефан караджа 	3	41
университет 	1	41
тонка 	1	41
успение 	1	40
кирков 	1	40
кап. 	1	40
граф 	1	40
камчия 	1	40
ком 	1	40
алея 	1	40
михайлов 	1	40
ул.стефан 	1	40
георгиев 	1	40
атанасов 	1	40
никола й. 	2	40
св. климент 	2	40
булаир 	1	40
никола й. вапцаров 	3	40
игнатиев 	1	40
пенев 	1	40
ул. любен каравелов 	3	39
детска ясла 	2	39
луиза 	1	39
дебелянов 	1	39
велико 	1	39
ул.петър 	1	39
обб 	1	39
софроний 	1	39
св. климент охридски 	3	39
церковски 	1	39
победа 	1	39
марко 	1	38
свети климент 	2	38
врачански 	1	38
димов 	1	38
младост 	1	38
бистрица 	1	38
надежда 	1	38
бор 	1	38
мария луиза 	2	38
шейново 	1	38
къща 	1	38
пощенска 	1	38
ул.александър 	1	38
тодоров 	1	38
комплекс 	1	38
e 	1	38
ул. рила 	2	38
ул. генерал 	2	38
химмаш ад 	2	38
химмаш 	1	38
граф игнатиев 	2	37
малина 	1	37
батак 	1	37
гимназия по 	2	37
столетов 	1	37
р. славейков 	2	37
сандански 	1	37
златна 	1	37
велико търново 	2	37
ул. ангел 	2	37
ул. хан аспарух 	3	37
ул.хаджи димитър 	2	37
ул.1-ва 	1	37
ул.2-ра 	1	37
цанко 	1	37
бул. свети 	2	37
хилендарски 	1	36
драва 	1	36
одрин 	1	36
ii 	1	36
явор 	1	36
балкан 	1	36
бул. акад. 	2	36
ет 	1	36
бреза 	1	36
синя 	1	36
константин величков 	2	36
николов 	1	36
цар симеон велики 	3	36
баба тонка 	2	36
просвета 	1	36
мир 	1	36
д-р петър 	2	36
здравна 	1	36
батенберг 	1	35
чайка 	1	35
лукойл 	1	35
синя зона 	2	35
свети климент охридски 	3	35
незабравка 	1	35
архангел 	1	35
чинтулов 	1	35
коларов 	1	35
рпу 	1	35
цар иван асен 	3	35
ул. св. св. 	3	34
ломско 	1	34
ул. хаджи димитър 	3	34
ул. неофит 	2	34
екзарх йосиф 	2	34
българска 	1	34
цар борис iii 	3	34
охрид 	1	34
райко 	1	34
бул. стефан 	2	34
иларион 	1	34
инвестиционна 	1	34
друмев 	1	34
ул. св. св. кирил и 	5	34
бул. ботевградско шосе 	3	34
божур 	1	34
към 	1	34
княгиня мария 	2	34
акад. иван 	2	34
ломско шосе 	2	34
инвестиционна банка 	2	34
малинов 	1	34
бул. ботевградско 	2	34
ул. св. св. кирил 	4	34
пенчо славейков 	2	34
the 	1	33
бул. априлско 	2	33
владимир вазов 	2	33
марин 	1	33
първа инвестиционна банка 	3	33
при 	1	33
русе 	1	33
места 	1	33
ул.иван вазов 	2	33
club 	1	33
първа инвестиционна 	2	33
ул. еделвайс 	2	33
добри чинтулов 	2	33
петлешков 	1	33
княгиня мария луиза 	3	33
република 	1	33
ул. роза 	2	33
бул. априлско въстание 	3	33
ул. витоша 	2	33
цветан 	1	33
орел 	1	32
бул. андрей 	2	32
димчо дебелянов 	2	32
царица 	1	32
ул. братя миладинови 	3	32
ул. марица 	2	32
гешов 	1	32
парк 	1	32
ж. 	1	32
ул.любен 	1	32
родина 	1	32
страцин 	1	32
ул.здравец 	1	32
мадара 	1	32
ул.любен каравелов 	2	32
димитрова 	1	32
ул. отец 	2	32
ж. к. 	2	32
бул. акад. иван 	3	32
вит 	1	31
булбанк 	1	31
марешки 	1	31
тотю 	1	31
