school 	1	758
goli 	1	372
college 	1	324
mosque 	1	306
high 	1	285
high school 	2	282
jame 	1	269
complex 	1	262
health 	1	247
health complex 	2	227
upazila 	1	203
upazila health 	2	199
upazila health complex 	3	199
masjid 	1	171
hospital 	1	171
mosjid 	1	154
house 	1	153
bazar 	1	147
villa 	1	139
primary 	1	137
center 	1	128
primary school 	2	121
hall 	1	116
market 	1	115
building 	1	111
station 	1	107
bari 	1	94
jame mosque 	2	89
govt. 	1	87
government 	1	87
office 	1	86
ltd 	1	82
girls 	1	78
university 	1	76
jame masjid 	2	75
quarter 	1	73
jame mosjid 	2	71
medical 	1	71
ali 	1	70
vila 	1	70
bangladesh 	1	62
international 	1	59
police 	1	59
model 	1	58
dhaka 	1	57
bus 	1	57
pharmacy 	1	57
clinic 	1	53
hotel 	1	49
bhaban 	1	49
staff 	1	46
baitul 	1	46
community 	1	44
post 	1	43
post office 	2	42
govt. primary 	2	41
a 	1	41
thana 	1	40
madrasha 	1	40
রোড 	1	40
madrasa 	1	40
restaurant 	1	40
filling 	1	39
tin 	1	39
degree 	1	39
govt. primary school 	3	39
filling station 	2	38
degree college 	2	38
abdul 	1	38
staff quarter 	2	38
tin shaded 	2	37
shaded 	1	37
academy 	1	37
al 	1	37
khan 	1	37
monjil 	1	36
cinema 	1	36
islam 	1	36
international school 	2	34
upazilla 	1	33
institute 	1	33
atm 	1	32
club 	1	31
library 	1	31
মসজিদ 	1	31
public 	1	31
govt 	1	30
cinema hall 	2	30
police station 	2	29
community center 	2	29
shahid 	1	29
manjil 	1	29
girls high 	2	29
para 	1	29
girls high school 	3	29
medical college 	2	28
chittagong 	1	28
shah 	1	28
mondir 	1	28
new 	1	28
city 	1	28
government primary 	2	28
government primary school 	3	28
sharani 	1	27
cafe 	1	27
mohila 	1	26
hazi 	1	26
mia 	1	26
সড়ক 	1	26
colony 	1	26
das 	1	26
rahman 	1	26
aman 	1	26
residential 	1	25
begum 	1	25
বিদ্যালয় 	1	25
kalabagan 	1	25
স্কুল 	1	25
limited 	1	25
ষ্ট্রীট 	1	24
ideal 	1	24
zilla 	1	24
care 	1	24
kalabagan staff quarter 	3	24
kalabagan staff 	2	24
boro 	1	24
kazi 	1	23
upazilla health complex 	3	23
hossain 	1	23
upazilla health 	2	23
cng 	1	21
madrasah 	1	21
mirpur 	1	21
uddin 	1	21
national 	1	21
factory 	1	21
dbbl 	1	21
bangla 	1	20
eidgah 	1	20
kindergarten 	1	20
m 	1	19
s 	1	19
inani-shamlapur 	1	19
haji 	1	19
canteen 	1	19
khulna 	1	19
diagnostic 	1	19
dbbl atm 	2	18
bazaar 	1	18
boys 	1	18
nazrul 	1	18
kalia 	1	18
teachers 	1	18
pilot 	1	18
ghat 	1	18
ahmed 	1	18
shop 	1	18
home 	1	17
terminal 	1	17
moshjid 	1	17
flyover 	1	17
madrassa 	1	17
mosjid goli 	2	17
campus 	1	17
girls school 	2	17
temple 	1	17
netrokona 	1	17
graveyard 	1	17
stand 	1	17
islamia 	1	17
shahi 	1	17
food 	1	17
pump 	1	17
mashjid 	1	16
baitul aman 	2	16
der 	1	16
garments 	1	16
bari goli 	2	16
e 	1	16
nur 	1	16
t 	1	16
বাজার 	1	16
fire 	1	16
salam 	1	16
জামে 	1	16
model school 	2	16
miah 	1	15
memorial 	1	15
dhaka-mymensingh 	1	15
diagnostic center 	2	15
হল 	1	15
dental 	1	15
জামে মসজিদ 	2	15
training 	1	15
nazrul islam 	2	15
ma 	1	15
apartment 	1	15
teacher's 	1	15
rokeya 	1	15
super 	1	15
s. 	1	15
