phrase	length	count
་	1	775
ག	1	331
མ	1	270
ུ	1	186
ལ	1	182
་ག	2	175
ྲ	1	175
གྲ	2	164
ོ	1	159
ན	1	150
ད	1	148
ས	1	125
ར	1	120
ང	1	118
ང་	2	113
བ	1	108
ས་	2	100
མ་	2	94
་མ	2	93
ར་	2	93
་བ	2	92
་ས	2	91
ྱ	1	91
་ལ	2	91
།	1	90
ཐ	1	88
ུ་	2	87
་ཐ	2	86
ད་	2	86
ྲུ	2	85
ོད	2	84
མ་ག	3	84
ནམ་	3	83
གནམ	3	83
ཐང་	3	83
ྲོ	2	83
གྲུ	3	83
་ཐང་	4	83
གན	2	83
ུར་	3	83
ུར	2	83
་གྲ	3	83
ཐང	2	83
་གྲུ	4	83
ྲོད	3	83
་ཐང	3	83
གནམ་	4	83
ནམ	2	83
ོད་	3	83
ས་ག	3	83
ྲོད་	4	82
ང་མ	3	82
་གན	3	82
་གནམ	4	82
ྷ	1	82
ལམ	2	82
ྱུ	2	82
ལྷ	2	82
མ་གྲུ	5	82
མ་གྲ	4	82
་གནམ་	5	82
མ།	2	81
ྲུ་ཐང	5	81
ྲོད་ལ	5	81
ུར་བག	5	81
བག	2	81
ར་བ	3	81
ས་གནམ	5	81
ུ་ཐ	3	81
་ས་	3	81
མྱུར་	5	81
ས་གན	4	81
་བགྲོ	5	81
ྱུར་	4	81
་ས་ག	4	81
བགྲ	3	81
་མྱུར	5	81
་བག	3	81
བགྲོད	5	81
གྲོ	3	81
ར་བགྲ	5	81
ུ་ཐང་	5	81
གྲུ་	4	81
ུ་ཐང	4	81
ཐང་མྱ	5	81
ར་བག	4	81
མྱུ	3	81
ོད་ལ	4	81
ནམ་ག	4	81
མྱ	2	81
ད་ལམ	4	81
ད་ལ	3	81
ྱུར	3	81
་ཐང་མ	5	81
གྲོད	4	81
ལྷ་ས་	5	81
ལྷ་	3	81
བགྲོ	4	81
་ས་གན	5	81
ོད་ལམ	5	81
་མྱ	3	81
་ལམ	3	81
གྲུ་ཐ	5	81
གྲོད་	5	81
ཐང་མ	4	81
ང་མྱ	4	81
ྷ་	2	81
གནམ་ག	5	81
ྷ་ས་ག	5	81
ད་ལམ།	5	81
་གྲུ་	5	81
ུར་བ	4	81
་བགྲ	4	81
ལྷ་ས	4	81
ནམ་གྲ	5	81
ྷ་ས་	4	81
་ལམ།	4	81
ྲུ་ཐ	4	81
ྲུ་	3	81
ྷ་ས	3	81
ལམ།	3	81
་མྱུ	4	81
ང་མྱུ	5	81
ྱུར་བ	5	81
མྱུར	4	81
དག	2	57
་ད	2	53
་དག	3	52
གོ	2	50
དགོ	3	50
ོན	2	50
དགོན	4	50
གོན	3	50
་དགོན	5	49
་དགོ	4	49
ན་	2	35
ི	1	30
ོན་	3	21
ེ	1	21
གོན་	4	21
དགོན་	5	21
འ	1	20
པ	1	20
་ར	2	19
་པ	2	17
ན་པ	3	14
ོན་པ	4	13
གོན་པ	5	13
ཁ	1	12
ི་	2	12
ཆ	1	12
ེ་	2	11
ང་དག	4	10
ག་	2	10
ང་ད	3	10
ང་དགོ	5	10
ླ	1	10
ིང	2	9
ྡ	1	9
་ཆ	2	8
་འ	2	8
ོ་	2	8
ྒ	1	8
ླིང	3	7
ག་དག	4	7
་གླ	3	7
གླི	3	7
ོང་	3	7
ལྡ	2	7
གླ	2	7
ག་དགོ	5	7
ོང	2	7
གླིང	4	7
ག་ད	3	7
་གླིང	5	7
ྟ	1	7
་གླི	4	7
ླི	2	7
ཤ	1	6
ལ་	2	6
གས	2	6
ཆེ	2	6
ྫ	1	6
པ་	2	6
་པ་	3	6
ཆེན	3	6
་ལྡ	3	6
་ཆེན	4	6
ེན	2	6
་ཁ	2	6
ི་དག	4	6
ི་ད	3	6
ི་དགོ	5	6
རྫ	2	6
་ཆེ	3	6
ེ་ད	3	5
རྒྱ	3	5
རྒ	2	5
ུང	2	5
ཀ	1	5
ོན།	3	5
་ལྡན	4	5
ྡན་	3	5
ྲ་	2	5
དགོན།	5	5
ན་ད	3	5
ྡན	2	5
རྫོ	3	5
གོན།	4	5
ེ་དག	4	5
ྫོ	2	5
ྒྱ	2	5
ཚ	1	5
ལྡན	3	5
ང་ས	3	5
་ལྡན་	5	5
ན།	2	5
ིང་	3	5
སྟ	2	5
ལྡན་	4	5
