phrase	length	count
straed 	1	2389
ar 	1	1779
hent 	1	1767
an 	1	565
straed ar 	2	510
bali 	1	358
alez 	1	253
hent ar 	2	246
boulouard 	1	234
hent-bras 	1	192
plasenn 	1	183
straed an 	2	175
hent-dall 	1	145
al 	1	115
park 	1	104
de 	1	104
iliz 	1	95
sant 	1	89
bali ar 	2	86
skwar 	1	86
streat 	1	85
glas 	1	82
pont 	1	80
ti 	1	79
chapel 	1	73
jean 	1	71
ker 	1	68
alez ar 	2	66
menez 	1	66
bras 	1	63
penn 	1	58
plasenn ar 	2	57
vihan 	1	56
sant-maloù 	1	55
hentoù 	1	54
hentoù glas 	2	54
la 	1	54
pierre 	1	53
straed sant-maloù 	2	53
jeneral 	1	52
ar jeneral 	2	51
hent bras 	2	50
brest 	1	49
skol 	1	49
boulouard ar 	2	45
plasenn an 	2	45
naoned 	1	44
dour 	1	44
de gaulle 	2	43
jules 	1	43
gaulle 	1	43
le 	1	43
stank 	1	42
kroashent-tro 	1	39
hent park 	2	39
hent-dall ar 	2	39
kozh 	1	38
paul 	1	38
feunteun 	1	38
hent an 	2	37
penn ar 	2	37
straed jean 	2	36
kae 	1	36
gwenn 	1	35
mor 	1	35
georges 	1	35
bali an 	2	34
françois 	1	34
straed la 	2	33
park ar 	2	33
koad 	1	33
ti-kêr 	1	33
bali ar jeneral 	3	32
kastel-geroun 	1	32
avel 	1	32
straed kastel-geroun 	2	32
henri 	1	32
straed pierre 	2	31
kêr 	1	31
nevez 	1	31
joseph 	1	31
ty 	1	31
straed paul 	2	31
bihan 	1	31
dall 	1	31
roz 	1	30
charles 	1	30
an iliz 	2	30
straed al 	2	30
vras 	1	29
ru 	1	29
ar c'hastell 	2	29
c'hastell 	1	29
kroazhent-tro 	1	29
ar feunteun 	2	28
hentig 	1	28
lenn 	1	28
kemper 	1	27
an dour 	2	27
hent dall 	2	27
jeneral de 	2	27
hent menez 	2	27
ar jeneral de 	3	27
ar jeneral de gaulle 	4	27
jeneral de gaulle 	3	27
pen 	1	27
jacques 	1	27
plogoneg 	1	26
straed charles 	2	26
ar mor 	2	26
george 	1	25
ha 	1	25
straed naoned 	2	24
hent al 	2	24
felger 	1	24
banell 	1	23
da 	1	23
lann 	1	23
ar peoc'h 	2	23
peoc'h 	1	23
skwar ar 	2	23
straed felger 	2	23
annez 	1	23
ar republik 	2	22
ar menez 	2	22
yves 	1	22
hent-bras brest 	2	22
anna 	1	22
republik 	1	22
louis 	1	22
beg 	1	22
porzh 	1	21
toull 	1	21
an ti-kêr 	2	21
rené 	1	21
kuzon 	1	21
loc'h 	1	21
straed ar c'hastell 	3	20
maner 	1	20
da vrest 	2	20
al loc'h 	2	20
naoned da vrest 	3	20
pen ar 	2	20
eus naoned da 	3	20
eus 	1	20
kroaz 	1	20
straed françois 	2	20
al lenn 	2	20
breizh 	1	20
vrest 	1	20
gardenn 	1	20
hent sant 	2	20
eus naoned 	2	20
eus naoned da vrest 	4	20
naoned da 	2	20
ar jeneral george 	3	19
jeneral george s. patton 	4	19
dinarzh 	1	19
george s. 	2	19
enez 	1	19
patton 	1	19
bali ar jeneral george s. 	5	19
fréville 	1	19
s. 	1	19
