džamija 	1	310
put 	1	271
škola 	1	265
ulica 	1	239
crkva 	1	217
parking 	1	201
i 	1	194
trg 	1	179
caffe 	1	176
osnovna 	1	169
dom 	1	158
osnovna škola 	2	140
stanica 	1	140
kralja 	1	133
ul. 	1	133
za 	1	130
bank 	1	123
oš 	1	116
bar 	1	113
centar 	1	109
petra 	1	108
banka 	1	108
sv. 	1	107
braće 	1	97
apoteka 	1	95
most 	1	92
fra 	1	91
restoran 	1	90
vojvode 	1	89
brigade 	1	89
cesta 	1	88
zdravlja 	1	87
ivana 	1	86
bulevar 	1	85
dr. 	1	82
groblje 	1	82
d.o.o. 	1	82
dom zdravlja 	2	81
pošta 	1	80
ii 	1	77
gradska 	1	73
ambulanta 	1	72
fakultet 	1	70
nikole 	1	70
petrol 	1	67
u 	1	65
autobuska 	1	63
caffe bar 	2	61
zgrada 	1	61
svetog 	1	60
srednja 	1	60
crkva sv. 	2	59
sarajevo 	1	59
polje 	1	59
autobuska stanica 	2	59
dzamija 	1	57
tuzla 	1	57
unicredit 	1	56
sokak 	1	55
jovana 	1	54
kod 	1	53
pijaca 	1	53
stjepana 	1	53
free 	1	52
brdo 	1	52
sarajevska 	1	51
grad 	1	50
miloša 	1	50
nova 	1	48
breza 	1	47
put za 	2	47
javni 	1	47
javni parking 	2	47
policijska 	1	46
bana 	1	45
bih 	1	45
ive 	1	45
cafe 	1	44
stari 	1	43
branka 	1	43
žrtava 	1	42
alije 	1	42
biblioteka 	1	41
od 	1	41
bosne 	1	41
save 	1	40
bolnica 	1	40
unicredit bank 	2	40
gornji 	1	39
gimnazija 	1	39
luka 	1	39
novi 	1	39
olovska 	1	38
pizzeria 	1	38
ante 	1	38
sberbank 	1	38
bataljona 	1	38
gornja 	1	37
franje 	1	37
banja 	1	37
policijska stanica 	2	36
d. 	1	36
dr 	1	36
brigada 	1	36
kneza 	1	36
raiffeisen 	1	36
cara 	1	36
milana 	1	35
garaža 	1	35
benzinska 	1	35
novo 	1	35
tita 	1	34
g. 	1	34
maršala 	1	34
tomislava 	1	34
kralja petra 	2	34
club 	1	34
mezarje 	1	34
taxi 	1	33
korpusa 	1	33
srednja škola 	2	33
maršala tita 	2	33
branilaca 	1	33
mala 	1	33
stara 	1	33
nikole tesle 	2	32
tesle 	1	32
mahala 	1	31
dušana 	1	31
rade 	1	31
nestro 	1	31
skola 	1	31
kralja tomislava 	2	31
željeznička 	1	31
sud 	1	30
bijeljina 	1	30
pavla 	1	30
hypo 	1	30
ljiljana 	1	30
obdanište 	1	29
vrtić 	1	29
andrića 	1	29
kulina 	1	29
naselje 	1	29
radića 	1	29
tvrtka 	1	29
kalošević 	1	29
kralja tvrtka 	2	29
općina 	1	28
mišića 	1	28
na 	1	28
gazprom 	1	28
ive andrića 	2	28
ilije 	1	28
srpskih 	1	28
visoko 	1	28
donji 	1	28
raiffeisen bank 	2	28
nlb 	1	27
kulina bana 	2	27
zmaja 	1	27
josipa 	1	27
hamdije 	1	27
svetog save 	2	27
džemala 	1	27
kraljice 	1	27
bijedića 	1	27
ćevabdžinica 	1	26
adema 	1	26
srpske 	1	26
stjepana radića 	2	26
pub 	1	26
bh 	1	26
donje 	1	26
posavska 	1	26
džemala bijedića 	2	26
bingo 	1	26
ina 	1	25
prnjavor 	1	25
garaže 	1	25
han 	1	25
stevana 	1	25
aleja 	1	25
lige 	1	25
patriotske lige 	2	24
majke 	1	24
brijeg 	1	24
petra i 	2	24
postaja 	1	24
stari grad 	2	24
zenica 	1	24
patriotske 	1	24
mladih 	1	24
omladinska 	1	24
obilića 	1	24
alekse 	1	24
prilaz 	1	23
ef. 	1	23
meše 	1	23
čikma 	1	23
selo 	1	23
kapela 	1	23
miloša obilića 	2	23
hrvatske 	1	23
mehmeda 	1	23
doo 	1	23
selimovića 	1	23
marije 	1	23
od bosne 	2	22
mustafe 	1	22
mostar 	1	22
meše selimovića 	2	22
sveti 	1	22
hadžići 	1	22
franjevačka 	1	22
city 	1	22
hasana 	1	22
ulica fra 	2	22
banja luka 	2	22
muhameda 	1	22
antuna 	1	22
vidovdanska 	1	21
ilijaš 	1	21
via 	1	21
vuka 	1	21
centar za 	2	21
doboj 	1	21
potok 	1	21
voda 	1	21
obala 	1	21
šanac 	1	21
safeta 	1	21
hrasno 	1	21
pravoslavna crkva 	2	20
kula 	1	20
živojina 	1	20
zmaja od 	2	20
njegoševa 	1	20
babića 	1	20
osnovna skola 	2	20
pravoslavna 	1	20
jošanica 	1	20
stepinca 	1	20
pumpa 	1	20
marka 	1	20
zmaja od bosne 	3	20
katarine 	1	20
jugovića 	1	20
kulture 	1	20
novo naselje 	2	20
bare 	1	20
sparkasse 	1	20
zagrebačka 	1	20
hotel 	1	19
igmanska 	1	19
hram 	1	19
aleksandra 	1	19
vojvode stepe 	2	19
o.š. 	1	19
lištani 	1	19
opština 	1	19
vatrogasna 	1	19
kardinala 	1	19
gornje 	1	19
fontana 	1	19
intesa 	1	19
zlatnih 	1	19
m. 	1	19
imamovića 	1	19
crkva svetog 	2	19
zlatnih ljiljana 	2	19
stepe 	1	19
energopetrol 	1	19
maja 	1	19
ljekarna 	1	19
vladimira 	1	19
zavod 	1	18
alta via breza 	3	18
via breza 	2	18
česma 	1	18
šantića 	1	18
didaka 	1	18
alta 	1	18
mladena 	1	18
alta via breza vares 	4	18
breza vares 	2	18
rudarska 	1	18
kuća 	1	18
bijela 	1	18
road 	1	18
via breza vares 	3	18
alta via 	2	18
s. 	1	18
i. 	1	18
food 	1	18
fra didaka buntića 	3	18
vares 	1	18
kulenovića 	1	18
bosanskih 	1	18
dom kulture 	2	18
muslimana 	1	18
buntića 	1	18
adria 	1	18
didaka buntića 	2	18
fra didaka 	2	18
avde 	1	18
park 	1	18
mladih muslimana 	2	18
gornja jošanica 	2	18
alekse šantića 	2	18
buregdžinica 	1	18
radnička 	1	17
nikšički 	1	17
ukc 	1	17
nikšički put 	2	17
izeta 	1	17
ordinacija 	1	17
nestro petrol 	2	17
autopraonica 	1	17
hypo alpe 	2	17
cara dušana 	2	17
gradina 	1	17
alpe adria 	2	17
samostan 	1	17
kino 	1	17
adema buće 	2	17
putnika 	1	17
os 	1	17
alpe 	1	17
živojina mišića 	2	17
rača 	1	17
donja 	1	17
hypo alpe adria 	3	17
bosanska 	1	17
jovana dučića 	2	17
bazen 	1	17
razvojna 	1	17
vranješević 	1	17
rade vranješević 	2	17
la 	1	17
zaima 	1	17
buće 	1	17
dučića 	1	17
jošanica ii 	2	17
m 	1	17
armije 	1	17
jevrejska 	1	16
gornja jošanica ii 	3	16
katolička crkva 	2	16
ugljevik 	1	16
klub 	1	16
kiseljak 	1	16
