phrase	length	count
carrer 	1	96248
de 	1	85156
carrer de 	2	44757
del 	1	26027
la 	1	18100
de la 	2	16611
carrer del 	2	14582
avinguda 	1	12039
carrer de la 	3	8867
carretera 	1	8855
sant 	1	8216
camí 	1	7630
plaça 	1	6528
avinguda de 	2	6137
de sant 	2	5805
carretera de 	2	5484
dels 	1	5144
les 	1	4705
de les 	2	4256
camí de 	2	4095
i 	1	3895
carrer de sant 	3	3723
a 	1	3317
plaça de 	2	3122
passeig 	1	2950
carrer dels 	2	2831
joan 	1	2566
passatge 	1	2297
carrer de les 	3	2222
josep 	1	2047
eix 	1	1958
avinguda del 	2	1939
ronda 	1	1879
autopista 	1	1846
santa 	1	1777
can 	1	1658
passeig de 	2	1632
carrer sant 	2	1550
major 	1	1502
cami 	1	1473
avinguda de la 	3	1412
de can 	2	1384
jaume 	1	1322
de santa 	2	1305
doctor 	1	1271
font 	1	1269
pau 	1	1230
camí del 	2	1219
sa 	1	1206
pere 	1	1177
passatge de 	2	1165
d'en 	1	1163
des 	1	1146
via 	1	1111
de joan 	2	1092
mediterráneo 	1	1083
del mediterráneo 	2	1083
carrer major 	2	1069
francesc 	1	1067
barcelona 	1	1060
de josep 	2	1025
autovia 	1	980
gr 	1	975
autopista del 	2	967
plaça del 	2	947
del doctor 	2	930
maria 	1	924
autovía 	1	920
pintor 	1	912
camí de la 	3	890
nou 	1	874
la font 	2	873
pont 	1	866
mar 	1	858
antoni 	1	852
de sa 	2	838
de la font 	3	836
rambla 	1	835
catalunya 	1	832
plaça de la 	3	830
cami de 	2	811
carrer de joan 	3	810
carrer de josep 	3	803
ramon 	1	799
carrer de santa 	3	785
ronda de 	2	770
carrer del doctor 	3	743
mediterrània 	1	730
miquel 	1	716
el 	1	705
mas 	1	701
de la mediterrània 	3	697
la mediterrània 	2	697
son 	1	692
montserrat 	1	691
gran 	1	678
vell 	1	666
sant joan 	2	657
mare 	1	651
mestre 	1	645
calle 	1	639
salvador 	1	637
lluís 	1	631
puig 	1	614
de catalunya 	2	610
de son 	2	606
c. 	1	600
autopista del mediterráneo 	3	597
