phrase	length	count
u 	1	11935
na 	1	11314
náměstí 	1	4654
pod 	1	4230
k 	1	3826
v 	1	3492
za 	1	2023
nad 	1	1995
nádražní 	1	1882
škola 	1	1804
sv. 	1	1752
nám. 	1	1675
ke 	1	1477
a 	1	1162
května 	1	1145
komenského 	1	1106
zahradní 	1	1079
úřad 	1	1026
zš 	1	992
školní 	1	981
restaurace 	1	980
kostel 	1	932
česká 	1	910
husova 	1	887
palackého 	1	885
pražská 	1	877
jana 	1	855
hlavní 	1	824
obecní 	1	798
nová 	1	797
lesní 	1	789
základní 	1	768
cesta 	1	767
kaple 	1	762
tyršova 	1	748
marie 	1	744
třída 	1	719
polní 	1	719
luční 	1	705
okružní 	1	687
jiráskova 	1	686
havlíčkova 	1	679
základní škola 	2	655
družstevní 	1	643
obecní úřad 	2	635
nábřeží 	1	635
dr. 	1	634
míru 	1	634
mateřská 	1	633
krátká 	1	632
horní 	1	621
armády 	1	620
svatý 	1	619
svobody 	1	619
sídliště 	1	613
žižkova 	1	585
mateřská škola 	2	584
mš 	1	575
j. 	1	568
bar 	1	540
panny 	1	539
panny marie 	2	535
smetanova 	1	524
dolní 	1	524
dlouhá 	1	516
spořitelna 	1	512
němcové 	1	510
sadová 	1	500
pošta 	1	493
masarykova 	1	488
mlýnská 	1	487
česká spořitelna 	2	480
lékárna 	1	479
nádraží 	1	478
sportovní 	1	476
nerudova 	1	473
lidická 	1	470
sokolská 	1	468
masaryka 	1	466
zámecká 	1	445
banka 	1	439
t. 	1	437
g. 	1	428
lipová 	1	427
výsluní 	1	427
karla 	1	423
t. g. 	2	423
knihovna 	1	422
ve 	1	418
na výsluní 	2	418
g. masaryka 	2	417
t. g. masaryka 	3	417
svatého 	1	411
dům 	1	410
bezručova 	1	409
kostelní 	1	408
tovární 	1	408
průmyslová 	1	407
spojovací 	1	405
masarykovo 	1	403
k. 	1	398
vyhlídce 	1	398
policie 	1	398
plzeňská 	1	398
stará 	1	398
máje 	1	397
příčná 	1	387
městská 	1	385
na vyhlídce 	2	383
střední 	1	375
boženy 	1	369
dukelská 	1	365
kostel sv. 	2	360
hřbitovní 	1	353
tř. 	1	352
boženy němcové 	2	347
vrchlického 	1	344
hřiště 	1	337
dvořákova 	1	336
revoluční 	1	334
josefa 	1	327
z 	1	327
petra 	1	321
u hřiště 	2	312
listopadu 	1	310
do 	1	305
jižní 	1	304
úzká 	1	304
nové 	1	302
sokolovská 	1	301
stadionu 	1	301
jiřího 	1	299
října 	1	298
masarykovo náměstí 	2	297
b. 	1	295
i 	1	294
pivovarská 	1	287
nemocnice 	1	284
ii 	1	284
dvůr 	1	281
mírová 	1	277
potoční 	1	275
gymnázium 	1	274
mánesova 	1	274
zátiší 	1	272
hospoda 	1	270
brněnská 	1	267
komerční 	1	265
osvobození 	1	264
café 	1	264
malá 	1	264
čsob 	1	263
návsi 	1	257
kpt. 	1	256
větrná 	1	255
městský 	1	254
václava 	1	253
čecha 	1	252
komerční banka 	2	251
hostinec 	1	250
parkoviště 	1	249
hotel 	1	247
hrdinů 	1	247
sady 	1	242
vrch 	1	242
bratří 	1	241
restaurant 	1	240
bank 	1	239
tylova 	1	239
a. 	1	239
stráni 	1	238
u stadionu 	2	238
na návsi 	2	238
růžová 	1	237
lesem 	1	234
opavská 	1	231
beneše 	1	230
dělnická 	1	230
údolí 	1	229
staré 	1	229
jaroše 	1	228
centrum 	1	228
horská 	1	228
okruh 	1	226
slunečná 	1	225
máchova 	1	224
čs. 	1	224
čtvrť 	1	224
náměstí svobody 	2	222
městský úřad 	2	219
potoka 	1	219
školou 	1	219
most 	1	212
penzion 	1	212
wolkerova 	1	211
husovo 	1	210
nanebevzetí 	1	210
vodní 	1	210
republiky 	1	210
náměstí míru 	2	210
hornická 	1	209
s.r.o. 	1	209
pod lesem 	2	205
ostravská 	1	204
lomená 	1	204
mírové 	1	202
jan 	1	198
jungmannova 	1	197
karlovarská 	1	196
koupaliště 	1	196
františka 	1	196
hrázi 	1	196
obchodní 	1	195
nanebevzetí panny 	2	193
restaurace u 	2	193
nanebevzetí panny marie 	3	193
omv 	1	192
kollárova 	1	190
antonína 	1	190
sluneční 	1	189
československé 	1	189
na stráni 	2	188
gen. 	1	187
alej 	1	187
vídeňská 	1	187
e. 	1	187
kopci 	1	187
česká pošta 	2	186
u potoka 	2	186
kopečku 	1	186
severní 	1	186
riegrova 	1	186
dobrovského 	1	185
rybníka 	1	184
tratí 	1	184
poštovní 	1	183
benzina 	1	183
v. 	1	182
parku 	1	181
kino 	1	181
zelená 	1	180
hřišti 	1	180
čechova 	1	179
průběžná 	1	179
československé armády 	2	178
svatopluka 	1	178
trojice 	1	178
svatopluka čecha 	2	178
club 	1	178
příční 	1	177
pražský 	1	177
fio 	1	177
ge 	1	177
slepá 	1	177
čr 	1	177
na hrázi 	2	177
náves 	1	176
humny 	1	176
pražský okruh 	2	176
lázeňská 	1	176
trati 	1	176
hospůdka 	1	174
hradecká 	1	174
kostel svatého 	2	173
na kopečku 	2	171
kaple sv. 	2	171
prokopa 	1	171
táborská 	1	170
mlýn 	1	170
divadlo 	1	170
a.s. 	1	169
u nádraží 	2	169
stezka 	1	168
pizza 	1	167
bezruče 	1	166
zahradách 	1	166
generála 	1	165
čs. armády 	2	165
městská policie 	2	164
malé 	1	164
cafe 	1	164
slezská 	1	163
za humny 	2	163
ge money 	2	162
money 	1	162
městská knihovna 	2	161
nový 	1	161
alšova 	1	161
kavárna 	1	160
zámek 	1	160
m. 	1	160
pizzeria 	1	159
kpt. jaroše 	2	159
pro 	1	159
policie čr 	2	159
fio banka 	2	158
švermova 	1	158
poliklinika 	1	157
jabloňová 	1	155
čsl. 	1	154
u rybníka 	2	154
kříže 	1	154
fibichova 	1	153
pivnice 	1	153
hálkova 	1	153
hasičská 	1	153
štefánikova 	1	153
ruská 	1	152
v zahradách 	2	151
české 	1	150
b. němcové 	2	149
praha 	1	148
čapka 	1	148
fügnerova 	1	148
kaplička 	1	147
zborovská 	1	147
mírové náměstí 	2	147
na kopci 	2	146
třebízského 	1	145
p. 	1	145
lukách 	1	145
purkyňova 	1	144
chelčického 	1	144
husovo náměstí 	2	143
vítězná 	1	143
pavla 	1	142
údolní 	1	142
nábřežní 	1	141
javorová 	1	140
lesní cesta 	2	139
václav 	1	139
topolová 	1	138
domov 	1	137
horákové 	1	137
erbenova 	1	137
školy 	1	137
nejsvětější 	1	137
ge money bank 	3	136
money bank 	2	136
rybníčku 	1	136
u trati 	2	134
kulturní 	1	134
křižíkova 	1	134
