heol 	1	2945
y 	1	2435
ffordd 	1	2099
maes 	1	1170
yr 	1	874
llys 	1	742
lon 	1	655
cae 	1	652
stryd 	1	562
heol y 	2	488
clos 	1	453
lôn 	1	388
rhodfa 	1	376
cwrt 	1	342
ffordd y 	2	341
maes y 	2	314
parc 	1	243
llwyn 	1	236
ysgol 	1	230
bryn 	1	190
coed 	1	190
eglwys 	1	174
stryd y 	2	170
fawr 	1	128
pentre 	1	120
stryt 	1	119
maes yr 	2	111
sant 	1	110
newydd 	1	110
felin 	1	105
rhodfa'r 	1	104
glas 	1	104
llys y 	2	102
gerddi 	1	101
y parc 	2	89
afon 	1	88
yr eglwys 	2	88
nant 	1	87
hen 	1	86
cwm 	1	85
stryd fawr 	2	85
ty 	1	84
heol yr 	2	82
yr afon 	2	82
y coed 	2	81
mawr 	1	79
ffynnon 	1	79
y bryn 	2	77
castell 	1	75
lon y 	2	75
pen 	1	75
gwyn 	1	74
y felin 	2	73
uchaf 	1	71
las 	1	69
ffordd yr 	2	69
porth 	1	68
morfa 	1	68
cilgant 	1	67
plas 	1	67
dewi 	1	67
rhes 	1	65
yr ysgol 	2	64
brenin 	1	64
mynydd 	1	61
clos y 	2	61
dan 	1	61
clos yr 	2	59
dderwen 	1	59
lôn y 	2	58
graig 	1	56
orsaf 	1	56
gynradd 	1	56
allt 	1	56
ysgol gynradd 	2	55
cwrt y 	2	55
lucy 	1	54
capel 	1	54
trem 	1	54
heol lucy 	2	54
tan 	1	53
ffordd cwm 	2	53
tawe 	1	53
y brenin 	2	52
stryt y 	2	52
bach 	1	52
isaf 	1	52
llan 	1	51
onnen 	1	51
gorllewin 	1	50
efail 	1	50
cwm tawe 	2	50
waun 	1	50
ffordd cwm tawe 	3	50
dan y 	2	49
teras 	1	49
casnewydd 	1	48
derwen 	1	48
du 	1	47
y dderwen 	2	47
yr efail 	2	47
pant 	1	47
celyn 	1	46
ffordd casnewydd 	2	46
berllan 	1	46
glan 	1	45
bont 	1	45
yr orsaf 	2	43
deri 	1	43
ffordd newydd 	2	43
y graig 	2	42
stryd yr 	2	42
glyn 	1	42
derw 	1	42
wen 	1	42
pen y 	2	41
ynys 	1	41
cae glas 	2	40
pont 	1	40
fach 	1	39
y castell 	2	39
hir 	1	39
môr 	1	39
yr hen 	2	38
maes glas 	2	38
rhos 	1	38
y bont-faen 	2	38
gelli 	1	38
ffordd y bont-faen 	3	38
caerfyrddin 	1	38
bont-faen 	1	38
tir 	1	37
y maes 	2	37
heol caerfyrddin 	2	36
cefn 	1	36
awel 	1	36
dyffryn 	1	35
bedw 	1	35
yr onnen 	2	34
heol morfa 	2	34
y bont 	2	34
golwg 	1	34
y cae 	2	33
yr allt 	2	33
dewi sant 	2	33
hyfryd 	1	33
canol 	1	33
fair 	1	33
y llan 	2	32
neuadd 	1	32
gorsaf 	1	32
frenhines 	1	32
onn 	1	32
helyg 	1	32
llwyn onn 	2	31
farchnad 	1	30
y môr 	2	30
y deri 	2	30
haf 	1	30
heol las 	2	30
hendre 	1	30
llyn 	1	30
rhedyn 	1	30
gors 	1	30
lon yr 	2	30
y waun 	2	29
heol y parc 	3	29
eithin 	1	29
llys yr 	2	29
y ffynnon 	2	29
eos 	1	29
y frenhines 	2	29
y nant 	2	28
y mynydd 	2	28
y berllan 	2	28
hafod 	1	28
parc yr 	2	27
y farchnad 	2	27
yr haf 	2	27
mair 	1	27
teg 	1	26
yr awel 	2	26
santes 	1	26
gogledd 	1	26
ganol 	1	26
y capel 	2	26
groes 	1	25
goch 	1	25
dwyrain 	1	25
caer 	1	25
bloc 	1	24
tan yr 	2	24
cae du 	2	24
ysbyty 	1	24
cymru 	1	24
yr eos 	2	24
morgan 	1	24
tan y 	2	24
heol y brenin 	3	24
golwg y 	2	24
penarth 	1	24
ffordd penarth 	2	23
mynach 	1	23
gorllewin ffordd y 	3	23
heol yr orsaf 	3	23
maes yr haf 	3	23
gorllewin ffordd 	2	23
canolfan 	1	23
parcio 	1	23
gorllewin ffordd y bont-faen 	4	23
dwr 	1	23
erw 	1	22
heol fach 	2	22
heol y bryn 	3	22
coch 	1	22
coleg 	1	22
deg 	1	22
clwyd 	1	22
heol ty 	2	22
trem yr 	2	22
ddu 	1	22
traeth 	1	22
heol cae 	2	22
wern 	1	21
gwaun 	1	21
wennol 	1	21
coedlan 	1	21
trelai 	1	21
heol trelai 	2	21
tywysog 	1	21
llwyn y 	2	21
fedwen 	1	20
maes hyfryd 	2	20
heulog 	1	20
fferm 	1	20
victoria 	1	20
caernarfon 	1	20
hebog 	1	20
garth 	1	20
tyddyn 	1	20
bute 	1	20
william 	1	20
banc 	1	19
dol 	1	19
dinas 	1	19
yr odyn 	2	19
mor 	1	19
llewelyn 	1	19
glyndwr 	1	19
y glyn 	2	19
owen 	1	19
melyn 	1	19
heol-y-nant 	1	19
tŷ 	1	19
y wennol 	2	19
odyn 	1	19
ffordd caergybi 	2	18
emlyn 	1	18
rhoddfa 	1	18
pont y 	2	18
bangor 	1	18
glan yr 	2	18
ceirios 	1	18
fron 	1	18
heol maes 	2	18
san 	1	18
cwrt yr 	2	18
caergybi 	1	18
dan-y-coed 	1	18
heol gorsaf 	2	18
maes y dderwen 	3	18
stryd yr eglwys 	3	18
grug 	1	17
man 	1	17
heol nant 	2	17
y dyffryn 	2	17
heol y coed 	3	17
hafren 	1	17
sgwar 	1	17
llyfrgell 	1	17
heol dewi 	2	17
conwy 	1	17
cynan 	1	17
glan y 	2	17
iago 	1	17
padarn 	1	17
rhiw 	1	17
ffordd caernarfon 	2	17
trem y 	2	17
caerdydd 	1	17
