phrase	length	count
vej 	1	7155
alle 	1	3738
gammel 	1	2459
kirke 	1	2340
landevej 	1	1711
allé 	1	1323
skovvej 	1	1307
møllevej 	1	1301
kirkevej 	1	1295
strandvej 	1	1283
gade 	1	900
ved 	1	860
ringvej 	1	841
bygade 	1	832
pizza 	1	799
sønder 	1	723
skole 	1	702
nordre 	1	701
nørre 	1	681
vestre 	1	652
byvej 	1	651
lille 	1	650
parkvej 	1	642
stationsvej 	1	637
søndre 	1	634
boulevard 	1	622
engvej 	1	617
skolevej 	1	615
vester 	1	608
øster 	1	608
østre 	1	605
plads 	1	604
hedevej 	1	600
viborgvej 	1	582
vænge 	1	579
vestergade 	1	559
mosevej 	1	547
østergade 	1	533
ny 	1	526
vejlevej 	1	519
kærvej 	1	507
strandvejen 	1	506
søndergade 	1	503
motorvej 	1	479
og 	1	478
tværvej 	1	474
restaurant 	1	467
industrivej 	1	465
niels 	1	449
kvarter 	1	444
cafe 	1	432
haveforeningen 	1	414
store 	1	402
hovedgade 	1	400
park 	1	375
hovedvejen 	1	368
nørregade 	1	364
hobrovej 	1	360
aalborgvej 	1	349
grill 	1	346
søvej 	1	344
christian 	1	341
skovbrynet 	1	337
ok 	1	336
silkeborgvej 	1	336
vinkelvej 	1	334
plantagevej 	1	332
lærkevej 	1	331
hans 	1	330
holstebrovej 	1	325
hovedgaden 	1	322
havnevej 	1	321
herningvej 	1	319
århusvej 	1	312
café 	1	311
birkevej 	1	301
randersvej 	1	300
roskildevej 	1	296
skivevej 	1	294
koldingvej 	1	292
bakkevej 	1	292
have 	1	288
horsensvej 	1	286
fasanvej 	1	284
statoil 	1	276
mark 	1	266
vibevej 	1	264
klitvej 	1	263
toften 	1	263
jensens 	1	260
bank 	1	255
sankt 	1	254
jens 	1	251
h.c. 	1	248
enghavevej 	1	248
kongevej 	1	246
bøgevej 	1	243
skanderborgvej 	1	242
jernbanegade 	1	242
den 	1	241
strand 	1	240
rosenvænget 	1	238
gyvelvej 	1	237
syrenvej 	1	237
egevej 	1	235
skolegade 	1	232
kro 	1	230
andersens 	1	228
elmevej 	1	227
hovedvej 	1	224
shell 	1	224
gl. 	1	224
toftevej 	1	223
ribevej 	1	223
torv 	1	223
nygade 	1	222
violvej 	1	221
odensevej 	1	221
kystvejen 	1	221
drosselvej 	1	219
bakke 	1	218
bibliotek 	1	217
fælledvej 	1	216
lindevej 	1	215
stadionvej 	1	215
hansens 	1	213
ahornvej 	1	211
nord 	1	210
præstevænget 	1	210
kastanievej 	1	206
grønningen 	1	205
ternevej 	1	205
peter 	1	204
nyvej 	1	204
bredgade 	1	204
kirkebakken 	1	204
skagensvej 	1	203
nielsens 	1	202
mågevej 	1	201
teglværksvej 	1	200
peder 	1	198
vestervang 	1	198
house 	1	197
fjordvej 	1	197
søndermarken 	1	196
ålborgvej 	1	195
bygaden 	1	195
rolighedsvej 	1	194
møllebakken 	1	194
carl 	1	193
solbakken 	1	193
center 	1	192
hybenvej 	1	191
frederiksborgvej 	1	191
gammel landevej 	2	190
landevejen 	1	190
skærbækvej 	1	190
lyngvej 	1	188
præstegårdsvej 	1	188
vesterled 	1	187
tranevej 	1	187
rugvænget 	1	182
jensens vej 	2	182
møllevænget 	1	182
brovej 	1	182
ringstedvej 	1	181
hjørringvej 	1	181
tingvej 	1	180
hansens vej 	2	180
pizzaria 	1	179
gartnervænget 	1	179
anemonevej 	1	179
falkevej 	1	178
tjørnevej 	1	177
egebjergvej 	1	176
skrænten 	1	175
nørremarksvej 	1	174
storegade 	1	174
bellisvej 	1	173
vardevej 	1	172
valmuevej 	1	171
odinsvej 	1	171
pilevej 	1	171
sanct 	1	170
torvet 	1	170
poppelvej 	1	168
andersens vej 	2	168
kildevej 	1	166
vandværksvej 	1	166
nordre ringvej 	2	166
solvænget 	1	165
rønnevej 	1	163
søparken 	1	163
færgevej 	1	163
ringgade 	1	162
nygårdsvej 	1	160
frejasvej 	1	160
ringkøbingvej 	1	159
vest 	1	159
kløvervej 	1	159
syd 	1	159
over 	1	158
frederikssundsvej 	1	156
tinghøjvej 	1	155
parkering 	1	154
østervej 	1	154
i 	1	153
nykøbingvej 	1	153
nielsens vej 	2	153
viborg 	1	152
svinget 	1	151
havnegade 	1	150
assensvej 	1	150
thorsvej 	1	150
søndervang 	1	148
bakken 	1	148
danske 	1	147
irisvej 	1	147
skovvænget 	1	147
tyttebærvej 	1	146
æblehaven 	1	146
nibevej 	1	146
