straße 	1	413504
am 	1	177035
weg 	1	75978
der 	1	64721
im 	1	55844
hauptstraße 	1	38169
an 	1	35613
zum 	1	30963
an der 	2	30504
dorfstraße 	1	25518
st. 	1	22087
bahnhofstraße 	1	20657
auf 	1	19906
alte 	1	19506
in 	1	18281
zur 	1	17903
dr. 	1	15987
den 	1	15761
landstraße 	1	12781
feuerwehr 	1	12671
und 	1	12134
dem 	1	11734
schulstraße 	1	11387
kindergarten 	1	10718
in der 	2	10711
parkplatz 	1	10322
sparkasse 	1	9756
bergstraße 	1	9429
apotheke 	1	9366
auf der 	2	9344
kirche 	1	9178
freiwillige 	1	8936
autobahn 	1	8908
freiwillige feuerwehr 	2	8884
gartenstraße 	1	8732
auf dem 	2	8270
grundschule 	1	7764
obere 	1	7368
bahnhof 	1	7308
allee 	1	7180
berliner 	1	7113
alter 	1	7053
lindenstraße 	1	7021
ringstraße 	1	6987
ring 	1	6983
chaussee 	1	6911
haus 	1	6813
gmbh 	1	6664
kirchstraße 	1	6546
neue 	1	6535
untere 	1	6430
waldstraße 	1	6333
alten 	1	5919
volksbank 	1	5841
für 	1	5744
cafe 	1	5623
rathaus 	1	5581
gasthaus 	1	5491
sankt 	1	5489
hof 	1	5450
markt 	1	5421
birkenweg 	1	5105
in den 	2	5072
restaurant 	1	5042
berg 	1	4994
kirchweg 	1	4906
lange 	1	4772
café 	1	4763
platz 	1	4729
gasse 	1	4503
damm 	1	4402
talstraße 	1	4391
sportplatz 	1	4391
schillerstraße 	1	4335
oberer 	1	4244
mühlenweg 	1	4242
gasthof 	1	4148
goethestraße 	1	4138
kapelle 	1	4127
industriestraße 	1	4045
poststraße 	1	3999
hinter 	1	3991
süd 	1	3932
mühlenstraße 	1	3919
berliner straße 	2	3917
pizzeria 	1	3895
an den 	2	3893
friedhof 	1	3883
jahnstraße 	1	3876
wiesenweg 	1	3840
güterweg 	1	3832
schule 	1	3813
kita 	1	3802
feldstraße 	1	3751
al 	1	3724
med. 	1	3713
marktplatz 	1	3667
wiesenstraße 	1	3531
mühle 	1	3492
dr. med. 	2	3474
bachstraße 	1	3473
unterer 	1	3457
schloßstraße 	1	3305
friedhofstraße 	1	3267
kleine 	1	3255
winkel 	1	3248
bank 	1	3233
kindertagesstätte 	1	3185
römerstraße 	1	3171
am bahnhof 	2	3148
heide 	1	3105
amselweg 	1	3067
anger 	1	3053
burgstraße 	1	3049
post 	1	3039
brunnenstraße 	1	3028
frankfurter 	1	3012
bei 	1	3009
pizza 	1	3004
waldweg 	1	2988
siedlung 	1	2955
buchenweg 	1	2940
des 	1	2916
brückenstraße 	1	2908
am sportplatz 	2	2900
kirchplatz 	1	2898
raiffeisenstraße 	1	2863
