phrase	length	count
οδός 	1	6126
εθνική 	1	2522
εθνική οδός 	2	2429
αγίου 	1	1397
εγνατία 	1	1309
εγνατία οδός 	2	1291
αυτοκινητόδρομος 	1	1173
λεωφόρος 	1	853
επαρχιακή 	1	762
επαρχιακή οδός 	2	756
ιωαννίνων 	1	743
αγίας 	1	725
παλαιά 	1	662
παλαιά εθνική οδός 	3	653
παλαιά εθνική 	2	653
άγιος 	1	650
δημοτικό 	1	623
γεωργίου 	1	616
οδός ιωαννίνων 	2	571
επαρχιακή οδός ιωαννίνων 	3	571
θεσσαλονίκης 	1	567
κορίνθου 	1	541
πατρών 	1	526
βενιζέλου 	1	494
σχολείο 	1	479
aυτοκινητόδρομος 	1	476
δημητρίου 	1	472
κωνσταντίνου 	1	445
πρός 	1	442
δημοτικό σχολείο 	2	441
πάροδος 	1	415
αλεξάνδρου 	1	404
agiou 	1	367
αθηνών 	1	363
εθνική οδός θεσσαλονίκης 	3	343
οδός θεσσαλονίκης 	2	343
ελευθερίου 	1	336
νικολάου 	1	332
πύργου 	1	326
μονή 	1	323
παθε 	1	320
γρηγορίου 	1	314
ελευθερίου βενιζέλου 	2	312
τρικάλων 	1	310
πλατεία 	1	301
αγία 	1	299
παύλου 	1	299
οκτωβρίου 	1	298
μεγάλου 	1	282
γυμνάσιο 	1	282
εθνική οδός κορίνθου 	3	278
οδός κορίνθου 	2	278
εθνικής 	1	276
αγ. 	1	269
παπανδρέου 	1	268
λύκειο 	1	261
ανδρέα 	1	258
αθανασίου 	1	258
taverna 	1	257
σμύρνης 	1	256
καβάλας 	1	256
μαρτίου 	1	255
δημοκρατίας 	1	253
ναός 	1	251
αττική 	1	250
γ. 	1	250
οδοσ 	1	249
αττική οδός 	2	248
μεγάλου αλεξάνδρου 	2	248
κόρινθος 	1	238
περιφερειακή 	1	236
και 	1	232
κύπρου 	1	231
κολοκοτρώνη 	1	223
άρτας 	1	219
πειραιώς 	1	219
αγίων 	1	213
ηρώων 	1	210
κωνσταντινουπόλεως 	1	209
αντιστάσεως 	1	204
βασιλέως 	1	203
νέα 	1	195
διάκου 	1	194
τράπεζα 	1	193
εθνικής αντιστάσεως 	2	192
μελά 	1	192
bar 	1	191
αυτοκινητόδρομος παθε 	2	190
περιφερειακή οδός 	2	190
παλαμά 	1	189
cafe 	1	189
της 	1	188
πολυτεχνείου 	1	187
συνδετήρια 	1	186
το 	1	185
εθνική οδός αθηνών 	3	184
οδός αθηνών 	2	184
ιωάννη 	1	183
οδός άρτας 	2	182
θεοτόκου 	1	180
σοφίας 	1	179
αγίου δημητρίου 	2	177
κρήτης 	1	177
ιερός 	1	177
μαραθώνος 	1	176
ιόνια οδός 	2	175
ιόνια 	1	175
ηρακλείου 	1	175
ποσειδώνος 	1	174
τρίπολης 	1	174
του 	1	172
σερρών 	1	172
αγίου γεωργίου 	2	172
ιερός ναός 	2	171
ν. 	1	169
αριστοτέλους 	1	168
κηφισίας 	1	165
αθηνών-θεσσαλονίκης 	1	165
ειρήνης 	1	165
κιλκίς 	1	164
οδός τρίπολης 	2	164
ηπείρου 	1	163
πλαστήρα 	1	163
χρυσοστόμου 	1	163
χαλκίδας 	1	163
εθνική οδός τρίπολης 	3	162
ι. 	1	161
νηπιαγωγείο 	1	160
κ. 	1	158
ρήγα 	1	158
οδός πατρών 	2	157
ιωάννου 	1	157
εθνική οδός πατρών 	3	157
περιμετρική 	1	156
αιγαίου 	1	154
νέων 	1	153
αθήνα 	1	153
δράμας 	1	152
νεάπολης 	1	152
κανάρη 	1	152
γέφυρα 	1	151
λαμπράκη 	1	148
παπάγου 	1	148
σπύρου 	1	148
σωκράτους 	1	148
κόνιτσας 	1	148
αυτοκινητόδρομος μωρέας 	2	147
