calle 	1	513818
de 	1	361552
avenida 	1	123434
la 	1	106626
del 	1	94115
san 	1	64476
carrera 	1	63244
los 	1	60143
de la 	2	58920
calle de 	2	50723
el 	1	43684
carretera 	1	42976
a 	1	42438
las 	1	38857
camino 	1	37460
juan 	1	28173
pasaje 	1	26688
av. 	1	25781
avenida de 	2	24637
plaza 	1	24282
ruta 	1	23918
santa 	1	21735
josé 	1	21475
de los 	2	20282
sur 	1	19832
calle del 	2	18100
carretera de 	2	18019
francisco 	1	15747
escuela 	1	15697
paseo 	1	14921
y 	1	14747
norte 	1	14739
autovía 	1	14691
de las 	2	14553
general 	1	14512
iglesia 	1	13506
río 	1	13034
de san 	2	12846
manuel 	1	12445
s 	1	12265
luis 	1	11757
antonio 	1	11589
pedro 	1	11536
miguel 	1	11338
calle san 	2	11280
calle de la 	3	11276
camino de 	2	11131
autopista 	1	10875
colegio 	1	10474
maría 	1	10129
centro 	1	9884
plaza de 	2	9408
carlos 	1	9317
bar 	1	9053
nacional 	1	8737
acceso 	1	8567
cruce 	1	8428
jose 	1	8344
mayo 	1	8145
de mayo 	2	7900
martín 	1	7497
real 	1	7380
b 	1	7293
cruz 	1	7275
doctor 	1	7115
autovía del 	2	7060
calle la 	2	7015
paseo de 	2	6884
provincial 	1	6567
valle 	1	6566
julio 	1	6526
bis 	1	6485
diagonal 	1	6463
banco 	1	6165
avenida del 	2	6161
transversal 	1	6079
puerto 	1	6079
c 	1	5888
barrio 	1	5829
farmacia 	1	5680
vicente 	1	5671
e 	1	5628
rio 	1	5621
casa 	1	5589
pablo 	1	5587
travesía 	1	5567
santiago 	1	5449
fuente 	1	5365
san juan 	2	5295
puente 	1	5291
avenida de la 	3	5273
ruta nacional 	2	5246
villa 	1	5155
privada 	1	5098
san martín 	2	5092
c. 	1	4986
sierra 	1	4942
vía 	1	4919
calle el 	2	4879
garcía 	1	4848
ignacio 	1	4844
virgen 	1	4756
iglesia de 	2	4710
paz 	1	4663
ramón 	1	4490
oriente 	1	4485
lópez 	1	4465
mar 	1	4436
domingo 	1	4402
don 	1	4393
ruta provincial 	2	4387
calle los 	2	4372
hospital 	1	4318
centro de 	2	4275
camino del 	2	4232
via 	1	4224
cerro 	1	4170
maria 	1	4086
parque 	1	4082
ronda 	1	4055
rosa 	1	4005
central 	1	3999
n 	1	3992
rafael 	1	3977
al 	1	3957
poniente 	1	3941
madrid 	1	3923
de julio 	2	3886
nueva 	1	3843
mariano 	1	3834
nuestra 	1	3828
calle de los 	3	3796
boulevard 	1	3787
benito 	1	3782
moreno 	1	3767
ermita 	1	3766
dr. 	1	3743
señora 	1	3700
de santa 	2	3697
lago 	1	3682
calle juan 	2	3645
españa 	1	3640
mayor 	1	3621
sol 	1	3617
este 	1	3614
jorge 	1	3611
juan de 	2	3590
santo 	1	3578
padre 	1	3575
nuestra señora 	2	3556
autovía de 	2	3538
oeste 	1	3533
sin 	1	3488
nombre 	1	3477
universidad 	1	3471
j. 	1	3458
cruce ruta 	2	3438
municipal 	1	3437
por 	1	3435
callejón 	1	3435
hidalgo 	1	3431
diego 	1	3414
monte 	1	3395
flores 	1	3384
acceso a 	2	3375
carmen 	1	3368
constitución 	1	3314
san pedro 	2	3312
torres 	1	3307
fernando 	1	3295
independencia 	1	3284
plata 	1	3249
salvador 	1	3232
calle las 	2	3212
libertad 	1	3199
sin nombre 	2	3198
i 	1	3177
león 	1	3170
d 	1	3124
estación 	1	3119
calle río 	2	3113
san josé 	2	3086
plaza de la 	3	3069
salud 	1	3056
m. 	1	3056
enrique 	1	3053
isla 	1	3045
gonzález 	1	3019
a. 	1	3003
restaurante 	1	2976
nº 	1	2971
castillo 	1	2969
instituto 	1	2946
san francisco 	2	2932
calle santa 	2	2918
torre 	1	2909
avenida de los 	3	2900
vega 	1	2887
plaza del 	2	2884
martin 	1	2879
pérez 	1	2877
ciudad 	1	2867
victoria 	1	2861
