phrase	length	count
tee 	1	7948
põik 	1	901
mnt 	1	828
tallinn 	1	794
tartu 	1	689
võru 	1	396
pärnu 	1	393
tallinna 	1	392
viljandi 	1	352
pst 	1	347
rakvere 	1	332
narva 	1	294
luhamaa 	1	257
pargi 	1	229
jaama 	1	215
kooli 	1	194
ringtee 	1	183
põllu 	1	182
sõmeru 	1	179
rapla 	1	165
valga 	1	165
metsa 	1	164
kirik 	1	162
lasteaed 	1	160
tallinna mnt 	2	158
aia 	1	152
jõhvi 	1	148
uus 	1	140
kalda 	1	138
järve 	1	133
kase 	1	131
nurme 	1	128
pikk 	1	125
jõe 	1	124
türi 	1	123
kesk 	1	116
tiigi 	1	115
haapsalu 	1	111
raudtee 	1	111
pärna 	1	111
apteek 	1	107
kadaka 	1	106
karja 	1	105
paldiski 	1	104
peterburi 	1	103
ikla 	1	101
tamme 	1	99
sõpruse 	1	99
männiku 	1	99
tööstuse 	1	98
kohvik 	1	97
tammsaare 	1	93
mäe 	1	93
tammiku 	1	92
kose 	1	90
männi 	1	89
a. 	1	89
h. 	1	88
a. h. 	2	88
h. tammsaare 	2	88
a. h. tammsaare 	3	88
saku 	1	87
kilingi-nõmme 	1	86
veski 	1	86
gümnaasium 	1	85
tehnika 	1	82
oru 	1	82
oja 	1	80
koidu 	1	80
liiva 	1	79
saare 	1	79
ehitajate 	1	79
räpina 	1	78
pae 	1	77
piiri 	1	76
aasa 	1	76
riia 	1	75
kastani 	1	75
kuressaare 	1	75
pihlaka 	1	74
allika 	1	74
a. h. tammsaare tee 	4	74
h. tammsaare tee 	3	74
mõisa 	1	74
tammsaare tee 	2	74
kaare 	1	74
jõgeva 	1	72
kuuse 	1	72
peterburi tee 	2	72
tallinna ringtee 	2	72
ehitajate tee 	2	71
pärnu mnt 	2	71
nõmme 	1	71
vahtra 	1	70
peetri 	1	70
risti 	1	70
tartu mnt 	2	69
viljandi mnt 	2	69
aruküla 	1	67
kadaka tee 	2	67
rahu 	1	66
laagri 	1	66
vabaduse 	1	65
jägala 	1	64
ääsmäe 	1	63
luige 	1	63
männiku tee 	2	63
kool 	1	62
ranna 	1	61
rõngu 	1	61
turu 	1	61
laagna 	1	61
paju 	1	61
lille 	1	60
laagna tee 	2	60
kalmistu 	1	59
põhikool 	1	58
paide 	1	58
juhan 	1	57
lõuna 	1	57
vana 	1	57
soo 	1	56
keila 	1	56
keskuse 	1	55
kaasiku 	1	55
sireli 	1	54
rannamõisa 	1	54
kivi 	1	54
niidu 	1	54
kalevi 	1	52
põhja 	1	52
sadama 	1	52
sõpruse pst 	2	52
põlva 	1	52
õismäe 	1	52
ristiku 	1	52
karksi-nuia 	1	51
heina 	1	51
posti 	1	51
swedbank 	1	50
luha 	1	49
lasteaia 	1	48
akadeemia 	1	48
silla 	1	48
raja 	1	48
petseri 	1	48
paldiski mnt 	2	48
statoil 	1	47
kuivastu 	1	47
õismäe tee 	2	47
lepa 	1	47
võidu 	1	47
raamatukogu 	1	47
välja 	1	47
värska 	1	46
tuleviku 	1	46
imavere 	1	46
tähe 	1	46
põltsamaa 	1	45
endla 	1	45
roheline 	1	45
roosi 	1	45
jüri 	1	45
tulika 	1	44
staadioni 	1	44
väljak 	1	44
laane 	1	44
rohuküla 	1	44
kooli tee 	2	44
mõisa tee 	2	43
kiriku 	1	43
akadeemia tee 	2	43
nooruse 	1	43
vahe 	1	42
kopli 	1	42
sepa 	1	41
tõdva 	1	41
friedrich 	1	41
kirsi 	1	41
lembitu 	1	41
lai 	1	41
saula 	1	41
ülase 	1	41
jõelähtme 	1	41
virtsu 	1	40
tehase 	1	40
seb 	1	40
kloogaranna 	1	40
lossi 	1	40
puiestee 	1	40
aiandi 	1	40
mere 	1	39
allee 	1	39
antsla 	1	39
haigla 	1	38
kemba 	1	38
jaani 	1	38
otepää 	1	38
mustakivi 	1	38
järve tee 	2	38
savi 	1	37
kanepi 	1	37
riia mnt 	2	37
parkla 	1	37
aravete 	1	37
lagedi 	1	37
pizza 	1	37
rõuge 	1	37
neste 	1	37
märjamaa 	1	37
uulu 	1	37
vaksali 	1	37
baar 	1	36
kreutzwaldi 	1	36
lepiku 	1	36
olerex 	1	36
lihula 	1	36
narva mnt 	2	36
randvere 	1	35
reinhold 	1	35
alexela 	1	35
reinhold kreutzwaldi 	2	35
rebase 	1	35
viru 	1	35
juhan smuuli 	2	35
friedrich reinhold 	2	35
mustakivi tee 	2	35
eha 	1	35
friedrich reinhold kreutzwaldi 	3	35
smuuli 	1	35
vee 	1	35
mustvee 	1	35
mustamäe 	1	34
smuuli tee 	2	34
sinilille 	1	34
ööbiku 	1	34
raba 	1	34
võhma 	1	34
audru 	1	34
juhan smuuli tee 	3	34
ja 	1	34
kunda 	1	34
toome 	1	34
kotka 	1	34
postkontor 	1	33
vaida 	1	33
toominga 	1	33
õie 	1	33
cafe 	1	33
tulbi 	1	33
mõniste 	1	33
haljala 	1	33
papli 	1	32
side 	1	32
nõmme tee 	2	32
ravila 	1	32
kungla 	1	32
pargi tee 	2	32
jaama tee 	2	32
kuusiku 	1	32
õuna 	1	32
spordi 	1	31
jakobsoni 	1	31
kannikese 	1	31
urge 	1	31
suure-jaani 	1	31
vanamõisa 	1	31
kraavi 	1	31
kuusalu 	1	31
eesti 	1	30
rahvamaja 	1	30
hiie 	1	30
kõpu 	1	30
kohtla-järve 	1	30
tervise 	1	30
viskla 	1	30
tankla 	1	30
väike 	1	30
rohu 	1	29
kevade 	1	29
hariduse 	1	29
ranna tee 	2	29
tõrva 	1	29
vabriku 	1	29
raasiku 	1	29
peterburi mnt 	2	29
kanarbiku 	1	29
gonsiori 	1	29
suur-sõjamäe 	1	29
kaevu 	1	28
männi tee 	2	28
salu 	1	28
kurna 	1	28
puurmani 	1	28
linnu 	1	28
sauna 	1	28
koidula 	1	28
tarbja 	1	28
pubi 	1	28
kalda tee 	2	28
tabasalu 	1	27
tuhala 	1	27
kure 	1	27
mustamäe tee 	2	27
jälgimäe tee 	2	27
tuule 	1	27
mooni 	1	27
kukruse 	1	27
ringi 	1	27
nõlvaku 	1	27
ülejõe 	1	27
elva 	1	27
jälgimäe 	1	27
kolu 	1	26
emmaste 	1	26
juuliku 	1	26
pikavere 	1	26
käravete 	1	26
loo 	1	26
sild 	1	26
kaasiku tee 	2	26
oksa 	1	26
kallaste 	1	26
sillamäe 	1	26
suvila 	1	25
vilja 	1	25
tondi 	1	25
aardla 	1	25
majaka 	1	25
loode 	1	25
jõesuu 	1	25
tartu lasteaed 	2	25
mõisaküla 	1	25
rahumäe 	1	25
sarapiku 	1	25
kurena 	1	25
näituse 	1	25
vasknarva 	1	25
talu 	1	25
mäo 	1	25
robert 	1	24
kääpa 	1	24
haava 	1	24
loodi 	1	24
järvevana 	1	24
vene 	1	24
karisilla 	1	24
lootsi 	1	24
võmmorski 	1	24
nelgi 	1	24
eivere 	1	24
põdruse 	1	24
abja-paluoja 	1	24
vägeva 	1	24
nurmenuku 	1	24
jaan 	1	24
tori 	1	24
plats 	1	23
toila 	1	23
lukoil 	1	23
kesa 	1	23
eduard 	1	23
lehe 	1	23
järvevana tee 	2	23
iisaku 	1	23
aiandi tee 	2	23
pääsukese 	1	23
kaarli 	1	23
lääne 	1	23
kehra 	1	22
tamme tee 	2	22
kauba 	1	22
liivi 	1	22
maardu 	1	22
restoran 	1	22
haanja 	1	22
kalmistu tee 	2	22
kullerkupu 	1	22
kruusa 	1	22
vallavalitsus 	1	22
keskväljak 	1	22
kuigatsi 	1	22
jalaka 	1	22
sangaste 	1	22
korba 	1	22
sadama tee 	2	22
võsu 	1	22
august 	1	22
tootsi 	1	22
kirna 	1	22
maarja 	1	22
mustla 	1	22
mõisavahe 	1	22
koeru 	1	22
muru 	1	22
aru 	1	22
tsooru 	1	21
carl 	1	21
raua 	1	21
kergu 	1	21
õhtu 	1	21
loovälja 	1	21
vastseliina 	1	21
metsa tee 	2	21
kodu 	1	21
reinu 	1	21
paul 	1	21
kesk tee 	2	21
keskkool 	1	21
hageri 	1	21
saue 	1	21
laeva 	1	21
loovälja tee 	2	21
suve 	1	21
kreegi 	1	21
töökoja 	1	21
randvere tee 	2	20
päästekomando 	1	20
rannametsa 	1	20
vikerkaare 	1	20
hesburger 	1	20
kasemetsa 	1	20
