kalea 	1	9157
auzoa 	1	8118
etorbidea 	1	1064
bidea 	1	982
autobidea 	1	712
errepidea 	1	689
plaza 	1	609
san 	1	523
hiribidea 	1	354
bizkaiko 	1	343
pasealekua 	1	340
bizkaiko golkoko autobidea 	3	336
bizkaiko golkoko 	2	336
golkoko 	1	336
golkoko autobidea 	2	336
bailara 	1	334
barreiatua 	1	329
de 	1	320
elbarrena 	1	306
iruñea 	1	302
elbarrena auzoa 	2	281
diseminados 	1	281
ibilbidea 	1	255
segura 	1	233
sakabanatua 	1	211
kale 	1	203
olabarrieta 	1	203
juan 	1	203
nucleo 	1	195
olabarrieta auzoa 	2	189
segura barreiatua 	2	188
behobia 	1	187
behobia errepidea 	2	187
calle 	1	172
karrika 	1	165
nagusia 	1	161
elizaurrea 	1	158
nafarroa 	1	157
uribarri 	1	152
ormaiztegi 	1	151
erreka 	1	151
ormaiztegi sakabanatua 	2	151
zubillaga 	1	142
zubillaga auzoa 	2	142
izarraitz 	1	140
uribarri auzoa 	2	138
izarraitz auzoa 	2	134
kale nagusia 	2	134
pedro 	1	131
elizatea 	1	129
larraña auzoa 	2	125
larraña 	1	125
santa 	1	124
vasco-aragonesa 	1	120
erreka auzoa 	2	120
autopista vasco-aragonesa 	2	120
autopista 	1	120
goiballara 	1	117
elosiaga auzoa 	2	112
elorregi 	1	112
elosua 	1	112
elosua auzoa 	2	112
elorregi auzoa 	2	112
elosiaga 	1	112
nafarroa etorbidea 	2	109
jose 	1	108
araotz auzoa 	2	108
araotz 	1	108
musakola auzoa 	2	107
musakola 	1	107
gasteiz-irun 	1	102
eibartik autobidea 	2	102
eibartik 	1	102
donostiako 	1	101
garibai 	1	100
leitzarango autobidea 	2	100
leitzarango 	1	100
agirre 	1	97
gunea 	1	97
garibai auzoa 	2	96
kadaguako korridorea 	2	95
korridorea 	1	95
kadaguako 	1	95
irimoegigoena auzoa 	2	94
irimoegigoena 	1	94
arantzazu 	1	92
gabiria 	1	92
arantzazu auzoa 	2	90
basalgo 	1	89
basalgo auzoa 	2	89
urtatza-egialdea auzoa 	2	88
urtatza-egialdea 	1	88
garagaltza 	1	87
sakana etorbidea 	2	87
sakana 	1	87
garagaltza auzoa 	2	87
gudugarreta auzoa 	2	87
gudugarreta 	1	87
ugarana 	1	85
beasainmendi 	1	84
beasainmendi auzoa 	2	84
sorabilla auzoa 	2	83
nafarroako 	1	83
sorabilla 	1	83
arana 	1	83
frantzia 	1	82
ibarra 	1	81
errekalde 	1	81
baztan 	1	81
auzunea 	1	80
ergoena 	1	80
aginaga 	1	79
lizarraga auzoa 	2	78
aginaga auzoa 	2	78
lizarraga 	1	78
ballara 	1	77
galartza 	1	76
uzarraga 	1	76
madariaga 	1	76
uzarraga auzoa 	2	76
madariaga auzoa 	2	76
antonio 	1	75
maria 	1	74
la 	1	74
artzalluz 	1	73
letea 	1	72
saihesbidea 	1	71
aztiria auzoa 	2	70
aztiria 	1	70
aizkorri 	1	69
aratz-erreka auzoa 	2	69
aratz-erreka 	1	69
bildua 	1	69
elizmendi 	1	68
urtsuaran 	1	67
urtsuaran auzoa 	2	67
elduain 	1	67
maría 	1	66
industrialdea 	1	66
ibarbia 	1	66
ibañarrietako bidea 	2	65
urrategi auzoa 	2	65
berezao 	1	65
ibañarrietako 	1	65
urrategi 	1	65
berezao auzoa 	2	65
oñatz 	1	64
aldapa 	1	64
donostiako saihesbidea 	2	63
aintzerga 	1	63
eliz-ballara 	1	63
aintzerga auzoa 	2	63
odria auzoa 	2	63
lazkao barreiatua 	2	63
koate 	1	63
lazkao 	1	63
odria 	1	63
koate auzoa 	2	63
oñatz auzoa 	2	61
aita 	1	60
buruñao 	1	60
iruretaegia auzoa 	2	60
buruñao auzoa 	2	60
iruretaegia 	1	60
ubera auzoa 	2	59
atea 	1	59
gainera auzoa 	2	59
eizagirre 	1	59
ubera 	1	59
eizagirre auzoa 	2	59
gabiria gunea 	2	59
egileor 	1	59
gainera 	1	59
grupo 	1	58
olanaldea auzoa 	2	58
beballara 	1	58
ibarra kalea 	2	58
olanaldea 	1	58
zeharkalea 	1	58
bilbo-galdakao 	1	57
enparantza 	1	57
bilbo-galdakao errepidea 	2	57
errekalde auzoa 	2	57
elbarren 	1	56
luis 	1	56
mari 	1	56
santio erreka auzoa 	3	56
amillaga kalea 	2	56
amillaga 	1	56
basalde 	1	56
santio erreka 	2	56
elbarren ballara 	2	56
santio 	1	56
zubia 	1	56
basalde auzoa 	2	55
olazkoegia auzoa 	2	55
antzizar 	1	55
donostia 	1	55
olazkoegia 	1	55
antzizar auzoa 	2	55
bolibar 	1	55
murgia 	1	54
gesalibar 	1	54
gesalibar auzoa 	2	54
ergoena auzoa 	2	54
altamira 	1	54
arrutiegia auzoa 	2	53
murgia auzoa 	2	53
arrutiegia 	1	53
tolosa 	1	53
aizpea 	1	52
santxolopeztegi auzoa 	2	52
bekoa 	1	52
aizpea auzoa 	2	52
santxolopeztegi 	1	52
y 	1	51
orbeldegi 	1	51
meatzerreka auzoa 	2	51
meatzerreka 	1	51
altamira auzoa 	2	51
ugarana bekoa auzoa 	3	51
bekoa auzoa 	2	51
martin 	1	51
ugarana bekoa 	2	51
orbeldegi auzoa 	2	51
aranerreka 	1	50
arriaran 	1	50
pio 	1	50
arriaran auzoa 	2	50
ama 	1	49
goiauzoa 	1	49
miguel 	1	49
san pedro 	2	49
gaztelu 	1	48
albiztur nucleo 	2	48
bolibar elizatea 	2	48
goikoa 	1	48
zuazola 	1	48
guipuzkoako 	1	48
oikia auzoa 	2	48
migel 	1	48
oikia 	1	48
albiztur 	1	48
buruntza 	1	48
salbatore 	1	48
guipuzkoako etorbidea 	2	48
astarbe 	1	47
arriaga 	1	47
astarbe auzoa 	2	47
leaburu 	1	47
bainuetxeko 	1	47
altzo 	1	47
buruntza auzoa 	2	47
del 	1	47
amasa 	1	46
bedoña 	1	46
aiestaran 	1	46
aiestaran erreka auzoa 	3	46
bedoña auzoa 	2	46
aiestaran erreka 	2	46
salbatore auzoa 	2	46
amasa auzoa 	2	46
lezesarri auzoa 	2	45
mugitxagaina 	1	45
autsoroko errepidea 	2	45
mugitxagaina auzoa 	2	45
segura bildua 	2	45
autsoroko 	1	45
bainuetxeko errepidea 	2	45
esnaola 	1	45
zurrupitieta 	1	45
san juan 	2	45
beasain 	1	45
aranerreka auzoa 	2	45
zurrupitieta kalea 	2	45
galartza auzoa 	2	45
lezesarri 	1	45
zañartu 	1	44
elduain sakabanatua 	2	44
zañartu auzoa 	2	44
lazkaomendi 	1	44
andra 	1	44
larraitz 	1	44
gipuzkoa 	1	43
lazkaomendi auzoa 	2	43
area 	1	43
martires auzoa 	2	43
ibaia 	1	43
martires 	1	43
zuazola auzoa 	2	43
aratz-matxinbenta auzoa 	2	42
pablo 	1	42
jaizkibel 	1	42
olaberria 	1	42
aratz-matxinbenta 	1	42
gasteiz 	1	41
langaurraldea 	1	41
alde 	1	41
upazan 	1	41
esnaola auzoa 	2	41
zaragoza 	1	40
galdona 	1	40
ibaia kalea 	2	39
bizkaia 	1	39
zaragoza etorbidea 	2	39
ezama 	1	39
andra mari 	2	39
xii 	1	39
pio xii 	2	39
goiburu 	1	39
aia 	1	38
san migel 	2	38
urrexola auzoa 	2	38
karmengo 	1	38
urrexola 	1	38
aia auzoa 	2	38
hirigunea 	1	38
errotaldea 	1	38
zumalakarregi 	1	38
goroeta elizaurrea 	2	38
gudarien 	1	38
goroeta 	1	38
izotzalde 	1	37
geltokiko 	1	37
iturrama 	1	37
senpere 	1	37
ikaztegieta 	1	37
lehendakari 	1	37
arruegi 	1	37
ikaztegieta barreiatua 	2	37
elduainalde 	1	37
lezo 	1	37
irimoegibarrena 	1	37
saiatz 	1	37
araba 	1	37
arruegi auzoa 	2	37
mardari auzoa 	2	37
mardari 	1	37
irimoegibarrena auzoa 	2	37
saiatz auzoa 	2	37
otelarre auzoa 	2	36
barbari auzoa 	2	36
barbari 	1	36
iturrama kalea 	2	36
otelarre 	1	36
zaharra 	1	36
goiko 	1	36
hiriburu 	1	36
asua 	1	36
bulebarra 	1	36
mantxola 	1	35
