phrase	length	count
rue 	1	1075411
de 	1	763701
du 	1	399568
des 	1	376596
la 	1	303965
chemin 	1	269023
de la 	2	267533
rue de 	2	256913
rue du 	2	185511
rue des 	2	166514
route 	1	164959
avenue 	1	156143
rue de la 	3	115591
impasse 	1	106665
chemin de 	2	105440
route de 	2	98283
allée 	1	79824
place 	1	78354
chemin du 	2	54033
chemin des 	2	53089
boulevard 	1	51383
chemin de la 	3	43375
le 	1	40093
avenue de 	2	38592
impasse des 	2	31526
allée des 	2	31191
jean 	1	29713
école 	1	29212
avenue du 	2	25237
place de 	2	24613
à 	1	23346
impasse de 	2	22612
impasse du 	2	20489
les 	1	20049
route du 	2	19843
moulin 	1	19793
l'église 	1	18308
de l'église 	2	18034
mairie 	1	17952
église 	1	17517
pierre 	1	16739
avenue des 	2	16280
route de la 	3	16207
rue jean 	2	15427
pont 	1	15181
place du 	2	15151
avenue de la 	3	15086
général 	1	15067
rural 	1	14822
allée de 	2	14664
chemin rural 	2	14469
route des 	2	14419
bois 	1	14125
clos 	1	13592
du moulin 	2	13577
impasse de la 	3	13286
place de la 	3	12724
paul 	1	12697
voie 	1	12668
pharmacie 	1	12610
gare 	1	12491
allée du 	2	12242
résidence 	1	12225
lotissement 	1	12172
primaire 	1	12065
château 	1	12031
ruelle 	1	11885
fontaine 	1	11851
du général 	2	11742
louis 	1	11487
et 	1	11480
centre 	1	11394
autoroute 	1	10957
grande 	1	10922
charles 	1	10595
la gare 	2	10434
de la gare 	3	10289
boulevard de 	2	10281
du château 	2	10225
rue de l'église 	3	10168
georges 	1	10037
grand 	1	9770
henri 	1	9739
école primaire 	2	9365
gaulle 	1	9161
de gaulle 	2	9149
croix 	1	9131
du bois 	2	8717
docteur 	1	8592
chapelle 	1	8498
la fontaine 	2	8497
maréchal 	1	8483
rue pierre 	2	8453
square 	1	8451
jules 	1	8446
petit 	1	8354
maternelle 	1	8342
parking 	1	8207
de la fontaine 	3	7866
quai 	1	7849
du pont 	2	7828
école maternelle 	2	7761
aux 	1	7654
la croix 	2	7622
rue du moulin 	3	7510
au 	1	7501
collège 	1	7493
allée de la 	3	7454
cité 	1	7434
ecole 	1	7277
nationale 	1	7186
place des 	2	7162
de la croix 	3	7055
la mairie 	2	7031
de la mairie 	3	6999
promenade 	1	6925
du docteur 	2	6917
rue paul 	2	6786
rue louis 	2	6768
françois 	1	6700
passage 	1	6655
victor 	1	6652
parc 	1	6613
du maréchal 	2	6597
leclerc 	1	6585
rang 	1	6532
jacques 	1	6520
général de 	2	6493
république 	1	6460
andré 	1	6227
la république 	2	6224
albert 	1	6218
de la république 	3	6211
général de gaulle 	3	6076
rond-point 	1	5993
grande rue 	2	5920
champ 	1	5898
vieux 	1	5872
rue du château 	3	5866
rue henri 	2	5773
du général de 	3	5746
rural de 	2	5732
chemin rural de 	3	5684
du petit 	2	5673
mairie de 	2	5665
pasteur 	1	5621
montée 	1	5545
du clos 	2	5536
du général de gaulle 	4	5512
rue du général 	3	5510
boulevard du 	2	5483
du grand 	2	5454
place de l'église 	3	5412
rue jules 	2	5398
rue charles 	2	5387
poste 	1	5376
marcel 	1	5331
pré 	1	5329
rue georges 	2	5305
principale 	1	5304
nord 	1	5292
vignes 	1	5287
lycée 	1	5281
mai 	1	5262
jaurès 	1	5262
salle 	1	5225
jean jaurès 	2	5212
notre-dame 	1	5199
stade 	1	5182
jardins 	1	5178
joseph 	1	5138
champs 	1	5121
rue du docteur 	3	5108
rené 	1	5015
ville 	1	4994
prés 	1	4988
du stade 	2	4987
maison 	1	4906
maurice 	1	4855
chaussée 	1	4854
rue de la gare 	4	4825
rue principale 	2	4730
cour 	1	4696
communale 	1	4685
écoles 	1	4654
rue du pont 	3	4653
france 	1	4598
sud 	1	4587
paris 	1	4576
des vignes 	2	4544
du parc 	2	4495
des écoles 	2	4437
sentier 	1	4427
petite 	1	4407
ouest 	1	4343
émile 	1	4334
puits 	1	4325
élémentaire 	1	4319
tilleuls 	1	4312
saint-martin 	1	4296
hugo 	1	4289
