phrase	length	count
drachtsterdyk 	1	46
van 	1	37
grinzerstrjitwei 	1	35
de 	1	34
boargemaster 	1	30
ljouwerterdyk 	1	27
falkenawei 	1	26
boargemaster falkenawei 	2	26
bolster 	1	21
amelânleane 	1	19
dinxperloerstrasse 	1	19
julianaleane 	1	19
foarstreek 	1	19
keningin 	1	18
kattebosk 	1	18
alde 	1	16
keningin julianawei 	2	16
julianawei 	1	16
ryksstrjitwei 	1	15
nijstêd 	1	14
haskerútgong 	1	13
it 	1	13
dalkruid 	1	13
gaasterlânleane 	1	13
harnzertrekwei 	1	13
harnzerstrjitwei 	1	12
vegelinswei 	1	12
it mar 	2	11
mar 	1	11
liuwetosk 	1	11
bûgel 	1	10
boalserterdyk 	1	10
fan 	1	10
jousterwei 	1	9
heidemar 	1	9
fluezen 	1	9
barten 	1	9
hollannerdyk 	1	8
yndustrywei 	1	8
burdaarderstrjitwei 	1	8
fonteinkrûd 	1	8
butefjild 	1	8
lidstrjitte 	1	7
hoeksterpaad 	1	7
gruttostrjitte 	1	7
jan 	1	7
a. kuyperstrjitte 	2	7
dopheide 	1	7
karst de jongwei 	3	7
ganzenweide 	1	7
alde komerk 	2	7
boeier 	1	7
karst de 	2	7
der 	1	7
jongwei 	1	7
fan lidstrjitte 	2	7
a. 	1	7
feanskieding 	1	7
piperstrjitte 	1	7
skrâns 	1	7
van der 	2	7
presidint 	1	7
wurdumerdyk 	1	7
atalantastrjitte 	1	7
kennedylaene 	1	7
karst 	1	7
alde feanskieding 	2	7
kuyperstrjitte 	1	7
nijbueren 	1	7
de jongwei 	2	7
presidint kennedylaene 	2	7
komerk 	1	7
scheltingawei 	1	6
hoefblad 	1	6
europaleane 	1	6
coehoorn van 	2	6
gooilandleane 	1	6
jacob hepkemastrjitte 	2	6
curiewei 	1	6
wierewei 	1	6
ds. kingwei 	2	6
tsjerkestrjitte 	1	6
mankesleane 	1	6
kingwei 	1	6
madame 	1	6
grutsân 	1	6
fok 	1	6
coehoorn van scheltingawei 	3	6
j.h. 	1	6
hepkemastrjitte 	1	6
madame curiewei 	2	6
coehoorn 	1	6
ds. 	1	6
van scheltingawei 	2	6
ampereleane 	1	6
jan mankesleane 	2	6
badwei 	1	6
jacob 	1	6
dovenettel 	1	5
frederik hindrikleane 	2	5
hindrikleane 	1	5
frederik 	1	5
lytssân 	1	5
de kúnder 	2	5
moleplein 	1	5
sallânlaene 	1	5
blaugers 	1	5
bûtebaan 	1	5
snitsertrekwei 	1	5
merkwei 	1	5
sminiawei 	1	5
súdergrêftswâl 	1	5
breedpaad 	1	5
kastanjeleane 	1	5
kúnder 	1	5
archimedeswei 	1	5
gashâldersplein 	1	5
rúterskertier 	1	5
saailân 	1	5
van sminiawei 	2	5
noardersingel 	1	5
aengwirderwei 	1	5
einekoai 	1	5
havikhorst 	1	5
