phrase	length	count
an 	1	3925
bóthar 	1	3900
na 	1	3188
sráid 	1	1300
páirc 	1	1214
ascaill 	1	998
bhaile 	1	697
ard 	1	587
lána 	1	522
bóthar an 	2	492
bóthar na 	2	450
céide 	1	417
garrán 	1	410
cúirt 	1	405
uí 	1	400
plás 	1	365
bóthar bhaile 	2	328
chill 	1	292
clós 	1	279
radharc 	1	271
cluain 	1	265
sráid an 	2	264
corrán 	1	256
garda 	1	235
coill 	1	229
cnoc 	1	226
cearnóg 	1	221
gleann 	1	220
station 	1	214
garda station 	2	211
ardán 	1	209
páirc na 	2	199
chnoc 	1	191
faiche 	1	181
páirc an 	2	174
pháirc 	1	165
chaisleáin 	1	163
an chaisleáin 	2	162
mhic 	1	159
baile 	1	151
teampaill 	1	143
an teampaill 	2	142
gort 	1	139
bhaile an 	2	139
sráid na 	2	139
choill 	1	139
slí 	1	138
bóthar chill 	2	138
árd 	1	130
mara 	1	130
mór 	1	129
timpeallán 	1	129
coille 	1	128
thuaidh 	1	125
ráth 	1	124
ghleann 	1	124
na mara 	2	122
nua 	1	118
átha 	1	118
theas 	1	117
halla 	1	112
ghort 	1	112
naomh 	1	112
dún 	1	111
rí 	1	110
na coille 	2	109
ascaill an 	2	107
bhóthar 	1	106
mhuire 	1	106
cé 	1	105
ard na 	2	104
plásóg 	1	104
uachtarach 	1	103
radharc an 	2	103
carraige 	1	98
na carraige 	2	98
bealach 	1	98
arda 	1	95
bhaile uí 	2	93
íochtarach 	1	93
scoil 	1	92
san 	1	89
de 	1	89
ascaill na 	2	88
lána na 	2	88
gairdíní 	1	85
trá 	1	85
ghort na 	2	84
radharc na 	2	82
lána an 	2	82
thoir 	1	80
dara 	1	78
bhaile na 	2	78
graig 	1	77
áth 	1	77
droichead 	1	77
mhór 	1	76
lios 	1	76
cúirt an 	2	75
u 	1	75
mhuilinn 	1	74
eastát 	1	74
bailtíní 	1	74
fuinseoige 	1	73
an mhuilinn 	2	73
stigh 	1	73
gort na 	2	72
na fuinseoige 	2	72
ros 	1	70
aoibhinn 	1	70
cliath 	1	69
an bóthar 	2	69
lorgan 	1	69
stigh lorgan 	2	68
