phrase	length	count
rúa 	1	10335
de 	1	6618
do 	1	4522
da 	1	2912
avenida 	1	2484
camiño 	1	1872
rua 	1	1786
rúa de 	2	1344
autovía 	1	1283
avenida de 	2	1231
das 	1	1158
estrada 	1	1155
rúa do 	2	1148
a 	1	1034
rúa da 	2	942
san 	1	741
praza 	1	713
atlántico 	1	632
travesía 	1	538
autovía do 	2	530
estrada de 	2	500
do atlántico 	2	494
dos 	1	493
autoestrada 	1	490
autoestrada do 	2	488
baixas 	1	478
rías baixas 	2	477
rías 	1	477
autovía das rías baixas 	4	470
autovía das rías 	3	470
das rías 	2	470
autovía das 	2	470
das rías baixas 	3	470
camino 	1	442
camiño da 	2	429
autoestrada do atlántico 	3	413
camiño do 	2	352
río 	1	341
coruña 	1	338
noroeste 	1	332
autovía do noroeste 	3	331
do noroeste 	2	331
santiago 	1	318
de san 	2	316
ponte 	1	303
castro 	1	297
rúa das 	2	290
ronda 	1	279
del 	1	271
avenida da 	2	258
camiño de 	2	257
fonte 	1	237
praza de 	2	236
manuel 	1	230
santa 	1	228
rúa dos 	2	227
o 	1	223
la 	1	211
autopista 	1	203
rua do 	2	202
avenida do 	2	196
madrid 	1	194
campo 	1	191
ramón 	1	187
concello 	1	184
de santiago 	2	181
as 	1	179
de la 	2	177
rua da 	2	175
cantábrico 	1	174
paseo 	1	174
casa 	1	172
de castro 	2	171
a coruña 	2	168
do cantábrico 	2	166
real 	1	165
autovía do cantábrico 	3	164
rúa san 	2	164
monte 	1	163
josé 	1	159
do concello 	2	158
casa do 	2	156
maría 	1	154
travesía de 	2	154
rúa río 	2	154
camino de 	2	152
igrexa 	1	147
antonio 	1	146
estrada da 	2	141
castelao 	1	140
del atlántico 	2	138
autovía del 	2	137
rua de 	2	135
autovía del atlántico 	3	133
costa 	1	127
val 	1	126
praza da 	2	126
rosalía de castro 	3	125
lugo 	1	125
rosalía de 	2	125
rosalía 	1	125
arriba 	1	125
estrada madrid 	2	124
de arriba 	2	123
abaixo 	1	123
de abaixo 	2	122
central 	1	120
praza do 	2	120
vía 	1	120
doutor 	1	119
casa do concello 	3	119
pardo 	1	117
ferrol 	1	117
francisco 	1	116
otero 	1	115
outeiro 	1	114
ronda de 	2	113
do val 	2	113
os 	1	112
galicia 	1	108
gallega 	1	107
autopista central gallega 	3	107
fernández 	1	107
autopista central 	2	107
central gallega 	2	107
de santa 	2	104
da coruña 	2	104
garcía 	1	102
de lugo 	2	101
nova 	1	101
pedro 	1	99
avenida das 	2	99
miñor 	1	97
val miñor 	2	97
do val miñor 	3	96
rodríguez 	1	96
á 	1	95
rúa de san 	3	95
da ponte 	2	93
baixada 	1	93
cruceiro 	1	92
autopista do 	2	91
vilalba 	1	90
santiago de 	2	90
vigo 	1	90
pintor 	1	88
rúa manuel 	2	88
de galicia 	2	87
da fonte 	2	86
cruz 	1	85
eduardo 	1	85
y 	1	83
camiño das 	2	83
mariña 	1	83
curros 	1	83
do río 	2	81
rúa a 	2	81
lugar 	1	81
ourense 	1	81
xosé 	1	80
lópez 	1	80
porto 	1	80
de santiago de 	3	79
estrada do 	2	79
travesa 	1	78
autovía ferrol 	2	77
camino de santiago 	3	77
fonte do 	2	76
feira 	1	76
autoestrada do val 	3	75
roque 	1	75
alcalde 	1	75
campo da 	2	75
autoestrada do val miñor 	4	75
subida 	1	75
luis 	1	74
vella 	1	74
juan 	1	74
mar 	1	73
de castelao 	2	72
san roque 	2	72
ribeira 	1	72
pérez 	1	71
de outeiro 	2	71
virxe 	1	71
travesia 	1	71
autopista do atlántico 	3	70
castelo 	1	70
santo 	1	70
ronda de outeiro 	3	70
avenida de lugo 	3	69
rúa o 	2	68
da feira 	2	67
do cruceiro 	2	67
de madrid 	2	67
camino de santiago de 	4	66
camino de santiago de invierno 	5	66
de santiago de invierno 	4	66
do mar 	2	66
invierno 	1	66
santiago de invierno 	3	66
enríquez 	1	66
enlace 	1	66
de invierno 	2	66
rio 	1	64
do campo 	2	64
avenida da coruña 	3	64
paz 	1	64
vila 	1	63
mestre 	1	62
pontevedra 	1	62
aires 	1	62
curros enríquez 	2	62
ferreiro 	1	61
fernando 	1	61
da igrexa 	2	61
rúa rosalía de castro 	4	60
de vigo 	2	60
camiño a 	2	60
rúa rosalía de 	3	60
blanco 	1	60
rúa rosalía 	2	60
ponte de 	2	59
veiga 	1	59
da mariña 	2	59
pedrayo 	1	59
otero pedrayo 	2	59
do monte 	2	58
vicente 	1	58
capela 	1	58
pondal 	1	58
souto 	1	58
carretera 	1	57
ao 	1	57
miguel 	1	57
bazán 	1	57
paseo de 	2	57
arteixo 	1	57
avenida de galicia 	3	57
pista 	1	57
do castro 	2	57
pablo 	1	56
arenal 	1	56
travesía da 	2	56
xoán 	1	56
de arteixo 	2	56
illa 	1	55
quiroga 	1	55
rúa ramón 	2	55
conde 	1	55
pardo bazán 	2	55
e 	1	55
alfonso 	1	55
centro 	1	54
concepción 	1	54
gonzález 	1	54
travesía do 	2	53
constitución 	1	53
carme 	1	52
francés 	1	52
concepción arenal 	2	52
vello 	1	51
fraga 	1	51
miño 	1	51
enrique 	1	51
san pedro 	2	51
do porto 	2	51
alto 	1	51
mariñas 	1	50
agro 	1	50
camiño dos 	2	50
ricardo 	1	50
alexandre 	1	50
camino da 	2	50
a rúa 	2	50
do carme 	2	50
torre 	1	50
eduardo pondal 	2	50
emilio 	1	49
a gudiña 	2	49
carlos 	1	49
cela 	1	49
gudiña 	1	49
martínez 	1	48
casas 	1	48
rúa doutor 	2	48
emilia 	1	48
compostela 	1	48
vía de 	2	47
bóveda 	1	47
camilo 	1	47
praia 	1	47
iglesias 	1	47
rúa nova 	2	47
cervantes 	1	47
camiño real 	2	47
campo da feira 	3	47
rúa fonte 	2	46
pena 	1	46
rúa alcalde 	2	46
bispo 	1	46
alexandre bóveda 	2	46
piñeiro 	1	46
foz 	1	45
benito 	1	45
rúa santa 	2	45
pedra 	1	45
brión 	1	45
domingo 	1	44
estación 	1	44
paseo da 	2	44
de ramón 	2	44
salvador 	1	44
gómez 	1	44
noia 	1	44
rúa pintor 	2	43
vilar 	1	43
estrada a 	2	43
salnés 	1	43
república 	1	43
andrés 	1	43
emilia pardo 	2	42
carballo 	1	42
rua san 	2	42
avenida de madrid 	3	42
carretera a 	2	42
cunqueiro 	1	42
emilia pardo bazán 	3	41
cajal 	1	41
beiramar 	1	41
rafael 	1	41
rúa josé 	2	41
y cajal 	2	41
casal 	1	41
amor 	1	41
carretera a gudiña 	3	41
do salnés 	2	40
rua dos 	2	40
cee 	1	40
norte 	1	40
clara 	1	40
novo 	1	40
de foz 	2	40
murguía 	1	39
autovía santiago 	2	39
avenida do mar 	3	39
rúa da ponte 	3	39
sil 	1	39
ponte da 	2	39
calvo 	1	39
progreso 	1	38
celso 	1	38
romero 	1	38
da cruz 	2	38
benigno 	1	38
maior 	1	38
ramón y cajal 	3	38
ramón y 	2	38
rua das 	2	38
iglesia 	1	37
parcelaria de 	2	37
campo de 	2	37
parcelaria de foz 	3	37
rúa camiño 	2	37
parcelaria 	1	37
rúa de santiago 	3	37
rivera 	1	37
club 	1	37
manuel murguía 	2	37
concello de 	2	37
varela 	1	37
hospital 	1	37
igrexa de 	2	37
serra 	1	37
álvaro 	1	36
da paz 	2	36
da costa 	2	36
rego 	1	36
portela 	1	36
rúa da fonte 	3	36
españa 	1	36
universidade 	1	36
da constitución 	2	36
grande 	1	36
avenida de san 	3	36
don 	1	35
celso emilio ferreiro 	3	35
calvo sotelo 	2	35
cabo 	1	35
sol 	1	35
celso emilio 	2	35
emilio ferreiro 	2	35
sotelo 	1	35
rúa maría 	2	35
de a 	2	35
la coruña 	2	35
rúa otero 	2	35
núñez 	1	35
campoamor 	1	35
lamas 	1	35
ernesto 	1	35
buenos aires 	2	34
rúa curros 	2	34
poeta 	1	34
ronda del real 	3	34
deportivo de la coruña 	4	34
medio 	1	34
autovia 	1	34
de ricardo 	2	34
club deportivo de la 	4	34
real club deportivo de la 	5	34
mercado 	1	34
saúde 	1	34
ronda del 	2	34
del real 	2	34
ronda del real club deportivo 	5	34
real club deportivo de 	4	34
deportivo 	1	34
ángel 	1	34
club deportivo 	2	34
portugal 	1	34
de la coruña 	3	34
de manuel 	2	34
del real club deportivo 	4	34
del real club deportivo de 	5	34
club deportivo de la coruña 	5	34
rúa as 	2	34
díaz 	1	34
buenos 	1	34
deportivo de 	2	34
montero 	1	34
ulla 	1	34
deportivo de la 	3	34
clara campoamor 	2	34
real club deportivo 	3	34
real club 	2	34
ronda del real club 	4	34
del real club 	3	34
club deportivo de 	3	34
martín 	1	33
da universidade 	2	33
centro de 	2	33
prado 	1	33
virxe do 	2	33
victoria 	1	33
rúa campo 	2	33
xoan 	1	33
cacheiras 	1	33
rúa antonio 	2	33
las 	1	33
de pontevedra 	2	33
colón 	1	33
viso 	1	33
alonso 	1	33
avenida dos 	2	32
vázquez 	1	32
avenida de castelao 	3	32
de rosalía de 	3	32
tras 	1	32
calexón 	1	32
padre 	1	32
antón 	1	32
nosa 	1	32
do medio 	2	32
de rosalía de castro 	4	32
martiño 	1	32
arousa 	1	32
das mariñas 	2	32
de rosalía 	2	32
tui 	1	32
sar 	1	32
do agro 	2	31
ronda da 	2	31
guevara 	1	31
los 	1	31
ríos 	1	31
loureiro 	1	31
gándara 	1	31
trincheira 	1	31
agra 	1	31
a. 	1	31
rei 	1	31
baixada a 	2	31
camelias 	1	31
de san roque 	3	31
do doutor 	2	31
do camiño 	2	31
camiño vello 	2	31
da trincheira 	2	31
rúa real 	2	31
estrada da trincheira 	3	31
de compostela 	2	30
tr. 	1	30
grupo 	1	30
seoane 	1	30
frances 	1	30
san martiño 	2	30
penedo 	1	30
sánchez 	1	30
gonzalo 	1	30
corredoira 	1	30
de españa 	2	30
fonte da 	2	30
do viso 	2	30
de portugal 	2	30
devesa 	1	30
da virxe 	2	30
san francisco 	2	30
lorenzo 	1	30
lázaro 	1	30
pías 	1	30
volta 	1	30
de arousa 	2	29
túnel 	1	29
guarda 	1	29
ernesto che guevara 	3	29
paseo do 	2	29
de clara 	2	29
de clara campoamor 	3	29
ernesto che 	2	29
rúa francisco 	2	29
avenida de ricardo 	3	29
avenida das mariñas 	3	29
san lázaro 	2	29
che 	1	29
magdalena 	1	29
praza das 	2	29
carmen 	1	29
castela 	1	29
de castela 	2	29
avenida ernesto che guevara 	4	29
che guevara 	2	29
avenida ernesto 	2	29
avenida ernesto che 	3	29
estrada dos 	2	29
torrente 	1	29
avenida de arteixo 	3	29
rúa curros enríquez 	3	28
de santo 	2	28
campos 	1	28
praza de san 	3	28
praza de españa 	3	28
rúa illa 	2	28
joaquín 	1	28
rúa de manuel 	3	28
alfredo 	1	28
illas 	1	28
das pías 	2	28
gregorio 	1	28
avenida de beiramar 	3	28
cruceiro da 	2	28
de beiramar 	2	28
illa de 	2	28
camino frances 	2	28
calzada 	1	28
rúa otero pedrayo 	3	28
porta 	1	28
do cruceiro da 	3	28
de cacheiras 	2	28
camino do 	2	27
pazo 	1	27
rúa monte 	2	27
venezuela 	1	27
bernardo 	1	27
santa maría 	2	27
muiño 	1	27
barbanza 	1	27
avenida de compostela 	3	27
torres 	1	27
número 	1	27
álvarez 	1	27
avenida das pías 	3	27
old 	1	27
avenida da universidade 	3	27
rúa do agro 	3	27
cruceiro da coruña 	3	27
rúa de castelao 	3	27
do cruceiro da coruña 	4	27
da estación 	2	27
suárez 	1	27
avenida da mariña 	3	27
lugar de 	2	27
álvaro cunqueiro 	2	26
cabanillas 	1	26
avenida de santa 	3	26
freire 	1	26
cidade 	1	26
rúa luis 	2	26
conxo 	1	26
burgo 	1	26
muralla 	1	26
fraguas 	1	26
costa de 	2	26
vía de la 	3	26
xunqueira 	1	26
estrela 	1	26
de noia 	2	26
baiona 	1	26
fonte de 	2	26
vega 	1	26
travesía de vigo 	3	25
do concello de 	3	25
nelle 	1	25
das camelias 	2	25
neira 	1	25
praza maior 	2	25
a ponte 	2	25
irmáns 	1	25
ramón cabanillas 	2	25
senra 	1	25
do outeiro 	2	25
camilo josé 	2	25
de nelle 	2	25
ortigueira 	1	25
casa do concello de 	4	25
estrada de clara campoamor 	4	25
de conxo 	2	25
valle 	1	25
rúa do campo 	3	25
da ribeira 	2	25
rúa eduardo 	2	25
estrada de clara 	3	25
plaza 	1	25
bouza 	1	25
ó 	1	25
fuente 	1	25
señora 	1	25
do conde 	2	25
ouro 	1	25
da muralla 	2	25
doctor 	1	25
camilo josé cela 	3	25
ponte do 	2	25
de antonio 	2	25
san andrés 	2	25
volta do 	2	25
josé cela 	2	25
ronda da muralla 	3	25
regueiro 	1	24
médico 	1	24
alta 	1	24
granxa 	1	24
rivas 	1	24
diego 	1	24
escultor 	1	24
mina 	1	24
pita 	1	24
couto 	1	24
laxe 	1	24
forno 	1	24
eirís 	1	24
rua manuel 	2	24
de ourense 	2	24
subida a 	2	24
vista 	1	24
casares 	1	24
mella 	1	24
