phrase	length	count
stross 	1	125
friburger 	1	52
gass 	1	48
schimbergstross 	1	47
basler 	1	37
basler stross 	2	37
am 	1	37
im 	1	34
landstross 	1	31
friburger landstross 	2	31
k 	1	24
hauptstross 	1	24
oberer 	1	23
wäg 	1	21
wistross 	1	18
underer 	1	18
chilegass 	1	18
lindestross 	1	18
friburger stross 	2	16
baslerstross 	1	14
grundwäg 	1	14
kirchgass 	1	13
breitchewäg 	1	13
dalwäg 	1	12
röemerstross 	1	12
stressla 	1	12
pfettsner 	1	11
pfettsner stross 	2	11
chlämmliwäg 	1	11
leineliwäg 	1	11
langgass 	1	11
dalhüser 	1	11
neugass 	1	10
schädlerwäg 	1	10
ehgäß 	1	10
niderbergwäg 	1	10
dalhüser wäg 	2	10
hintergass 	1	10
kilpesträßli 	1	9
seilergass 	1	9
hohfirschtwäg 	1	9
uf 	1	9
rütigass 	1	9
länggass 	1	9
obergass 	1	9
müligass 	1	8
stationewägchapellili 	1	8
brunnagger 	1	8
middlerer niderbergwäg 	2	8
am gaishof 	2	8
gaishof 	1	8
wiistross 	1	8
fushaldegässli 	1	8
middlerer 	1	8
schirmeckerring 	1	8
kilchwäg 	1	8
spiegeltor 	1	8
johaneskrütgassla 	1	8
im brunnagger 	2	8
hasebuckwäg 	1	8
zum 	1	8
hibschligwäg 	1	7
de 	1	7
fushaldewäg 	1	7
chämpfewäg 	1	7
riddiwäg 	1	7
mihlbach 	1	7
kroneburjer 	1	7
kroneburjer ring 	2	7
madamepfädel 	1	7
rhinstross 	1	7
güàtàlitstross 	1	7
schelmegrabe 	1	7
sohansewäg 	1	7
langziel 	1	7
am mihlbach 	2	7
underer schädlerwäg 	2	7
dentschastross 	1	7
ring 	1	7
godsaggerwäg 	1	7
uf der sinnà 	3	6
hoffnungstross 	1	6
schiessraan 	1	6
boerscher stross 	2	6
kàmispfàd 	1	6
am schiessraan 	2	6
sinnà 	1	6
boerscher 	1	6
underer breitchewäg 	2	6
uf der 	2	6
wäj 	1	6
der sinnà 	2	6
der 	1	6
röedigerbuckel 	1	6
chapfwäg 	1	6
oberer breitchewäg 	2	6
dorfstross 	1	6
buechgass 	1	5
mattuwäg 	1	5
ellziger stross 	2	5
altgass 	1	5
rennwäg 	1	5
brunne 	1	5
rössligass 	1	5
brisacher 	1	5
bàslertor 	1	5
chäpelligass 	1	5
schlossplatz 	1	5
bruemler stross 	2	5
baumgardestross 	1	5
wangegrabe 	1	5
bahnhofsstros 	1	5
heerewäg 	1	5
hohli 	1	5
marikplatz 	1	5
gràstigàss 	1	5
breitegass 	1	5
sessiwäg 	1	5
undergass 	1	5
badgass 	1	5
chäpelliring 	1	5
chiembergwäg 	1	5
hägli 	1	5
wiigass 	1	5
chüegass 	1	5
brigguwäg 	1	5
dirreberggass 	1	5
hohli gass 	2	5
munigass 	1	5
mühligass 	1	5
waj 	1	5
im hägli 	2	5
oberer fushaldewäg 	2	5
bruemler 	1	5
ellziger 	1	5
kiefergànglà 	1	5
schmittegass 	1	5
häslerwäg 	1	5
friburger wäg 	2	5
ebringer 	1	5
bohlwäg 	1	5
