raad 	1	120
bayr 	1	89
ny 	1	62
y 	1	49
balley 	1	47
reayrt 	1	37
straid 	1	32
close 	1	31
raad balley 	2	29
balley cashtal 	2	24
shenn raad balley 	3	24
cashtal 	1	24
shenn 	1	24
shenn raad 	2	24
raad balley cashtal 	3	24
shenn raad balley cashtal 	4	24
pairk 	1	23
yn 	1	22
bayr ny 	2	17
cheyllys 	1	16
glion 	1	16
lhoan 	1	16
cronk 	1	15
taggyrt 	1	13
thie ny 	2	13
ny taggyrt 	2	13
thie ny taggyrt 	3	13
raad thie ny 	3	13
raad thie ny taggyrt 	4	13
thie 	1	13
raad thie 	2	13
ard 	1	12
bayr yn 	2	12
corran 	1	12
yee 	1	12
astyl 	1	12
jeirnyn 	1	12
jeirnyn yee 	2	12
traie 	1	12
ard reayrt 	2	11
raad cheyllys 	2	11
imman 	1	11
phaayl 	1	10
meanagh 	1	10
valley 	1	9
balley meanagh 	2	9
bayr balley 	2	9
bayr balley meanagh 	3	9
lheeannee 	1	9
reayrt ny 	2	8
meay 	1	8
glion meay 	2	8
pairk glion meay 	3	8
pairk glion 	2	8
beg 	1	7
bayr glion 	2	7
chor 	1	7
bayr y 	2	7
poyll 	1	7
bayr yn chor 	3	7
yn chor 	2	7
marrey 	1	6
lheeannee harcroft 	2	6
harcroft 	1	6
raad poyll roish 	3	6
raad poyll 	2	6
raad y 	2	6
roish 	1	6
poyll roish 	2	6
kerrin 	1	6
fistard 	1	6
keyll 	1	6
reayrt aalin 	2	6
reayrt y 	2	6
y traie 	2	6
aalin 	1	6
bayr y cheyllys 	3	5
cheean 	1	5
bayre y traie 	3	5
bayre y 	2	5
raad droghad phaayl 	3	5
c phaayl 	2	5
vannor 	1	5
gorrym 	1	5
olaf 	1	5
yn shoolaghan 	2	5
baie 	1	5
bayr valley 	2	5
vagher 	1	5
balleira 	1	5
vaarny 	1	5
droghad 	1	5
ny traie 	2	5
close robert 	2	5
bayr ny balleira 	3	5
yn chor cheean 	3	5
raad droghad 	2	5
droghad phaayl 	2	5
chor cheean 	2	5
bayr yn chor cheean 	4	5
ny marrey 	2	5
pairk beg 	2	5
y vaarny yiarg 	3	5
close clageen 	2	5
keeill 	1	5
close olaf 	2	5
shoolaghan 	1	5
bayre 	1	5
clageen 	1	5
robert 	1	5
chrink 	1	5
yiarg 	1	5
y cheyllys 	2	5
raad jeirnyn yee 	3	5
y vaarny 	2	5
c 	1	5
y vannor 	2	5
clageen gorrym 	2	5
raad jeirnyn 	2	5
straid y 	2	5
vaarny yiarg 	2	5
ny balleira 	2	5
stashoon 	1	5
close clageen gorrym 	3	5
cronk ny 	2	5
