phrase	length	count
שדרות 	1	2410
ישראל 	1	1390
בן 	1	1008
שביל 	1	933
הרב 	1	819
שביל ישראל 	2	811
בית 	1	798
דוד 	1	699
יצחק 	1	656
משה 	1	576
כביש 	1	538
חיים 	1	450
יהודה 	1	447
נחל 	1	398
ירושלים 	1	398
מנחם 	1	395
יוסף 	1	381
יעקב 	1	333
בגין 	1	331
המלך 	1	328
מנחם בגין 	2	319
הרצל 	1	301
אל 	1	264
כיכר 	1	262
צבי 	1	259
סמטת 	1	256
הר 	1	252
גוריון 	1	244
בן גוריון 	2	242
דרך 	1	235
בר 	1	234
תל 	1	232
שלמה 	1	230
מאיר 	1	222
משעול 	1	221
רבין 	1	215
ויצמן 	1	212
ז'בוטינסקי 	1	211
הנשיא 	1	208
מבוא 	1	202
ציון 	1	196
חוצה 	1	195
רבי 	1	194
חטיבת 	1	191
שלום 	1	187
מבצע 	1	187
ספר 	1	182
העצמאות 	1	180
אלון 	1	177
מעלה 	1	177
יצחק רבין 	2	177
אריה 	1	174
אברהם 	1	174
איילון 	1	171
עין 	1	169
אבן 	1	168
בית ספר 	2	163
הזית 	1	160
שדרות דוד 	2	159
הבנים 	1	157
הערבה 	1	152
נוף 	1	152
מרדכי 	1	151
לוי 	1	150
הגפן 	1	148
יגאל 	1	148
שדרות ירושלים 	2	146
חוצה ישראל 	2	144
קרן 	1	144
שמואל 	1	141
כביש חוצה ישראל 	3	141
כביש חוצה 	2	141
אליעזר 	1	137
הנביא 	1	136
עמק 	1	134
אביב 	1	132
מרכז 	1	132
שמעון 	1	131
ביאליק 	1	131
המייסדים 	1	131
בני 	1	129
אליהו 	1	128
דוד בן 	2	127
דב 	1	127
בנק 	1	127
ההסתדרות 	1	126
כהן 	1	125
דוד בן גוריון 	3	125
שדרות דוד בן גוריון 	4	125
שאול 	1	125
שדרות דוד בן 	3	125
שדרות מנחם 	2	124
שדרות מנחם בגין 	3	124
הירדן 	1	123
הרימון 	1	121
אשכול 	1	121
ההגנה 	1	119
הלוי 	1	119
חי 	1	118
בן צבי 	2	117
התאנה 	1	117
חניון 	1	116
אהרון 	1	116
אבא 	1	115
יהושע 	1	112
ספיר 	1	112
גן 	1	110
הרצוג 	1	110
השלום 	1	109
תל אביב 	2	108
דיין 	1	105
הים 	1	105
זאב 	1	105
קפה 	1	104
שדה 	1	103
"צה""ל "	1	103
שרת 	1	103
הדקל 	1	102
שדרות יצחק 	2	102
החוף 	1	101
"בי""ס "	1	101
רוטשילד 	1	100
פנחס 	1	100
יפה 	1	99
נתן 	1	98
הגליל 	1	98
רחבת 	1	98
אלעזר 	1	97
משה דיין 	2	97
בנימין 	1	96
החשמונאים 	1	96
הכרמל 	1	95
האלון 	1	94
חיפה 	1	93
המעפילים 	1	92
קהילת 	1	92
היסוד 	1	92
הלל 	1	91
הימים 	1	90
ששת הימים 	2	90
זלמן 	1	90
ששת 	1	90
דן 	1	90
לוי אשכול 	2	89
עזרא 	1	89
נחום 	1	89
דרום 	1	89
ארלוזורוב 	1	89
קרן היסוד 	2	88
רמז 	1	88
"ד""ר "	1	88
אלי 	1	87
כביש החוף 	2	87
הברוש 	1	87
יהודה הלוי 	2	87
התמר 	1	87
יחזקאל 	1	86
הנביאים 	1	86
חולים 	1	86
קרית 	1	86
כביש תל 	2	85
כביש תל אביב ירושלים 	4	85
כביש תל אביב 	3	85
אביב ירושלים 	2	85
תל אביב ירושלים 	3	85
שדרות יצחק רבין 	3	85
חנה 	1	84
השרון 	1	83
האלה 	1	83
החרוב 	1	83
גולדה 	1	80
כנסת 	1	80
הציונות 	1	78
גולדה מאיר 	2	78
