marg 	1	2115
nagar 	1	546
gandhi 	1	169
gandhi marg 	2	159
mahatma 	1	147
mahatma gandhi 	2	145
mahatma gandhi marg 	3	143
road 	1	108
bazar 	1	99
bazaar 	1	97
singh 	1	52
singh marg 	2	48
s 	1	43
colony 	1	41
g 	1	40
n 	1	40
m 	1	40
mandir 	1	39
station 	1	39
ram 	1	38
madhya marg 	2	37
madhya 	1	37
police 	1	37
b 	1	37
dakshin 	1	36
ali 	1	36
dakshin marg 	2	36
k 	1	36
vikas 	1	36
mandir marg 	2	35
ashok 	1	34
weavers colony r.v. 	3	31
colony r.v. 	2	31
weavers 	1	31
r.v. nagar 	2	31
weavers colony r.v. nagar 	4	31
colony r.v. nagar 	3	31
r.v. 	1	31
weavers colony 	2	31
vikas marg 	2	30
post 	1	30
police station 	2	29
swami 	1	29
nagar police 	2	29
lbs marg 	2	29
lbs 	1	29
d 	1	28
office 	1	28
main 	1	28
a 	1	27
vidya 	1	26
himalaya 	1	26
himalaya marg 	2	26
khan 	1	26
post office 	2	26
nagar police station 	3	25
patil 	1	25
sant 	1	25
patil marg 	2	25
narayan 	1	25
jan 	1	23
vidya marg 	2	23
jan marg 	2	23
school 	1	23
adi 	1	22
lal 	1	22
joshi marg 	2	22
ashok marg 	2	22
joshi 	1	22
khan marg 	2	21
kranti marg 	2	21
august kranti marg 	3	21
august kranti 	2	21
august 	1	21
kranti 	1	21
bahadur 	1	20
bhoir 	1	20
bhoir marg 	2	20
atmaram bhoir 	2	20
azad 	1	20
atmaram 	1	20
atmaram bhoir marg 	3	20
shastri 	1	20
v 	1	19
nehru 	1	19
r 	1	19
nagar post office 	3	19
nagar post 	2	19
mohan 	1	19
narayan marg 	2	19
senapati bapat marg 	3	18
bapat marg 	2	18
bapat 	1	18
senapati 	1	18
shah 	1	18
senapati bapat 	2	18
c 	1	17
meerut-karnal marg 	2	17
meerut-karnal 	1	17
ali marg 	2	17
abdul 	1	17
kelkar marg 	2	16
p 	1	16
guru 	1	16
राजकीय 	1	16
malviya 	1	16
kelkar 	1	16
patel 	1	16
रोड 	1	16
nehru marg 	2	16
j 	1	15
shaheed 	1	15
bus 	1	15
ram marg 	2	15
shastri marg 	2	15
market 	1	15
pandit 	1	14
bahadur shastri marg 	3	14
swami narayan 	2	14
gaffar khan 	2	14
मिशन 	1	14
prasad 	1	14
rao 	1	14
aradhak 	1	14
भीलवाड़ा 	1	14
raintree marg 	2	14
street 	1	14
abdul gaffar khan 	3	14
l 	1	14
lal bahadur shastri marg 	4	14
aradhak marg 	2	14
nagar bus 	2	14
gaffar khan marg 	3	14
lal bahadur 	2	14
muzzafarnagar-mirapur marg 	2	14
abdul gaffar khan marg 	4	14
muzzafarnagar-mirapur 	1	14
abdul gaffar 	2	14
swami narayan marg 	3	14
bahadur shastri 	2	14
raintree 	1	14
patel marg 	2	14
gaffar 	1	14
lal bahadur shastri 	3	14
acharya 	1	14
pratap 	1	13
shankar 	1	13
maulana 	1	13
aruna asif ali 	3	13
bhosle marg 	2	13
azad nagar 	2	13
aruna asif 	2	13
asif ali marg 	3	13
asif 	1	13
shri 	1	13
malviya marg 	2	13
bhosle 	1	13
aruna asif ali marg 	4	13
asif ali 	2	13
aruna 	1	13
वर्ल्ड मिशन 	2	12
मिशन सोसाइटी 	2	12
aurobindo 	1	12
s g barve marg 	4	12
adi sankaracharya marg 	3	12
shahid 	1	12
sankaracharya 	1	12
madan mohan 	2	12
mohan malviya 	2	12
adi sankaracharya 	2	12
aurobindo marg 	2	12
g barve 	2	12
depot 	1	12
गॉड वर्ल्ड मिशन 	3	12
krishna 	1	12
ambedkar 	1	12
sankaracharya marg 	2	12
वर्ल्ड मिशन सोसाइटी 	3	12
g barve marg 	3	12
madan mohan malviya 	3	12
barve marg 	2	12
गॉड 	1	12
एलोहीम 	1	12
ram nagar 	2	12
mohan malviya marg 	3	12
सोसाइटी 	1	12
s g barve 	3	12
वर्ल्ड 	1	12
pratap marg 	2	12
bhagat 	1	12
madan mohan malviya marg 	4	12
madan 	1	12
wmc 	1	12
गॉड वर्ल्ड मिशन सोसाइटी 	4	12
s g 	2	12
barve 	1	12
गॉड वर्ल्ड 	2	12
h 	1	11
laxmibai kelkar marg 	3	11
होंग 	1	11
फसह 	1	11
mandela 	1	11
guru gobind 	2	11
shyama 	1	11
आन 	1	11
ऑफ गॉड 	2	11
सांग 	1	11
ऑफ 	1	11
सांग होंग 	2	11
bhagat singh marg 	3	11
prasad mukherji 	2	11
laxmibai kelkar 	2	11
nelson mandela marg 	3	11
laxmibai 	1	11
kher 	1	11
gobind singh marg 	3	11
ashok nagar 	2	11
desai 	1	11
आन सांग होंग 	3	11
guru gobind singh 	3	11
ऑफ गॉड वर्ल्ड मिशन 	4	11
चर्च 	1	11
mukherji 	1	11
चर्च ऑफ गॉड 	3	11
आन सांग 	2	11
gobind 	1	11
shyama prasad mukherji 	3	11
ऑफ गॉड वर्ल्ड 	3	11
desai marg 	2	11
kher marg 	2	11
gobind singh 	2	11
hindi.watv.org 	1	11
swami marg 	2	11
nelson mandela 	2	11
mukherji marg 	2	11
guru gobind singh marg 	4	11
ऑफ गॉड वर्ल्ड मिशन सोसाइटी 	5	11
चर्च ऑफ गॉड वर्ल्ड मिशन 	5	11
prasad mukherji marg 	3	11
mandela marg 	2	11
shyama prasad 	2	11
चर्च ऑफ 	2	11
shree 	1	11
nelson 	1	11
