ulica 	1	6028
put 	1	1868
ivana 	1	1167
cesta 	1	1151
trg 	1	955
sv. 	1	946
josipa 	1	772
kralja 	1	738
i 	1	630
crkva 	1	592
zagrebačka 	1	589
škola 	1	585
petra 	1	553
banka 	1	522
odvojak 	1	499
bar 	1	489
avenija 	1	469
matije 	1	469
antuna 	1	468
ante 	1	447
vladimira 	1	436
ina 	1	404
franje 	1	393
kneza 	1	391
stjepana 	1	389
braće 	1	378
svetog 	1	375
radića 	1	373
dr. 	1	364
osnovna 	1	344
ii 	1	341
nikole 	1	333
osnovna škola 	2	333
tomislava 	1	330
obala 	1	320
jurja 	1	314
gupca 	1	311
nazora 	1	310
kralja tomislava 	2	310
matije gupca 	2	307
vladimira nazora 	2	304
konoba 	1	298
caffe 	1	282
ljudevita 	1	270
pavla 	1	267
starčevića 	1	265
dom 	1	264
bana 	1	259
ante starčevića 	2	255
prilaz 	1	245
ul. 	1	241
stjepana radića 	2	234
vrtić 	1	226
jelačića 	1	226
zvonimira 	1	221
šetalište 	1	220
od 	1	216
caffe bar 	2	208
augusta 	1	207
crkva sv. 	2	203
vukovarska 	1	200
ljekarna 	1	199
gaja 	1	199
za 	1	198
ive 	1	190
dječji 	1	189
kralja zvonimira 	2	188
ljudevita gaja 	2	185
hrvatske 	1	185
iv 	1	182
dječji vrtić 	2	179
jadranska 	1	177
andrije 	1	176
splitska 	1	175
hrvatskih 	1	174
pizzeria 	1	167
pbz 	1	167
aleja 	1	166
naselje 	1	164
krešimira 	1	160
josipa jelačića 	2	159
kovačića 	1	158
kolodvorska 	1	157
bana josipa 	2	157
slavonska 	1	157
radić 	1	156
marina 	1	154
zdravlja 	1	154
tuđmana 	1	154
bana josipa jelačića 	3	153
grada 	1	152
sveti 	1	150
franje tuđmana 	2	149
ivana pavla 	2	149
odmorište 	1	148
iii 	1	146
centar 	1	146
braće radić 	2	145
kralja petra 	2	143
erste 	1	143
marije 	1	142
žrtava 	1	142
hrvatska 	1	138
stepinca 	1	137
ulica ivana 	2	137
marka 	1	137
branimira 	1	135
istarska 	1	135
gorana 	1	134
petra krešimira 	2	134
dom zdravlja 	2	134
strossmayera 	1	133
savska 	1	133
nova 	1	131
miroslava 	1	130
ulica kneza 	2	125
alojzija 	1	125
dr. franje 	2	125
gustava 	1	124
alojzija stepinca 	2	123
oš 	1	123
radnička 	1	122
gorana kovačića 	2	121
frana 	1	121
kneza branimira 	2	120
eugena 	1	120
ivana gorana 	2	120
tina 	1	118
most 	1	118
ivana gorana kovačića 	3	118
slavka 	1	117
josipa jurja 	2	117
zagreb 	1	117
vijenac 	1	117
dr. franje tuđmana 	3	116
poštanska 	1	116
slavonska avenija 	2	115
šenoe 	1	115
na 	1	115
poštanska banka 	2	114
jurja strossmayera 	2	114
hrvatska poštanska 	2	114
mihanovića 	1	114
ujevića 	1	114
hrvatska poštanska banka 	3	114
josipa jurja strossmayera 	3	113
cafe 	1	112
augusta šenoe 	2	112
don 	1	111
crkva svetog 	2	111
gundulića 	1	111
ivana gundulića 	2	110
meštrovića 	1	110
tina ujevića 	2	110
školska 	1	109
vjekoslava 	1	108
mate 	1	108
dvd 	1	108
kralja petra krešimira 	3	107
ivana pavla ii 	3	107
pavla ii 	2	107
vinogradska 	1	106
ivana meštrovića 	2	105
tesle 	1	104
antuna mihanovića 	2	104
u 	1	104
nikole tesle 	2	103
fra 	1	103
frankopana 	1	103
većeslava 	1	102
kapelica 	1	102
restoran 	1	101
dragutina 	1	101
gospe 	1	101
zrinskog 	1	101
ulica grada 	2	100
selska 	1	99
parking 	1	98
brigade 	1	98
holjevca 	1	98
zagrebačka banka 	2	98
pod 	1	97
matoša 	1	96
zaba 	1	95
krleže 	1	94
većeslava holjevca 	2	94
d.o.o. 	1	93
braće radića 	2	93
ambulanta 	1	93
miroslava krleže 	2	93
zagrebačka avenija 	2	93
kneza trpimira 	2	93
trpimira 	1	93
trg kralja 	2	92
breg 	1	91
krešimira iv 	2	91
gustava matoša 	2	91
stara 	1	91
splitska banka 	2	90
držića 	1	90
marina držića 	2	90
branitelja 	1	90
kozari 	1	89
mali 	1	89
petra krešimira iv 	3	89
bistro 	1	88
južna 	1	88
dubrava 	1	86
vukovara 	1	86
zagrebačka cesta 	2	86
antuna gustava 	2	85
kozarca 	1	85
preradovića 	1	85
petra preradovića 	2	85
mihovila 	1	85
antuna gustava matoša 	3	84
ulica kralja 	2	84
grada vukovara 	2	84
ulica josipa 	2	83
boškovića 	1	82
i. 	1	82
gradska 	1	82
bank 	1	81
mažuranića 	1	81
stari 	1	81
ulica grada vukovara 	3	81
svete 	1	80
ii. 	1	80
selska cesta 	2	80
ruđera boškovića 	2	79
ruđera 	1	79
martina 	1	79
knjižnica 	1	79
obilaznica 	1	78
poljana 	1	78
magistrala 	1	78
hrvatskih branitelja 	2	78
petra svačića 	2	77
krste 	1	77
republike 	1	77
svačića 	1	77
gaj 	1	77
hypo 	1	77
ulica kneza branimira 	3	77
josipa kozarca 	2	77
riva 	1	77
fakultet 	1	76
kardinala 	1	76
gornji 	1	76
savska cesta 	2	76
restaurant 	1	75
prolaz 	1	75
tita 	1	73
milana 	1	73
ivana mažuranića 	2	73
ivan 	1	73
osječka 	1	72
gimnazija 	1	71
luka 	1	71
rata 	1	71
kuća 	1	71
frane 	1	71
kolodvor 	1	71
kralja petra krešimira iv 	4	70
mala 	1	69
frankopanska 	1	69
kvaternika 	1	69
otp 	1	68
cerovac 	1	68
pavleka 	1	68
ulica vladimira 	2	68
šubića 	1	68
cerovac vukmanićki 	2	68
vukmanićki 	1	68
ulica antuna 	2	67
grill 	1	67
eugena kvaternika 	2	67
srednja 	1	67
kneza domagoja 	2	66
tome 	1	66
domagoja 	1	66
tržnica 	1	65
jure 	1	65
banka zagreb 	2	65
privredna 	1	64
vatroslava 	1	64
južna obilaznica 	2	64
miškine 	1	63
pavleka miškine 	2	63
privredna banka 	2	63
andrije hebranga 	2	62
domovinskog rata 	2	62
hebranga 	1	62
domovinskog 	1	62
cesarca 	1	62
posavskog 	1	62
draga 	1	62
kozari put 	2	61
velika 	1	61
hrvatskog 	1	61
zadarska 	1	60
marka marulića 	2	60
marulića 	1	60
v 	1	60
koprivnička 	1	60
stanka 	1	60
zrinskih 	1	60
luke 	1	60
san 	1	60
križa 	1	60
dalmatinska 	1	59
cafe bar 	2	59
vii 	1	59
ljudevita posavskog 	2	59
augusta cesarca 	2	59
maršala 	1	59
bana jelačića 	2	59
kačića 	1	59
ribarska 	1	59
gospa 	1	59
varaždinska 	1	59
vinka 	1	59
maršala tita 	2	59
jadranska magistrala 	2	58
kolara 	1	58
dravska 	1	58
obala kralja 	2	58
ulica nikole 	2	58
club 	1	58
nova cesta 	2	57
gospe od 	2	57
ilica 	1	57
kod 	1	57
i odvojak 	2	57
jakova 	1	57
hercegovačka 	1	56
petrol 	1	56
autobusni 	1	56
ribara 	1	56
ulica ante 	2	56
privredna banka zagreb 	3	55
andrije kačića 	2	55
ulica matije 	2	55
velebitska 	1	55
janka 	1	55
dr. ante 	2	55
blažene 	1	55
kardinala alojzija stepinca 	3	55
kardinala alojzija 	2	55
autobusni kolodvor 	2	55
djevice 	1	54
petruševec 	1	54
apartmani 	1	54
đure 	1	54
primorska 	1	54
vrh 	1	54
sud 	1	54
kranjčevića 	1	53
miošića 	1	53
svibnja 	1	53
blažene djevice 	2	53
slobode 	1	53
put sv. 	2	53
pošta 	1	53
porat 	1	53
postaja 	1	53
park 	1	53
roka 	1	52
krste frankopana 	2	52
uz 	1	52
kačića miošića 	2	52
crodux 	1	52
djevice marije 	2	52
stanica 	1	52
split 	1	52
andrije kačića miošića 	3	51
marija 	1	51
trg bana 	2	51
blažene djevice marije 	3	51
branka 	1	51
parenzana 	1	51
mandića 	1	50
novi 	1	50
ferde 	1	50
mirka 	1	50
silvija 	1	50
lisinskog 	1	50
vatroslava lisinskog 	2	50
avenija većeslava 	2	50
avenija većeslava holjevca 	3	50
raiffeisen 	1	50
lovre 	1	50
objekt 	1	50
garde 	1	49
narodne garde 	2	49
zagorska 	1	49
zbora 	1	49
narodne 	1	49
dubrovačka 	1	49
veterinarska 	1	49
zbora narodne garde 	3	49
općina 	1	49
selo 	1	49
područni 	1	49
zbora narodne 	2	49
držislava 	1	48
lole ribara 	2	48
dr. ante starčevića 	3	48
drage 	1	48
kapela 	1	48
policijska 	1	48
matice 	1	48
lole 	1	48
trg kralja tomislava 	3	48
polje 	1	47
kukuljevića 	1	47
novaka 	1	47
slavka kolara 	2	47
ulica braće 	2	47
nikole šubića 	2	47
ive lole ribara 	3	47
ive lole 	2	47
matice hrvatske 	2	47
područna 	1	47
bologne 	1	47
strahimira 	1	47
matka 	1	47
punta 	1	47
avenija marina držića 	3	46
odvojak ii 	2	46
kavana 	1	46
ulica dr. 	2	46
aleja bologne 	2	46
petruševec i 	2	46
cvjetna 	1	46
avenija marina 	2	46
gardijske 	1	46
avenija dubrava 	2	46
dinka 	1	45
ulica petra 	2	45
ured 	1	45
dobriše cesarića 	2	45
zajca 	1	45
ivana kukuljevića 	2	45
rudolfa 	1	45
grge 	1	45
dobriše 	1	45
cesarića 	1	45
strahimira kranjčevića 	2	45
pizza 	1	45
srima 	1	45
kraljice 	1	45
žitnjak 	1	44
ulica vjekoslava 	2	44
silvija strahimira 	2	44
šubića zrinskog 	2	44
obrtnička 	1	43
biskupa 	1	43
nikole šubića zrinskog 	3	43
resnik 	1	43
tifon 	1	43
sisačka 	1	43
martin 	1	43
petra zrinskog 	2	43
samostan 	1	43
karlovačka 	1	42
hotel 	1	42
silvija strahimira kranjčevića 	3	42
vila 	1	42
kalnička 	1	42
zagrebačka ulica 	2	42
dol 	1	42
villa 	1	42
prilaz većeslava holjevca 	3	41
marijana 	1	41
trg bana josipa 	3	41
prilaz većeslava 	2	41
ivana fistrovića 	2	41
šandora 	1	41
trg bana josipa jelačića 	4	41
policijska postaja 	2	41
kralja držislava 	2	41
rijeka 	1	41
fistrovića 	1	41
gradski 	1	41
cara 	1	41
mažuranić 	1	40
industrijska 	1	40
kašića 	1	40
vrata 	1	40
željeznička 	1	40
petar 	1	40
nikola 	1	40
ulica ljudevita 	2	40
doktora 	1	40
trg kralja petra 	3	40
glavna 	1	40
sv. ivana 	2	39
donji 	1	39
vraza 	1	39
bolnica 	1	39
poliklinika 	1	39
stanka vraza 	2	39
retkovec 	1	39
i frankopana 	2	39
omladinska 	1	39
potok 	1	39
ane 	1	39
žrtava fašizma 	2	38
župna 	1	38
brlić mažuranić 	2	38
viktora 	1	38
gorica 	1	38
prezida 	1	38
ulica prezida 	2	38
vida 	1	38
ljubljanska 	1	38
brlić 	1	38
beach 	1	38
bože 	1	38
dubrovnik 	1	38
bok 	1	38
područni objekt 	2	38
mačeka 	1	38
novo 	1	38
fašizma 	1	38
gortana 	1	38
poljička 	1	37
zrinskih i 	2	37
zrinskih i frankopana 	3	37
groblje 	1	37
vinkovačka 	1	37
kino 	1	37
gospodarska 	1	37
la 	1	37
kraj 	1	37
župna crkva 	2	37
šimunovića 	1	37
srednja škola 	2	37
brdo 	1	37
radnička cesta 	2	37
sv. nikole 	2	37
dobrile 	1	37
balote 	1	36
mihovila pavleka 	2	36
grad 	1	36
ulica jurja 	2	36
podravska 	1	36
jelene 	1	36
pub 	1	36
crkva gospe 	2	36
vladimira gortana 	2	36
donja 	1	36
ulica kralja zvonimira 	3	36
ivane 	1	36
savski 	1	36
hpb 	1	36
reljkovića 	1	36
mihovila pavleka miškine 	3	35
ogranak 	1	35
lipa 	1	35
staza 	1	35
bartola 	1	35
kralja petra svačića 	3	35
leopolda 	1	35
sveta 	1	35
mate balote 	2	35
gospa od 	2	35
odjel 	1	35
brune 	1	35
adria 	1	35
šime 	1	35
ulica vladimira nazora 	3	35
gornja 	1	35
supila 	1	35
međimurska 	1	35
in 	1	34
mije 	1	34
tri 	1	34
čakovečka 	1	34
kumičića 	1	34
grgura 	1	34
odvojak i 	2	34
ulica ljudevita gaja 	3	34
istarske 	1	34
ivana pavla ii. 	3	34
božidara 	1	34
pavla ii. 	2	34
ulica fra 	2	34
put iii 	2	34
gotovca 	1	33
trg svetog 	2	33
ivane brlić mažuranić 	3	33
hv 	1	33
ivane brlić 	2	33
struge 	1	33
jurja dobrile 	2	33
eugena kumičića 	2	33
velimira 	1	33
male 	1	33
kneza ljudevita 	2	32
horvaćanska 	1	32
svetog ivana 	2	32
sud u 	2	32
ulica ante starčevića 	3	32
kraljice jelene 	2	32
ivana zajca 	2	32
sv. petra 	2	32
luje 	1	32
iv. 	1	32
food 	1	32
jurić 	1	32
dalmatinca 	1	32
kozari put iii 	3	32
plitvička 	1	32
kneza ljudevita posavskog 	3	32
budaka 	1	32
ordinacija 	1	32
parkiralište 	1	32
trg stjepana 	2	32
resnik i 	2	32
zajednice 	1	32
erste bank 	2	31
križ 	1	31
boraca 	1	31
riječka 	1	31
mile 	1	31
lička 	1	31
šimića 	1	31
ulica hrvatskih 	2	31
mornarice 	1	31
ulica franje 	2	31
ljubljanska avenija 	2	31
divizije 	1	31
dinka šimunovića 	2	31
hrvatske mornarice 	2	31
veliki 	1	31
škorpika 	1	31
područna škola 	2	31
velebita 	1	31
zeleni 	1	31
ulica stjepana 	2	31
velimira škorpika 	2	31
avenija ivana pavla 	3	30
fontana 	1	30
trg kralja petra krešimira 	4	30
dvori 	1	30
ulica augusta 	2	30
katarine 	1	30
bartola kašića 	2	30
ulica doktora 	2	30
zagorke 	1	30
hrvatski 	1	30
put od 	2	30
ulica miljkovica 	2	30
horvaćanska cesta 	2	30
frana supila 	2	30
hrvatske bratske 	2	30
avenija ivana 	2	30
bratske 	1	30
odvojak iv 	2	30
miljkovica 	1	30
velikogorička 	1	30
bratske zajednice 	2	30
ulica slavka 	2	30
bušića 	1	30
ulica don 	2	30
jurja dalmatinca 	2	30
gajeva 	1	30
buffet 	1	30
hrvatske bratske zajednice 	3	30
glavica 	1	30
sv. ivan 	2	30
trojstva 	1	30
avenija ivana pavla ii. 	4	30
julija 	1	30
stara cesta 	2	29
uprava 	1	29
nasip 	1	29
ulica matije gupca 	3	29
jurić zagorke 	2	29
planinarski 	1	29
bračka 	1	29
tehnička 	1	29
općinski 	1	29
krstitelja 	1	29
marije jurić 	2	29
josipa runjanina 	2	29
roko 	1	29
varaždin 	1	29
runjanina 	1	29
duga 	1	29
laguna 	1	29
izidora 	1	29
mihanovićeva 	1	29
horvata 	1	29
j. 	1	29
uznesenja 	1	29
rba 	1	29
obala kralja tomislava 	3	29
put i 	2	29
city 	1	29
iii odvojak 	2	28
ulica nikole tesle 	3	28
toplička 	1	28
ravnice 	1	28
jadran 	1	28
marije jurić zagorke 	3	28
jovići 	1	28
sajmišna 	1	28
dragutina domjanića 	2	28
trg dr. 	2	28
heinzela 	1	28
domjanića 	1	28
ferenščica 	1	28
zrinski 	1	28
vjekoslava heinzela 	2	28
svetog nikole 	2	28
pula 	1	28
vidikovac 	1	28
zoranića 	1	28
gradska knjižnica 	2	28
vi 	1	28
pl. 	1	28
ulica vjekoslava heinzela 	3	28
tehnička škola 	2	28
galerija 	1	28
sjeverna 	1	28
dubravica 	1	28
petra zoranića 	2	28
paška 	1	27
apartments 	1	27
centar za 	2	27
trogirska 	1	27
bojne 	1	27
vrapčanska 	1	27
međimurska ulica 	2	27
kazalište 	1	27
jakova gotovca 	2	27
ivana krstitelja 	2	27
retkovec vii 	2	27
m. 	1	27
kotar 	1	27
frana krste frankopana 	3	27
brune bušića 	2	27
frana krste 	2	27
crkva gospe od 	3	27
ulica frana 	2	27
gradski kotar 	2	27
vinež 	1	27
osijek 	1	27
fina 	1	27
bukovca 	1	27
rade 	1	27
pomoraca 	1	27
lovački 	1	26
lukoil 	1	26
karla 	1	26
