phrase	length	count
utca 	1	114596
út 	1	20147
tér 	1	4833
szent 	1	4320
kossuth 	1	4099
ferenc 	1	4054
köz 	1	3948
lajos 	1	3666
jános 	1	3594
petőfi 	1	3472
ferenc utca 	2	3278
sándor 	1	3072
lajos utca 	2	3027
józsef 	1	3008
kossuth lajos 	2	2898
rákóczi 	1	2841
jános utca 	2	2836
istván 	1	2753
györgy 	1	2736
mihály 	1	2676
sándor utca 	2	2615
templom 	1	2565
kossuth lajos utca 	3	2491
dózsa 	1	2394
petőfi sándor 	2	2274
endre 	1	2223
fő 	1	2216
mihály utca 	2	2198
dózsa györgy 	2	2160
iskola 	1	2108
petőfi sándor utca 	3	2010
györgy utca 	2	2002
ady 	1	1922
endre utca 	2	1895
ady endre 	2	1820
attila 	1	1761
és 	1	1737
istván utca 	2	1622
dózsa györgy utca 	3	1583
szabadság 	1	1575
arany 	1	1570
ady endre utca 	3	1555
fő utca 	2	1509
arany jános 	2	1497
attila utca 	2	1494
széchenyi 	1	1476
józsef attila 	2	1447
árpád 	1	1438
miklós 	1	1394
béke 	1	1376
sor 	1	1362
arany jános utca 	3	1298
rákóczi ferenc 	2	1290
táncsics 	1	1284
általános 	1	1281
józsef attila utca 	3	1255
jókai 	1	1253
hunyadi 	1	1230
józsef utca 	2	1214
általános iskola 	2	1207
béla 	1	1207
pál 	1	1104
miklós utca 	2	1099
étterem 	1	1068
dűlő 	1	1056
rákóczi utca 	2	1051
béke utca 	2	1050
körút 	1	1042
söröző 	1	1031
rákóczi ferenc utca 	3	1024
útja 	1	1013
árpád utca 	2	1000
zrínyi 	1	998
király 	1	985
óvoda 	1	972
szent istván 	2	965
táncsics mihály 	2	927
imre 	1	901
petőfi utca 	2	886
bank 	1	879
deák 	1	879
béla utca 	2	861
kossuth utca 	2	857
lászló 	1	853
szabadság utca 	2	851
vörösmarty 	1	847
vasút 	1	833
táncsics mihály utca 	3	823
pál utca 	2	805
deák ferenc 	2	797
bem 	1	792
gábor 	1	783
rózsa 	1	780
mór 	1	741
bajcsy-zsilinszky 	1	718
sétány 	1	695
nagy 	1	684
kálmán 	1	674
mór utca 	2	669
deák ferenc utca 	3	663
jókai mór 	2	660
mátyás 	1	656
református 	1	654
bartók 	1	647
széchenyi utca 	2	637
vasút utca 	2	618
fő út 	2	616
bartók béla 	2	614
jókai mór utca 	3	602
imre utca 	2	600
gyógyszertár 	1	590
posta 	1	574
damjanich 	1	572
károly 	1	571
alkotmány 	1	568
lászló utca 	2	568
gyula 	1	565
zsigmond 	1	563
erzsébet 	1	562
rózsa utca 	2	556
hunyadi jános 	2	548
büfé 	1	548
györgy út 	2	530
géza 	1	530
sport 	1	529
kölcsey 	1	529
széchenyi istván 	2	521
hunyadi utca 	2	517
temető 	1	517
király utca 	2	517
dózsa györgy út 	3	506
presszó 	1	498
bocskai 	1	498
zrínyi miklós 	2	492
otp 	1	492
alkotmány utca 	2	483
jókai utca 	2	479
ház 	1	474
kinizsi 	1	472
móricz 	1	466
kápolna 	1	462
hunyadi jános utca 	3	460
zsigmond utca 	2	459
kálmán utca 	2	458
református templom 	2	449
gyula utca 	2	447
móricz zsigmond 	2	445
hársfa 	1	431
akácfa 	1	430
ifjúság 	1	429
dobó 	1	428
mátyás király 	2	428
péter 	1	425
vörösmarty utca 	2	424
zrínyi miklós utca 	3	424
vendéglő 	1	418
bartók béla utca 	3	418
zoltán 	1	418
rendelő 	1	408
park 	1	406
malom 	1	404
iskola utca 	2	404
kocsma 	1	402
károly utca 	2	400
sport utca 	2	397
baross 	1	397
mária 	1	394
damjanich utca 	2	394
zrínyi utca 	2	392
dr. 	1	391
bajcsy-zsilinszky utca 	2	389
