via 	1	797828
strada 	1	83696
di 	1	77734
del 	1	48140
san 	1	45586
viale 	1	41743
piazza 	1	39309
della 	1	39071
dei 	1	29277
provinciale 	1	25650
strada provinciale 	2	23537
giuseppe 	1	22670
via san 	2	21474
giovanni 	1	21431
statale 	1	19916
via del 	2	19278
delle 	1	18963
strada statale 	2	18080
via giuseppe 	2	16648
via della 	2	16397
chiesa 	1	15613
via dei 	2	15420
autostrada 	1	14701
corso 	1	12404
santa 	1	12279
vicolo 	1	11793
via giovanni 	2	11744
de 	1	11630
antonio 	1	11247
francesco 	1	11199
monte 	1	11178
via delle 	2	11010
roma 	1	10511
la 	1	10361
luigi 	1	9673
vittorio 	1	9535
da 	1	9432
don 	1	9371
giacomo 	1	9078
carlo 	1	8844
via roma 	2	8744
via antonio 	2	8636
e 	1	8471
pietro 	1	8427
maria 	1	8274
via monte 	2	8182
di san 	2	7721
via di 	2	7714
via don 	2	7638
chiesa di 	2	7598
bar 	1	7461
largo 	1	7361
piazzale 	1	7012
comunale 	1	6940
via francesco 	2	6857
guglielmo 	1	6710
degli 	1	6681
scuola 	1	6636
via luigi 	2	6345
via giacomo 	2	6328
enrico 	1	6076
vico 	1	6026
alessandro 	1	5948
per 	1	5855
marconi 	1	5705
via carlo 	2	5684
garibaldi 	1	5438
paolo 	1	5411
cesare 	1	5320
guglielmo marconi 	2	5275
via guglielmo 	2	5198
via vittorio 	2	5166
via alessandro 	2	5136
fratelli 	1	5127
contrada 	1	5026
via pietro 	2	4981
via enrico 	2	4924
santa maria 	2	4923
località 	1	4921
ponte 	1	4854
via santa 	2	4846
dante 	1	4612
val 	1	4608
strada comunale 	2	4485
via fratelli 	2	4467
i 	1	4407
tangenziale 	1	4406
stazione 	1	4215
veneto 	1	4205
vicinale 	1	4155
maggio 	1	4123
matteotti 	1	4117
via guglielmo marconi 	3	4099
mazzini 	1	4087
madonna 	1	4075
chiesa di san 	3	4074
valle 	1	4062
martiri 	1	4032
al 	1	4002
via degli 	2	4000
europa 	1	3968
aldo 	1	3959
giuseppe garibaldi 	2	3918
via cesare 	2	3869
il 	1	3774
vincenzo 	1	3730
moro 	1	3680
strada vicinale 	2	3649
via dante 	2	3638
novembre 	1	3616
libertà 	1	3599
vecchia 	1	3564
g. 	1	3532
strada di 	2	3508
nuova 	1	3473
ii 	1	3452
vittorio veneto 	2	3420
verdi 	1	3406
aprile 	1	3379
alighieri 	1	3371
giacomo matteotti 	2	3361
ristorante 	1	3356
pizzeria 	1	3338
san giovanni 	2	3318
leonardo 	1	3306
dante alighieri 	2	3297
giuseppe mazzini 	2	3254
cavour 	1	3249
aldo moro 	2	3240
umberto 	1	3171
emanuele 	1	3167
filippo 	1	3147
marco 	1	3134
trieste 	1	3124
giorgio 	1	3114
farmacia 	1	3093
traversa 	1	3062
villa 	1	3028
xxiii 	1	3025
gramsci 	1	3015
via aldo 	2	2987
piave 	1	2984
giovanni xxiii 	2	2971
manzoni 	1	2938
gasperi 	1	2932
de gasperi 	2	2912
circonvallazione 	1	2887
antonio gramsci 	2	2859
michele 	1	2839
via vincenzo 	2	2834
battisti 	1	2817
borgo 	1	2802
adriatica 	1	2798
lorenzo 	1	2784
croce 	1	2770
battista 	1	2761
domenico 	1	2760
a 	1	2757
via dante alighieri 	3	2745
via giuseppe garibaldi 	3	2740
milano 	1	2723
papa 	1	2718
colombo 	1	2718
giuseppe verdi 	2	2677
cristoforo 	1	2674
di santa 	2	2661
parcheggio 	1	2649
alcide 	1	2647
provinciale di 	2	2642
banca 	1	2627
autostrada del 	2	2619
castello 	1	2617
della libertà 	2	2616
rocco 	1	2605
strada provinciale di 	3	2600
vittorio emanuele 	2	2595
martino 	1	2592
sud 	1	2591
ugo 	1	2585
municipio 	1	2579
via giuseppe mazzini 	3	2577
cesare battisti 	2	2569
fontana 	1	2569
via g. 	2	2561
san francesco 	2	2560
alcide de 	2	2559
via martiri 	2	2557
vinci 	1	2547
bosco 	1	2544
trento 	1	2544
repubblica 	1	2542
via piave 	2	2541
alcide de gasperi 	3	2535
italia 	1	2507
da vinci 	2	2497
lago 	1	2480
via aldo moro 	3	2452
piazza della 	2	2442
gaetano 	1	2440
alla 	1	2435
via giacomo matteotti 	3	2422
via giuseppe verdi 	3	2421
mario 	1	2418
leonardo da 	2	2414
leonardo da vinci 	3	2402
via antonio gramsci 	3	2399
torre 	1	2386
via per 	2	2382
andrea 	1	2378
alessandro manzoni 	2	2369
regionale 	1	2368
autostrada dei 	2	2344
nazionale 	1	2317
via leonardo 	2	2313
nord 	1	2304
alberto 	1	2300
sole 	1	2297
angelo 	1	2291
a. 	1	2285
san martino 	2	2281
viale della 	2	2280
caduti 	1	2273
porta 	1	2248
via vittorio veneto 	3	2247
strada regionale 	2	2246
cristoforo colombo 	2	2242
calabria 	1	2226
via ugo 	2	2226
in 	1	2226
volta 	1	2203
settembre 	1	2202
san rocco 	2	2200
colle 	1	2191
via cesare battisti 	3	2177
primo 	1	2170
piazza san 	2	2136
via alessandro manzoni 	3	2127
sant'antonio 	1	2123
aurelia 	1	2121
carducci 	1	2110
via paolo 	2	2097
via trieste 	2	2095
strada del 	2	2094
via filippo 	2	2087
bruno 	1	2081
nicola 	1	2070
dello 	1	2070
ex 	1	2044
via alcide 	2	2039
casa 	1	2036
privata 	1	2030
via papa 	2	2029
guido 	1	2016
fermi 	1	2012
del sole 	2	2005
galileo 	1	2004
san pietro 	2	2002
regina 	1	1998
centro 	1	1981
piazzetta 	1	1980
cimitero 	1	1972
via alcide de 	3	1971
via cristoforo 	2	1962
papa giovanni 	2	1960
raccordo 	1	1956
via alcide de gasperi 	4	1948
della repubblica 	2	1947
santo 	1	1936
via leonardo da 	3	1933
via leonardo da vinci 	4	1926
le 	1	1920
giulio 	1	1915
kennedy 	1	1914
enrico fermi 	2	1912
via trento 	2	1901
torino 	1	1888
via nazionale 	2	1888
agip 	1	1882
est 	1	1864
padre 	1	1853
di vittorio 	2	1849
cascina 	1	1848
istituto 	1	1844
lavoro 	1	1840
via cristoforo colombo 	3	1836
iv 	1	1832
pascoli 	1	1826
leopardi 	1	1815
venezia 	1	1813
pio 	1	1788
galilei 	1	1787
bis 	1	1781
giosuè 	1	1778
forestale 	1	1769
ovest 	1	1767
salvatore 	1	1763
via gaetano 	2	1758
via andrea 	2	1754
ca 	1	1752
elementare 	1	1751
napoli-reggio 	1	1748
napoli-reggio calabria 	2	1748
risorgimento 	1	1746
variante 	1	1745
alessandro volta 	2	1741
s. 	1	1728
trattoria 	1	1718
emilia 	1	1716
via galileo 	2	1707
giosuè carducci 	2	1704
felice 	1	1697
giovanni battista 	2	1695
via enrico fermi 	3	1692
benedetto 	1	1691
camillo 	1	1691
via milano 	2	1691
via umberto 	2	1685
campo 	1	1685
via provinciale 	2	1683
scuola elementare 	2	1675
salita 	1	1670
via val 	2	1664
galileo galilei 	2	1662
costa 	1	1657
san michele 	2	1657
martiri della 	2	1651
via ponte 	2	1644
della val 	2	1641
via alessandro volta 	3	1632
strada forestale 	2	1630
via cavour 	2	1621
grappa 	1	1618
strada dei 	2	1613
strada della 	2	1612
papa giovanni xxiii 	3	1603
via domenico 	2	1601
del lavoro 	2	1601
sentiero 	1	1596
via guido 	2	1595
santi 	1	1593
margherita 	1	1591
monsignor 	1	1590
stefano 	1	1589
