phrase	length	count
ქუჩა 	1	8455
სკოლა 	1	1298
საჯარო 	1	1076
საჯარო სკოლა 	2	1054
შესახვევი 	1	626
რუსთაველის 	1	381
ჩიხი 	1	378
საბავშვო 	1	377
ბაღი 	1	373
საბავშვო ბაღი 	2	368
გამზირი 	1	325
წმინდა 	1	314
ეკლესია 	1	295
რუსთაველის ქუჩა 	2	289
ii 	1	268
i 	1	262
ჭავჭავაძის 	1	244
შოთა 	1	224
აღმაშენებლის 	1	215
ბანკი 	1	213
შოთა რუსთაველის 	2	207
გამგეობა 	1	206
სტალინის 	1	205
სტალინის ქუჩა 	2	197
გიორგი 	1	168
შოთა რუსთაველის ქუჩა 	3	166
მეფის 	1	166
ქ. 	1	165
ვახტანგ 	1	164
ჭავჭავაძის ქუჩა 	2	163
i შესახვევი 	2	161
დასახლება 	1	157
დავით 	1	156
მაისის 	1	152
დევნილთა 	1	150
აღმაშენებლის ქუჩა 	2	147
დევნილთა დასახლება 	2	146
წერეთლის 	1	140
მაისის ქუჩა 	2	139
ii შესახვევი 	2	139
კოსტავას 	1	139
თამარ 	1	135
აპრილის 	1	134
საქართველოს 	1	129
თამარ მეფის 	2	127
მეფის ქუჩა 	2	123
აპრილის ქუჩა 	2	121
ორგანო 	1	118
ფშაველას 	1	117
სახელობის 	1	116
კოსტავას ქუჩა 	2	115
ტერიტორიული ორგანო 	2	112
ტერიტორიული 	1	112
გამსახურდიას 	1	112
ვაჟა 	1	109
iv 	1	106
ნინოშვილის 	1	105
გიორგის 	1	105
iii 	1	105
შეს. 	1	104
ვაჟა ფშაველას 	2	104
ყაზბეგის 	1	103
გორგასლის 	1	102
გორგასლის ქუჩა 	2	98
ვახტანგ გორგასლის 	2	96
ცენტრი 	1	96
ბარათაშვილის 	1	95
გაგარინის 	1	94
ჯავახიშვილის 	1	93
წმინდა გიორგის 	2	93
თამარ მეფის ქუჩა 	3	93
აკაკი 	1	92
ვახტანგ გორგასლის ქუჩა 	3	92
მერაბ 	1	88
ტაბიძის 	1	87
თბილისის 	1	85
გოგებაშვილის 	1	84
მერაბ კოსტავას 	2	83
ნიკოლოზ 	1	82
ავერსი 	1	81
ფშაველას ქუჩა 	2	81
წერეთლის ქუჩა 	2	80
გურამიშვილის 	1	79
თავისუფლების 	1	79
st 	1	78
ბარათაშვილის ქუჩა 	2	78
მშვიდობის 	1	76
გაგარინის ქუჩა 	2	76
სახლი 	1	75
ტაბიძის ქუჩა 	2	75
ნინოშვილის ქუჩა 	2	75
ყაზბეგის ქუჩა 	2	74
გოგებაშვილის ქუჩა 	2	74
მერაბ კოსტავას ქუჩა 	3	73
ამბულატორია 	1	72
ვაჟა ფშაველას ქუჩა 	3	71
ჯავახიშვილის ქუჩა 	2	71
iii შესახვევი 	2	70
გურამიშვილის ქუჩა 	2	69
aversi 	1	68
ლესელიძის 	1	68
ალექსანდრე 	1	66
წმინდა გიორგი 	2	65
სადგურის ქუჩა 	2	65
საშუალო 	1	65
სააკაძის 	1	65
სადგურის 	1	65
საშუალო სკოლა 	2	64
მოედანი 	1	64
მეორის 	1	64
დადიანის 	1	63
გამსახურდიას ქუჩა 	2	63
იური გაგარინის 	2	62
ლორთქიფანიძის 	1	62
ნიკოლოზ ბარათაშვილის 	2	62
იური 	1	62
დადიანის ქუჩა 	2	61
მშვიდობის ქუჩა 	2	61
ღვთისმშობლის 	1	61
გიორგის ეკლესია 	2	61
წმინდა გიორგის ეკლესია 	3	60
ლიბერთი 	1	60
იური გაგარინის ქუჩა 	3	60
ერეკლე 	1	60
ფალიაშვილის 	1	60
ლიბერთი ბანკი 	2	59
მეორის ქუჩა 	2	59
ილია 	1	57
ბაგრატიონის 	1	57
მონასტერი 	1	57
გამზ. 	1	57
i ჩიხი 	2	57
და 	1	57
school 	1	57
იაკობ 	1	56
ნიკოლაძის 	1	55
დუმბაძის 	1	55
თბილისის ქუჩა 	2	54
ორბელიანის 	1	54
ნინოს 	1	54
მარჯანიშვილის 	1	54
ბახტრიონის 	1	53
თავისუფლების ქუჩა 	2	53
გორგასალის 	1	53
v 	1	52
სააკაძის ქუჩა 	2	52
შარტავას 	1	51
ფალიაშვილის ქუჩა 	2	51
დუმბაძის ქუჩა 	2	51
ერისთავის 	1	51
ქეთევან 	1	50
ბახტრიონის ქუჩა 	2	50
აბაშიძის 	1	50
ალაზნის 	1	49
ახალგაზრდობის 	1	49
ლესელიძის ქუჩა 	2	49
წმინდა ნინოს 	2	49
მარჯანიშვილის ქუჩა 	2	49
ორბელიანის ქუჩა 	2	49
iv შესახვევი 	2	49
ნიკოლოზ ბარათაშვილის ქუჩა 	3	49
თაყაიშვილის 	1	48
სოხუმის 	1	48
მეგობრობის 	1	48
იაკობ გოგებაშვილის 	2	48
ბაგრატიონის ქუჩა 	2	48
უნივერსიტეტი 	1	48
ჩოლოყაშვილის 	1	48
აკაკი წერეთლის 	2	48
ერეკლე მეორის ქუჩა 	3	47
ნიკოლაძის ქუჩა 	2	47
ერეკლე მეორის 	2	47
ბათუმის 	1	47
ქეთევან წამებულის 	2	47
ჭავჭავაძის გამზირი 	2	47
წამებულის 	1	47
პსპ 	1	47
თაყაიშვილის ქუჩა 	2	46
ლეონიძის 	1	46
საავადმყოფო 	1	46
ფიროსმანის 	1	46
გორგასალის ქუჩა 	2	45
გზატკეცილი 	1	45
კოტე 	1	45
მიხეილ 	1	44
ქუჩაზე 	1	44
თამარის 	1	43
public 	1	43
რობაქიძის 	1	43
საქართველოს ბანკი 	2	43
ერისთავის ქუჩა 	2	43
რუსთაველის გამზირი 	2	43
უნივერსიტეტის 	1	42
კავკასიონის 	1	42
გზა 	1	42
ბესიკის 	1	42
კავკასიონის ქუჩა 	2	42
მესხეთის 	1	42
სამხედრო 	1	42
გრიშაშვილის 	1	41
მესხეთის ქუჩა 	2	41
იაკობ გოგებაშვილის ქუჩა 	3	41
გ. 	1	40
street 	1	40
ლეონიძის ქუჩა 	2	40
ზვიად 	1	40
public school 	2	40
ფიროსმანის ქუჩა 	2	40
ii ჩიხი 	2	39
გრიშაშვილის ქუჩა 	2	39
სანაპიროს 	1	39
პოლიცია 	1	39
კოტე მარჯანიშვილის 	2	39
გიორგი სააკაძის 	2	39
დავით გურამიშვილის 	2	39
სანაპიროს ქუჩა 	2	39
ძველი 	1	39
კოტე მარჯანიშვილის ქუჩა 	3	38
ბესიკის ქუჩა 	2	38
კონსტანტინე 	1	38
პუშკინის 	1	38
დიდი 	1	38
სანაპირო 	1	38
ზვიად გამსახურდიას 	2	38
ქუთაისის 	1	38
ვახტანგ გორგასალის 	2	38
სოკარი 	1	37
ჩოლოყაშვილის ქუჩა 	2	37
თამარის ქუჩა 	2	37
გორკის 	1	37
კიკვიძის 	1	37
კახეთის 	1	36
ხეივანი 	1	36
ხიდი 	1	36
vi 	1	36
გორკის ქუჩა 	2	36
ილია ჭავჭავაძის 	2	35
ზემო 	1	35
ჭყონდიდელის 	1	35
