phrase	length	count
школа 	1	479
кафе 	1	327
банк 	1	301
азс 	1	296
аптека 	1	292
детский 	1	180
центр 	1	177
сш 	1	175
көшесі 	1	166
сад 	1	164
средняя 	1	159
средняя школа 	2	154
детский сад 	2	150
им. 	1	137
колледж 	1	127
больница 	1	126
мечеть 	1	118
автомойка 	1	118
дом 	1	118
поликлиника 	1	107
казмунайгаз 	1	102
алматы-усть-каменогорск 	1	101
и 	1	99
ресторан 	1	96
георгиевка 	1	94
народный 	1	94
народный банк 	2	88
road 	1	88
казкоммерцбанк 	1	88
алматы 	1	77
акимат 	1	77
helios 	1	75
городская 	1	74
рынок 	1	73
семипалатинск 	1	73
шульбинск 	1	70
би 	1	68
көш. 	1	67
кызылорда-павлодар 	1	67
микрорайон 	1	67
детская 	1	66
усть-каменогорск 	1	63
абая 	1	63
тоо 	1	61
даң. 	1	60
тракт 	1	59
на 	1	57
отделение 	1	57
мкр 	1	56
батыра 	1	56
университет 	1	55
кульжинский тракт 	2	54
кульжинский 	1	54
корпус 	1	54
столовая 	1	54
казпочта 	1	53
bank 	1	51
по 	1	50
р. 	1	48
бахыт 	1	47
полиции 	1	47
областной 	1	46
гелиос 	1	46
сейфуллин даң. 	2	45
детсад 	1	45
кольцо 	1	45
ао 	1	45
сейфуллин 	1	45
бта 	1	44
пункт 	1	44
района 	1	43
суд 	1	43
стоматология 	1	43
диспансер 	1	41
церковь 	1	40
библиотека 	1	40
павлодар 	1	40
гимназия 	1	39
тойхана 	1	38
правобережная 	1	38
малдожан 	1	38
бухар-жырау 	1	36
прc. 	1	36
автовокзал 	1	36
бухар-жырау прc. 	2	36
taraz-shymkent road 	2	36
taraz-shymkent 	1	36
альянс 	1	35
sinooil 	1	35
колодец 	1	35
областная 	1	35
клуб 	1	35
кладбище 	1	35
левобережная 	1	34
астрахань-атырау 	1	34
almaty-balkhash road 	2	34
бекболат-акына 	1	34
almaty-balkhash 	1	34
центральная 	1	33
городской 	1	33
астана 	1	32
батыр 	1	32
евразийский 	1	32
атындағы 	1	32
полиция 	1	32
музыкальная 	1	32
алтын 	1	31
атф 	1	31
рк 	1	31
ауэзова 	1	31
школа-гимназия 	1	31
культуры 	1	31
сбербанк 	1	30
школа-интернат 	1	30
цон 	1	30
охр. 	1	30
достык 	1	30
музыкальная школа 	2	30
в 	1	30
нотариус 	1	30
отдел 	1	30
бк 	1	29
у 	1	29
связи 	1	29
станция 	1	29
граница 	1	29
граница кнр 	2	29
кнр 	1	29
лицей 	1	28
баня 	1	28
альянс банк 	2	28
северное 	1	28
храм 	1	27
чапаев 	1	27
а 	1	27
казахская 	1	27
медицинский 	1	27
комитет 	1	27
