phrase	length	count
street 	1	999
school 	1	340
national 	1	293
st 	1	273
tela 	1	211
highway 	1	210
national highway 	2	208
wat 	1	207
road 	1	184
primary 	1	182
primary school 	2	171
blvd 	1	132
preah 	1	128
of 	1	121
station 	1	97
restaurant 	1	95
bank 	1	92
sokimex 	1	90
the 	1	68
national road 	2	60
pagoda 	1	59
phsar 	1	55
and 	1	55
center 	1	47
hospital 	1	46
fuel 	1	46
fuel station 	2	46
phnom 	1	46
high 	1	45
high school 	2	44
bar 	1	43
house 	1	42
cafe 	1	40
total 	1	39
market 	1	39
prek 	1	36
angkor 	1	35
university 	1	33
acleda 	1	31
bus 	1	31
canadia 	1	31
aba 	1	30
bridge 	1	30
lhr 	1	28
monivong 	1	28
cambodia 	1	28
penh 	1	27
office 	1	27
gas 	1	27
tela fuel 	2	26
tela fuel station 	3	26
ministry 	1	25
phnom penh 	2	25
ministry of 	2	25
secondary 	1	25
secondary school 	2	25
koh 	1	24
ang 	1	24
embassy 	1	24
gas station 	2	24
canadia bank 	2	24
health 	1	24
for 	1	24
to 	1	23
caltex 	1	23
svay 	1	23
commune 	1	23
oknha 	1	22
chey 	1	22
monivong blvd 	2	22
atm 	1	22
preah monivong 	2	22
pizza 	1	22
preah monivong blvd 	3	22
clinic 	1	21
police 	1	21
st. 	1	21
russian 	1	21
international 	1	20
provincial 	1	20
russian confederation 	2	20
confederation 	1	20
russian confederation blvd 	3	20
confederation blvd 	2	20
new 	1	20
ta 	1	19
la 	1	19
preah ang 	2	19
department 	1	19
heng 	1	19
sen 	1	18
royal 	1	18
acleda bank 	2	17
department of 	2	16
khmer 	1	16
mao 	1	16
pagode 	1	16
coffee 	1	16
mekong 	1	16
aba atm 	2	15
sok 	1	15
thmei 	1	15
post 	1	15
kok 	1	15
ktv 	1	15
makara 	1	14
hun 	1	14
mao tse 	2	14
mao tse toung 	3	14
hun sen 	2	14
village 	1	14
tse 	1	14
mao tse toung blvd 	4	14
toung blvd 	2	14
tse toung 	2	14
toung 	1	14
aba bank 	2	14
tse toung blvd 	3	14
rue 	1	14
reap 	1	14
norodom 	1	13
route 	1	13
international school 	2	13
siem 	1	13
siem reap 	2	13
de 	1	13
club 	1	13
centre 	1	13
university of 	2	13
prey 	1	13
stung 	1	13
kampot 	1	13
thom 	1	13
n° 	1	12
tonle 	1	12
sihanouk 	1	12
prasat 	1	12
pharmacy 	1	12
preah norodom 	2	12
rue n° 	2	12
long 	1	12
mountain 	1	11
of cambodia 	2	11
norodom blvd 	2	11
ekareach 	1	11
lim 	1	11
preah sihanouk 	2	11
institute 	1	11
preah norodom blvd 	3	11
company 	1	11
cambodian 	1	11
café 	1	11
temple 	1	11
veng 	1	11
boeung 	1	10
h 	1	10
quay 	1	10
l h 	2	10
parking 	1	10
health center 	2	10
san 	1	10
burger 	1	10
sisowath 	1	10
l 	1	10
r 	1	10
night 	1	10
flyover 	1	10
only 	1	10
preah sisowath 	2	10
r fuel station 	3	10
h r 	2	10
l h r 	3	10
h r fuel 	3	10
choeung 	1	10
keo 	1	10
sangkhak 	1	10
ekareach street 	2	10
chea 	1	10
l h r fuel station 	5	10
l h r fuel 	4	10
eng 	1	10
anz 	1	10
r fuel 	2	10
sihanoukville 	1	10
h r fuel station 	4	10
blue 	1	10
calmette 	1	10
toul 	1	10
cart 	1	9
cart road 	2	9
sihanouk blvd 	2	9
nokor 	1	9
banteay 	1	9
preah sihanouk blvd 	3	9
lim long 	2	9
veng sreng blvd 	3	9
garden 	1	9
chinese 	1	9
meas 	1	9
hotel 	1	9
preak 	1	9
sisowath quay 	2	9
monireth blvd 	2	9
kampong 	1	9
sreng blvd 	2	9
kfc 	1	9
tep 	1	9
preah sisowath quay 	3	9
sreng 	1	9
ptt 	1	9
monireth 	1	9
veng sreng 	2	9
krom 	1	9
bus station 	2	9
red 	1	9
psar 	1	9
church 	1	9
training 	1	9
chum 	1	8
pizza company 	2	8
mosque 	1	8
night market 	2	8
arts 	1	8
vihear 	1	8
dragon 	1	8
province 	1	8
post office 	2	8
samrong 	1	8
no 	1	8
public 	1	8
wat prek 	2	8
ek 	1	8
russey 	1	8
district 	1	8
the pizza 	2	8
chak 	1	8
court 	1	8
school of 	2	8
dong 	1	8
kandal 	1	8
in 	1	8
embassy of 	2	8
golden 	1	7
tr 	1	7
ampov 	1	7
kong 	1	7
ou 	1	7
roundabout 	1	7
island 	1	7
pub 	1	7
motorbikes 	1	7
old 	1	7
ou dong calmette 	3	7
car 	1	7
phnov 	1	7
bbq 	1	7
sun 	1	7
samdech 	1	7
referral hospital 	2	7
wat preah 	2	7
le 	1	7
motorbikes only 	2	7
lucky 	1	7
chroy 	1	7
green 	1	7
repair 	1	7
srey 	1	7
anz royal 	2	7
for motorbikes only 	3	7
for motorbikes 	2	7
referral 	1	7
express 	1	7
krong 	1	7
choeung ek 	2	7
village road 	2	7
tuol 	1	7
chetha 	1	7
samdach 	1	7
pasteur 	1	7
library 	1	7
kor 	1	7
of phnom penh 	3	7
primary and 	2	7
sothearos 	1	7
khmao 	1	7
ou dong 	2	7
of phnom 	2	7
hall 	1	7
the pizza company 	3	7
ouk 	1	7
dong calmette 	2	7
institute of 	2	7
city 	1	7
transportation 	1	6
pumpkin 	1	6
and secondary 	2	6
boardwalk 	1	6
bank of 	2	6
ek road 	2	6
road for motorbikes 	3	6
charles de gaulle 	3	6
shore 	1	6
ferry 	1	6
police station 	2	6
charles de 	2	6
phum 	1	6
sleng 	1	6
udong 	1	6
gravel road for motorbikes 	4	6
king 	1	6
road for 	2	6
primary and secondary 	3	6
ta khmao 	2	6
shore boardwalk 	2	6
charles 	1	6
bassac 	1	6
hand 	1	6
sorya 	1	6
ang eng 	2	6
primary and secondary school 	4	6
sala 	1	6
sothearos blvd 	2	6
my 	1	6
park 	1	6
royal university 	2	6
bakery 	1	6
thmey 	1	6
kindergarten 	1	6
villa 	1	6
sor 	1	6
road for motorbikes only 	4	6
house for 	2	6
casino 	1	6
gravel road for 	3	6
palace 	1	6
preah ang eng 	3	6
bopha 	1	6
resort 	1	6
gravel 	1	6
happy 	1	6
chey chetha 	2	6
takeo 	1	6
depot 	1	6
river 	1	6
meanchey 	1	6
mongkol 	1	6
and secondary school 	3	6
gravel road for motorbikes only 	5	6
guesthouse 	1	6
choeung ek road 	3	6
gaulle 	1	6
training center 	2	6
commune office 	2	6
de gaulle 	2	6
republic 	1	6
gravel road 	2	6
blue pumpkin 	2	6
chas 	1	6
canal 	1	6
battambang 	1	6
kampuchea 	1	5
thai 	1	5
entertainment 	1	5
provincial department 	2	5
changvar 	1	5
chbar ampov 	2	5
or 	1	5
wat koh 	2	5
riverside 	1	5
chbar 	1	5
mai 	1	5
plaza 	1	5
provincial department of 	3	5
du 	1	5
stung treng 	2	5
fine 	1	5
asia 	1	5
vong 	1	5
handpump 	1	5
house for repair 	3	5
the blue pumpkin 	3	5
doun 	1	5
neak 	1	5
prek phnov 	2	5
bokor 	1	5
theamak lethet ouk 	3	5
sok san 	2	5
bo 	1	5
theamak lethet 	2	5
taxi 	1	5
maybank 	1	5
road no 	2	5
souk 	1	5
preah theamak lethet 	3	5
neayoksrey 	1	5
preah nokor 	2	5
the blue 	2	5
for repair 	2	5
duong 	1	5
police office 	2	5
mean chey 	2	5
towards 	1	5
rubbish 	1	5
mpl 	1	5
reul 	1	5
national bank 	2	5
food 	1	5
tom 	1	5
central 	1	5
sap 	1	5
run 	1	5
ly 	1	5
wat phnom 	2	5
sokimex fuel 	2	5
sokimex fuel station 	3	5
noodle 	1	5
sakor 	1	5
dach 	1	5
theamak 	1	5
grand 	1	5
chrey 	1	5
carime 	1	5
cinema 	1	5
ponlia 	1	5
wat bo 	2	5
sky 	1	5
france 	1	5
kim 	1	5
preah theamak 	2	5
chroy changvar 	2	5
mondulkiri 	1	5
sangkhak neayok 	2	5
bright 	1	5
neayok souk 	2	5
burger king 	2	5
tonle sap 	2	5
chrum 	1	5
international school of 	3	5
vegetarian 	1	5
chan 	1	5
health centre 	2	5
lethet ouk 	2	5
finance 	1	5
kossamak 	1	5
yeang 	1	5
angre 	1	5
sangkhak neayoksrey 	2	5
preah theamak lethet ouk 	4	5
capitol 	1	5
diamond 	1	5
da 	1	5
bank of cambodia 	3	5
koh dach 	2	5
mean 	1	5
school of phnom penh 	4	5
sangkhak neayok souk 	3	5
school of phnom 	3	5
heng heng 	2	5
neayok 	1	5
lethet 	1	5
administration 	1	5
chak angre 	2	5
treng 	1	5
preah ponlia 	2	5
royal university of 	3	5
exchange 	1	5
abdul carime 	2	5
sim 	1	5
abdul 	1	5
chea sim 	2	5
circuit 	1	5
