ರಸ್ತೆ 	1	5983
ಅಡ್ಡ 	1	2010
ಅಡ್ಡ ರಸ್ತೆ 	2	1998
ಮುಖ್ಯ 	1	1719
ಮುಖ್ಯ ರಸ್ತೆ 	2	1712
ಶಾಲೆ 	1	1116
ಸರ್ಕಾರಿ 	1	1000
ಪ್ರಾಥಮಿಕ 	1	984
ಪ್ರಾಥಮಿಕ ಶಾಲೆ 	2	867
ದೇವಸ್ಥಾನ 	1	811
ಹಿರಿಯ 	1	467
ಹಿರಿಯ ಪ್ರಾಥಮಿಕ 	2	463
ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ 	3	447
ಕಿರಿಯ 	1	396
ಕಿರಿಯ ಪ್ರಾಥಮಿಕ 	2	394
ಸರ್ಕಾರಿ ಹಿರಿಯ 	2	394
ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ 	3	390
ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ 	4	377
ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ 	3	371
ಸರ್ಕಾರಿ ಕಿರಿಯ 	2	340
ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ 	3	338
ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ 	4	321
ಆರೋಗ್ಯ 	1	319
ವರ್ತುಲ 	1	252
ವರ್ತುಲ ರಸ್ತೆ 	2	252
ಆರೋಗ್ಯ ಉಪಕೇಂದ್ರ 	2	232
ಉಪಕೇಂದ್ರ 	1	232
ಹೊರ 	1	191
ಹೊರ ವರ್ತುಲ 	2	190
ಹೊರ ವರ್ತುಲ ರಸ್ತೆ 	3	190
ಆಸ್ಪತ್ರೆ 	1	188
ಅಂಗನವಾಡಿ 	1	166
ಹೆದ್ದಾರಿ 	1	157
ಬ್ಯಾಂಕ್ 	1	155
ಬಸ್ 	1	142
ವಿಜಯಪುರ 	1	135
ಶ್ರೀ 	1	131
ನಿಲ್ದಾಣ 	1	124
ವಿಜಯಪುರ ರಸ್ತೆ 	2	121
ಬಸ್ ನಿಲ್ದಾಣ 	2	110
ಕೇಂದ್ರ 	1	107
ಬಳ್ಳಾರಿ 	1	97
ಠಾಣೆ 	1	94
ಆರಕ್ಷಕ 	1	88
ಆರಕ್ಷಕ ಠಾಣೆ 	2	87
ಆರೋಗ್ಯ ಕೇಂದ್ರ 	2	87
ಕಛೇರಿ 	1	83
ಪ್ರೌಡಶಾಲೆ 	1	79
ಪ್ರಾಥಮಿಕ ಆರೋಗ್ಯ 	2	78
ಪ್ರಾಥಮಿಕ ಆರೋಗ್ಯ ಕೇಂದ್ರ 	3	78
ಬಳ್ಳಾರಿ ರಸ್ತೆ 	2	76
ಸ್ವಾಮಿ 	1	74
ಮಠ 	1	71
ಗಣೇಶ 	1	68
ಹನುಮಂತ 	1	66
ಹೊಸೂರು 	1	66
ಹೊಸೂರು ರಸ್ತೆ 	2	64
ಮಸೀದಿ 	1	64
ದೇವಾಲಯ 	1	63
ಕಾಲೇಜು 	1	63
ಹನುಮಂತ ದೇವಸ್ಥಾನ 	2	62
ಮೈಸೂರು 	1	62
ಗಣೇಶ ದೇವಸ್ಥಾನ 	2	61
ಬೈಪಾಸ್ 	1	58
ಅಂಚೆ 	1	57
ಸರ್ಕಾರಿ ಆಸ್ಪತ್ರೆ 	2	56
ಅಂಚೆ ಕಛೇರಿ 	2	56
ಹಳೆ 	1	54
ಸ್ಟೇಟ್ ಬ್ಯಾಂಕ್ 	2	53
ಸ್ಟೇಟ್ 	1	53
ಉರ್ದು 	1	53
ಗಣಪತಿ 	1	51
ಬೆಂಗಳೂರು-ಮೈಸೂರು 	1	51
ಭಾರತೀಯ 	1	51
ಬೆಂಗಳೂರು-ಮೈಸೂರು ಹೆದ್ದಾರಿ 	2	51
ಸರ್ಕಾರಿ ಪ್ರೌಡಶಾಲೆ 	2	50
ಪ್ರೌಡ 	1	49
ಭಾರತೀಯ ಸ್ಟೇಟ್ 	2	47
ಪ್ರೌಡ ಶಾಲೆ 	2	47
ಆಂಜನೇಯ 	1	47
ಭಾರತೀಯ ಸ್ಟೇಟ್ ಬ್ಯಾಂಕ್ 	3	47
ವೃತ್ತ 	1	46
ಗಣಪತಿ ದೇವಸ್ಥಾನ 	2	44
ಆಂಜನೇಯ ದೇವಸ್ಥಾನ 	2	42
ಗಾಂಧಿ 	1	42
ಮೈಸೂರು ಬ್ಯಾಂಕ್ 	2	41
ಬ್ಯಾಂಕು 	1	40
ಉರ್ದು ಶಾಲೆ 	2	40
ಮಾರ್ಗ 	1	38
ಬಸವೇಶ್ವರ 	1	38
ಬೈಪಾಸ್ ರಸ್ತೆ 	2	37
ಹಳೆ ಮದ್ರಾಸ್ 	2	36
ಪ್ರಾಥಮಿಕ ಉರ್ದು ಶಾಲೆ 	3	36
ಹಳೆ ಮದ್ರಾಸ್ ರಸ್ತೆ 	3	36
ಮದ್ರಾಸ್ ರಸ್ತೆ 	2	36
ಪ್ರಾಥಮಿಕ ಉರ್ದು 	2	36
ಮದ್ರಾಸ್ 	1	36
ವಿದ್ಯಾಲಯ 	1	36
ಅಡಿ 	1	35
ಎ 	1	35
ವಿವೇಕಾನಂದ 	1	34
ನಿ 	1	34
ಬೆಂಗಳೂರು 	1	33
ಮಂದಿರ 	1	32
ರ.ಸ 	1	31
ಕ.ರ 	1	31
ಸ್ವಾಮಿ ದೇವಸ್ಥಾನ 	2	31
ಸಾಗರ 	1	30
ಸರ್ಕಾರಿ ಶಾಲೆ 	2	30
ಮಹಾತ್ಮ 	1	30
ಬೆಂಗಳೂರು-ಮಂಗಳೂರು ಹೆದ್ದಾರಿ 	2	29
ಮಹಾತ್ಮ ಗಾಂಧಿ 	2	29
ಹರಿಹರ 	1	29
ಹೊಸಪೇಟೆ 	1	29
ನಗರ 	1	29
ಬೆಂಗಳೂರು-ಮಂಗಳೂರು 	1	29
ಐಸಿಐಸಿಐ 	1	28
ಬಸ್ ನಿಲ್ದಾನ 	2	28
ರಾಘವೇಂದ್ರ 	1	28
ವಿವೇಕಾನಂದ ರಸ್ತೆ 	2	28
ನಿಲ್ದಾನ 	1	28
ಶಿವ 	1	27
ಪ್ರೌಢ ಶಾಲೆ 	2	27
ಕೆನರಾ 	1	27
ಗಾಂಧಿ ರಸ್ತೆ 	2	27
ಪ್ರೌಢ 	1	27
ಬೀದಿ 	1	27
ಐಸಿಐಸಿಐ ಬ್ಯಾಂಕು 	2	27
ಬೆಳಗಾವಿ 	1	27
ಕೆನರಾ ಬ್ಯಾಂಕ್ 	2	26
ಹೊಸ 	1	26
ಮಹಾತ್ಮ ಗಾಂಧಿ ರಸ್ತೆ 	3	25
ಶಿವ ದೇವಸ್ಥಾನ 	2	25
ಅಡಿ ರಸ್ತೆ 	2	25
ಪಂಚಾಯಿತಿ 	1	24
ಕೃಷ್ಣ 	1	24
ಮಾದರಿ 	1	24
ಮಾರೆಮ್ಮ ದೇವಸ್ಥಾನ 	2	24
ಮಾರೆಮ್ಮ 	1	24
ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಉರ್ದು 	3	22
ಸರ್ಕಾರಿ ಪ್ರೌಢ ಶಾಲೆ 	3	22
ಸರ್ಕಾರಿ ಮಾದರಿ 	2	22
ದೇವಸ್ತಾನ 	1	22
ಫೀಲ್ಡ್ 	1	22
ವೈಟ್ ಫೀಲ್ಡ್ 	2	22
ವೈಟ್ 	1	22
ಸರ್ಕಾರಿ ಪ್ರೌಡ 	2	22
ದೇವಮ್ಮ 	1	22
ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಉರ್ದು ಶಾಲೆ 	4	22
