phrase	length	count
көчөсү 	1	1166
дом 	1	170
школа 	1	152
чолок 	1	132
чолок көчөсү 	2	132
частный 	1	114
бишкек-ош 	1	83
частный дом 	2	73
проспекти 	1	61
мечеть 	1	58
центр 	1	57
банк 	1	56
мобильник 	1	56
аптека 	1	51
жилой 	1	49
жолу 	1	48
больница 	1	46
средняя 	1	46
жилой дом 	2	45
столовая 	1	45
средняя школа 	2	42
им. 	1	42
жибек 	1	40
народный 	1	40
мектеби 	1	38
жолу көчөсү 	2	38
частный жилой 	2	37
частный жилой дом 	3	37
детский 	1	36
района 	1	35
газпром 	1	35
кафе 	1	34
сад 	1	33
жибек жолу 	2	33
сш 	1	31
поликлиника 	1	31
тракт 	1	30
детский сад 	2	30
osh 	1	30
жибек жолу көчөсү 	3	30
house 	1	29
чүй проспекти 	2	29
стоянка 	1	29
чүй 	1	29
коч. 	1	28
isfana 	1	28
баатыр 	1	28
баатыр көчөсү 	2	27
рск 	1	26
rd 	1	25
филиал 	1	25
шабдан 	1	23
и 	1	23
библиотека 	1	23
st. 	1	23
университет 	1	22
isfana-batken 	1	22
васильевский тракт 	2	22
васильевский 	1	22
иса 	1	21
уулу 	1	20
шабдан баатыр 	2	20
токтогул 	1	20
автомойка 	1	19
шабдан баатыр көчөсү 	3	19
москва 	1	19
имени 	1	19
ленин 	1	19
времянка 	1	19
гаражи 	1	19
гаи 	1	18
ленина 	1	18
датка 	1	18
отделение 	1	18
лицей 	1	17
лев толстой көчөсү 	3	17
толстой 	1	17
cafe 	1	17
лев толстой 	2	17
толстой көчөсү 	2	17
лев 	1	17
рынок 	1	17
курманжан 	1	16
кр 	1	16
курманжан датка 	2	16
панфилов 	1	16
pass 	1	16
почтовое 	1	15
акунбаев 	1	15
панфилов көчөсү 	2	15
кыргыз 	1	15
ата 	1	15
манас 	1	15
москва көчөсү 	2	15
азс 	1	15
почтовое отделение 	2	15
сберкасса 	1	14
медицинский 	1	14
иса акунбаев 	2	14
акунбаев көчөсү 	2	14
бөкөнбаев 	1	14
новая 	1	14
иса акунбаев көчөсү 	3	14
to 	1	14
tash rabat 	2	13
финка 	1	13
атындагы 	1	13
rd to 	2	13
to tash 	2	13
орозбеков 	1	13
к. 	1	13
датка көчөсү 	2	13
чуйская 	1	13
суд 	1	13
tash 	1	13
бнк 	1	13
корпус 	1	13
фрунзе 	1	13
бөкөнбаев көчөсү 	2	13
rd to tash 	3	13
to tash rabat 	3	13
rabat 	1	13
бульвары 	1	13
курманжан датка көчөсү 	3	13
rd to tash rabat 	4	13
пункт 	1	13
автовокзал 	1	12
ленин көчөсү 	2	12
pass rd 	2	12
bp 	1	12
многоэтажный дом 	2	12
tosor pass 	2	12
жаш гвардия бульвары 	3	12
кыргызский 	1	12
ала-тоо 	1	12
tosor pass rd 	3	12
жаш 	1	12
пост 	1	12
жаш гвардия 	2	12
гвардия бульвары 	2	12
кыргызстан 	1	12
многоэтажный 	1	12
тынчтык 	1	12
tosor 	1	12
чайхана 	1	12
сберкасса рск 	2	12
bank 	1	12
гвардия 	1	12
бектенов 	1	11
айыл 	1	11
токомбаев 	1	11
тынчтык проспекти 	2	11
церковь 	1	11
токтогул көчөсү 	2	11
токомбаев көчөсү 	2	11
неман 	1	11
аалы токомбаев көчөсү 	3	11
городской 	1	11
туберкулезная 	1	11
газпромнефть 	1	11
азия 	1	11
аалы 	1	11
аалы токомбаев 	2	11
медицинский центр 	2	11
объездная 	1	11
городская 	1	11
зияш көчөсү 	2	10
первомайского 	1	10
орозбеков абдыкадыр 	2	10
ресторан 	1	10
бассейн 	1	10
kicb 	1	10
абсамат 	1	10
бектенов зияш 	2	10
садик 	1	10
увд 	1	10
рск банк 	2	10
первомайского района 	2	10
цсм 	1	10
зияш 	1	10
милиция 	1	10
