arelerstrooss 	1	175
strooss 	1	136
wee 	1	77
der 	1	75
haaptstrooss 	1	75
um 	1	65
hauptstrooss 	1	63
am 	1	58
an 	1	55
duerfstrooss 	1	50
escher strooss 	2	46
escher 	1	46
millewee 	1	41
an der 	2	40
op 	1	39
neie 	1	37
neie wee 	2	37
diddenuewener 	1	33
diddenuewener strooss 	2	33
op der 	2	30
nei 	1	28
eecherfeld 	1	28
siwemuergen 	1	27
veianerstrooss 	1	23
dikrecherstrooss 	1	21
waistrooss 	1	21
bierg 	1	20
nei escher strooss 	3	18
nei escher 	2	18
aal 	1	17
chareli 	1	17
duarrefstrooss 	1	16
enneschtgaass 	1	16
avenue 	1	15
garewee 	1	14
rangwee 	1	13
kräizgrënnchen 	1	13
iewescht 	1	12
clausener 	1	12
buurschterwee 	1	12
schoulstrooss 	1	12
hollerecher 	1	12
stross 	1	12
réimerwee 	1	12
heed 	1	11
clausener bierg 	2	11
nei avenue 	2	10
plätzerbierg 	1	10
de 	1	10
konstemer strooss 	2	10
an der béiwerei 	3	10
eecher 	1	10
konstemer 	1	10
gaass 	1	10
geessewee 	1	10
hollerecher strooss 	2	10
béiwerei 	1	10
der béiwerei 	2	10
gëlle fra 	2	9
käler 	1	9
schëfflenger wee 	2	9
fra 	1	9
gëlle 	1	9
käler stross 	2	9
schëfflenger 	1	9
burewee 	1	9
ieweschtgaass 	1	9
munnereferstrooss 	1	8
tréiererstrooss 	1	8
eecher bierg 	2	8
ale 	1	8
groussgaass 	1	8
al 	1	8
kiirchewee 	1	8
rannerwee 	1	7
arsenalstrooss 	1	7
dieldréisch 	1	7
an der wollefskaul 	3	7
wollefskaul 	1	7
héidénger 	1	7
crispinusbierg 	1	7
fockeknapp 	1	7
neipuertsgaass 	1	7
aale 	1	7
op der dieldréisch 	3	7
kierchewee 	1	7
mënstergaass 	1	7
der wollefskaul 	2	7
um millewee 	2	7
der dieldréisch 	2	7
vun 	1	7
héidénger strooss 	2	7
beetebuergerstrooss 	1	7
um fockeknapp 	2	7
bréck 	1	7
streck 	1	6
päipelswiss 	1	6
zithastrooss 	1	6
aal éiter 	2	6
leschte steiwer 	2	6
éiter 	1	6
um leschte steiwer 	3	6
schmuelgaas 	1	6
bruch 	1	6
hanner 	1	6
hossegässel 	1	6
prënzeréng 	1	6
éiter streck 	2	6
aterlinn 	1	6
leschte 	1	6
steiwer 	1	6
duarefstrooss 	1	6
kreizlé 	1	6
duerefstrooss 	1	6
am bruch 	2	6
um leschte 	2	6
aal éiter streck 	3	6
houserstrooss 	1	6
iewescht heed 	2	6
sichegronn 	1	6
waasserwee 	1	5
am wénkel 	2	5
biergwee 	1	5
bettlerstrooss 	1	5
wénkel 	1	5
der gaass 	2	5
traufelsbierg 	1	5
huuscht 	1	5
riichterwee 	1	5
kaweechelcherspad 	1	5
kierfechtswee 	1	5
mounereferstrooss 	1	5
um riichterwee 	2	5
vullegaass 	1	5
gruef 	1	5
stroossbuergerstrooss 	1	5
aldringerstrooss 	1	5
ennescht 	1	5
op der huuscht 	3	5
näerzénger 	1	5
stäreplaz 	1	5
rommelshaff 	1	5
kierfechtstrooss 	1	5
grussgaas 	1	5
ennescht heed 	2	5
kiirfechstrooss 	1	5
huuschtwee 	1	5
aal draïkantonstrooss 	2	5
krokelshaff-strooss 	1	5
zolverknapp-ho 	1	5
schlasswee 	1	5
papeierbierg 	1	5
der huuscht 	2	5
wäistrooss 	1	5
duarreffstrooss 	1	5
ale wee 	2	5
um rommelshaff 	2	5
schoulwee 	1	5
am millewee 	2	5
al avenue 	2	5
kraeizgaass 	1	5
kiischtewee 	1	5
rampart 	1	5
munnerëferstrooss 	1	5
an der gaass 	3	5
wantergaass 	1	5
grousstrooss 	1	5
am garewee 	2	5
atertlinn 	1	5
draïkantonstrooss 	1	5
