phrase	length	count
g. 	1	29215
sodų 	1	1383
žalioji 	1	725
žalioji g. 	2	710
j. 	1	655
bažnyčia 	1	573
pr. 	1	534
a. 	1	505
pl. 	1	480
tak. 	1	463
vilniaus 	1	428
mokykla 	1	422
šv. 	1	390
ir 	1	385
seb 	1	339
liepų 	1	331
sodų g. 	2	310
s. 	1	309
liepų g. 	2	307
kauno 	1	306
vytauto 	1	296
vaistinė 	1	281
v. 	1	266
m. 	1	265
taikos 	1	258
mokyklos 	1	252
k. 	1	252
nemunėlio 	1	247
p. 	1	244
vytauto g. 	2	244
vilniaus g. 	2	242
radviliškis 	1	233
mokyklos g. 	2	233
miško 	1	228
nemunėlio radviliškis 	2	215
rinkuškiai 	1	212
juostaviečiai 	1	212
miško g. 	2	210
skg. 	1	209
beržų 	1	202
parko 	1	201
laisvės 	1	197
šiaulių 	1	196
aušros 	1	193
beržų g. 	2	191
gėlių 	1	188
parko g. 	2	187
gimnazija 	1	180
basanavičiaus 	1	173
gėlių g. 	2	171
švč. 	1	171
girėno 	1	170
dariaus ir 	2	169
dariaus 	1	169
j. basanavičiaus 	2	168
aplinkkelis 	1	168
centras 	1	167
krinčinas 	1	166
lopšelis-darželis 	1	164
girėno g. 	2	163
naujoji 	1	162
al. 	1	162
klaipėdos 	1	161
pievų 	1	158
taikos g. 	2	153
j. basanavičiaus g. 	3	151
basanavičiaus g. 	2	151
draugystės 	1	150
pievų g. 	2	149
alyvų 	1	148
naujoji g. 	2	147
ateities 	1	146
pagrindinė 	1	145
ir girėno 	2	143
dariaus ir girėno 	3	143
pagrindinė mokykla 	2	142
aušros g. 	2	141
dvaro 	1	140
kudirkos 	1	140
dariaus ir girėno g. 	4	137
ir girėno g. 	3	137
kaštonų 	1	136
alyvų g. 	2	135
panevėžio 	1	135
kalno 	1	133
ežero 	1	133
draugystės g. 	2	132
lauko 	1	130
dvaro g. 	2	130
kaštonų g. 	2	130
savanorių 	1	128
ežero g. 	2	126
klevų 	1	125
ukmergės 	1	125
žemaičių 	1	124
vidurinė 	1	123
saulės 	1	123
vilties 	1	122
pramonės 	1	122
kranto 	1	122
ateities g. 	2	121
