phrase	length	count
iela 	1	16720
rīgas 	1	584
gatve 	1	357
robeža 	1	338
rīga 	1	304
līnija 	1	284
prospekts 	1	283
brīvības 	1	246
vidusskola 	1	237
rīgas iela 	2	235
baznīca 	1	228
ceļš 	1	216
mazā 	1	215
raiņa 	1	197
aptieka 	1	185
raiņa iela 	2	179
skolas 	1	171
skolas iela 	2	170
igaunijas 	1	159
igaunijas robeža 	2	152
brīvības iela 	2	150
krasta iela 	2	149
krasta 	1	149
dārziņu 	1	141
centrs 	1	134
lietuvas 	1	133
bulvāris 	1	130
saules 	1	130
ainaži 	1	128
ventspils 	1	126
jāņa 	1	126
meža 	1	126
lietuvas robeža 	2	125
baltezers 	1	122
lielā 	1	121
swedbank 	1	118
stacijas 	1	117
latvijas 	1	117
dārza 	1	117
parka 	1	115
dārza iela 	2	115
parka iela 	2	114
stacijas iela 	2	113
daugavpils 	1	109
kalna 	1	108
saules iela 	2	108
pils 	1	106
un 	1	105
liepu 	1	105
madona 	1	105
krišjāņa 	1	103
skola 	1	103
statoil 	1	101
izglītības 	1	101
iestāde 	1	101
šoseja 	1	101
dzirnavu iela 	2	100
dzirnavu 	1	100
dambis 	1	100
lielā iela 	2	100
tukums 	1	99
tirgus 	1	98
apvedceļš 	1	98
lauku 	1	98
ozolu 	1	97
izglītības iestāde 	2	96
aleja 	1	95
jelgava 	1	95
lauku iela 	2	95
upes 	1	94
sporta 	1	92
pamatskola 	1	92
ozolu iela 	2	91
upes iela 	2	91
liepu iela 	2	91
miera 	1	91
kalna iela 	2	91
jelgavas 	1	91
gulbene 	1	90
miera iela 	2	90
meža iela 	2	89
pirmsskolas 	1	88
cēsu 	1	87
bērzu 	1	87
pirmsskolas izglītības 	2	86
pirmsskolas izglītības iestāde 	3	86
pasta 	1	85
koknese 	1	85
mēness 	1	85
brīvības gatve 	2	85
salaspils 	1	84
valdemāra 	1	84
nams 	1	82
jaunā 	1	82
valdemāra iela 	2	81
smilšu iela 	2	81
pils iela 	2	81
smilšu 	1	81
valmiera 	1	80
kārļa 	1	80
katoļu 	1	79
kapi 	1	78
gaujas 	1	78
sporta iela 	2	77
stacija 	1	77
gaujas iela 	2	75
krišjāņa valdemāra 	2	74
krišjāņa valdemāra iela 	3	74
bērzu iela 	2	73
lāčplēša 	1	72
lāčplēša iela 	2	72
rīgas apvedceļš 	2	72
daugavas 	1	71
talsu 	1	71
avotu 	1	71
vidzemes 	1	71
baznīcas 	1	71
avotu iela 	2	71
babīte 	1	71
liepājas 	1	71
jūrmalas 	1	70
ziedu 	1	70
maskavas 	1	69
ganību 	1	69
bibliotēka 	1	69
bauska 	1	69
jaunā iela 	2	68
ziedu iela 	2	68
zaļā 	1	68
cēsis 	1	68
tīnūži 	1	67
maskavas iela 	2	67
kuldīga 	1	66
kuldīgas 	1	64
laukums 	1	64
ezera 	1	63
