phrase	length	count
курось 	1	538
проспектсь 	1	34
номерсь 	1	34
оцюкись 	1	32
кизонь 	1	27
кизонь проспектсь 	2	27
октябрянь 	1	27
школать 	1	26
школать номерсь 	2	26
советскяй 	1	24
александр невскяень 	2	20
александр 	1	20
александр невскяень курось 	3	20
невскяень 	1	20
невскяень курось 	2	20
советскяй курось 	2	20
серовонь 	1	19
серовонь курось 	2	19
курнясь 	1	18
косаревонь 	1	16
косаревонь курось 	2	16
лямбирень оцюкись 	2	15
лямбирень 	1	15
севастополень курось 	2	14
пролетарскяй 	1	14
севастополень 	1	14
пролетарскяй курось 	2	14
ширень 	1	14
ботевградскяй курось 	2	13
коммунистическяй курось 	2	13
титовонь курось 	2	13
коммунистическяй 	1	13
ботевградскяй 	1	13
титовонь 	1	13
гагаринонь 	1	12
кельме-шистяма ширень 	2	12
ширень оцюкись 	2	12
кельме-шистяма ширень оцюкись 	3	12
гагаринонь курось 	2	12
полежаевонь курось 	2	12
полежаевонь 	1	12
кельме-шистяма 	1	12
якстерь 	1	11
васенкань курось 	2	10
васенкань 	1	10
волгоградонь 	1	9
волгоградонь курось 	2	9
рабочай курось 	2	9
рабочай 	1	9
большевистскяй курось 	2	9
большевистскяй 	1	9
якстерь курось 	2	8
ленинонь проспектсь 	2	7
ленинонь 	1	7
садонь 	1	7
садонь курось 	2	7
инсаронь 	1	6
инсаронь курось 	2	6
марина расковань курось 	3	5
сяськомань курось 	2	5
алдонь курось 	2	5
расковань 	1	5
сяськомань 	1	5
хмельницкяень 	1	5
александровскяй оцюкись 	2	5
богдан хмельницкяень 	2	5
марина расковань 	2	5
богдан 	1	5
строительнай 	1	5
поповонь 	1	5
богдан хмельницкяень курось 	3	5
поповонь курось 	2	5
марина 	1	5
алдонь 	1	5
строительнай курось 	2	5
коваленкань 	1	5
александровскяй 	1	5
коваленкань курось 	2	5
расковань курось 	2	5
хмельницкяень курось 	2	5
