phrase	length	count
epp 	1	144
fjkm 	1	119
route 	1	102
boulevard 	1	60
pharmacie 	1	59
lycée 	1	53
ceg 	1	47
only 	1	39
hôtel 	1	38
école 	1	35
collège 	1	35
marché 	1	25
avenue 	1	25
hotely 	1	25
school 	1	25
csb 	1	23
centre 	1	22
saint 	1	22
restaurant 	1	21
ecole 	1	21
làlana 	1	21
route d'anjeva 	2	21
ekar 	1	21
terminus 	1	21
d'anjeva 	1	21
hotel 	1	19
ii 	1	18
privé 	1	18
route circulaire 	2	17
circulaire 	1	17
miarinavaratra 	1	17
bfv-sg 	1	17
flm 	1	17
primaire 	1	16
commune 	1	15
bar 	1	15
privée 	1	13
cyber 	1	13
pizza 	1	13
mosquée 	1	13
boa 	1	13
joseph 	1	13
fiangonana 	1	12
tsiranana 	1	12
church 	1	12
total 	1	12
public 	1	12
philibert 	1	11
française 	1	11
bazary 	1	11
philibert tsiranana 	2	11
saint joseph 	2	11
csb ii 	2	11
catholique 	1	10
eglise 	1	10
galana 	1	10
route d'andramasina 	2	10
d'andramasina 	1	10
piste 	1	10
station 	1	10
snack 	1	10
café 	1	10
gendarmerie 	1	10
pasitera 	1	9
fokontany 	1	9
fitiavana 	1	9
tsena 	1	9
villa 	1	9
collège saint 	2	9
market 	1	9
ligne 	1	9
lycée privé 	2	9
làlana pasitera 	2	9
terminus ligne 	2	9
ambohitrimanjaka 	1	9
bibliothèque 	1	9
analakely 	1	9
boulevard lyautey 	2	8
école privée 	2	8
sainte 	1	8
gallieni 	1	8
avenue gallieni 	2	8
be 	1	8
école primaire 	2	8
lyautey 	1	8
soanierana 	1	8
mairie 	1	8
catholic 	1	8
office 	1	8
shell 	1	8
route ambohitrimanjaka 	2	8
ravinala 	1	8
poste 	1	7
anosizato 	1	7
agence 	1	7
augagneur 	1	7
i 	1	7
gargote 	1	7
alliance 	1	7
publique 	1	7
madagascar 	1	7
duplex 	1	7
stationnement 	1	7
antanimena 	1	7
boulevard duplex 	2	7
hôpital 	1	7
d'enseignement 	1	7
imito 	1	7
lapan'ny 	1	6
tsingy 	1	6
ny 	1	6
route ambohimanga 	2	6
universitaire 	1	6
maison 	1	6
labourdonnais 	1	6
église 	1	6
mamonjy 	1	6
ecole primaire 	2	6
bureau 	1	6
lutheran 	1	6
pharmacy 	1	6
ambanidia 	1	6
andrainjato 	1	6
andasibe 	1	6
route d'ambohimanga 	2	6
moramanga 	1	6
maritiora 	1	6
ambatomanjaka 	1	6
lalana 	1	6
imerimandroso 	1	6
ambohimanga 	1	6
avenue philibert 	2	6
avaratra 	1	6
d'ambohimanga 	1	6
ratsimilaho 	1	6
ambatolampy 	1	6
d 	1	6
avenue philibert tsiranana 	3	6
jovenna 	1	6
ceg miarinavaratra 	2	5
boulevard labourdonnais 	2	5
sacré 	1	5
banque 	1	5
alliance française 	2	5
accès 	1	5
centre valbio 	2	5
andravoahangy 	1	5
hopital 	1	5
tranovato 	1	5
nationale 	1	5
adventiste 	1	5
change 	1	5
valbio 	1	5
jesosy 	1	5
rasalama 	1	5
antaninarenina 	1	5
rurale 	1	5
house 	1	5
clinique 	1	5
jovena 	1	5
antsohihy 	1	5
paul 	1	5
primary 	1	5
hospital 	1	5
tanambao 	1	5
kianja 	1	5
joffre 	1	5
ivato 	1	5
ampefiloha 	1	5
général 	1	5
boulevard ratsimilaho 	2	5
ambohipo 	1	5
sekoly 	1	5
a 	1	5
escale 	1	5
antarandolo 	1	5
buvette 	1	5
bfv 	1	5
bni 	1	5
toamasina 	1	5
jesosy mamonjy 	2	5
malaza 	1	5
