байр 	1	538
ger 	1	371
сургууль 	1	307
банк 	1	273
гэр 	1	270
газар 	1	184
эмнэлэг 	1	154
төв 	1	151
цэцэрлэг 	1	150
дэлгүүр 	1	135
зогсоол 	1	114
хаан 	1	107
зам 	1	107
буудал 	1	96
сан 	1	95
ресторан 	1	93
хаан банк 	2	85
road 	1	81
route 	1	80
northern 	1	79
эмийн 	1	74
авто 	1	71
эмийн сан 	2	70
хүнсний 	1	61
голомт 	1	60
цайны 	1	57
цайны газар 	2	56
штс 	1	55
сууц 	1	55
хувийн 	1	54
төрийн 	1	52
монгол 	1	51
хүнсний дэлгүүр 	2	51
төрийн банк 	2	49
restaurant 	1	49
их 	1	47
голомт банк 	2	46
орон 	1	45
pub 	1	43
northern route 	2	43
house 	1	43
bank 	1	42
гудамж 	1	41
байшин 	1	40
атм 	1	38
дунд 	1	38
southern route 	2	37
хас 	1	37
southern 	1	37
автобусны 	1	37
цогцолбор 	1	36
northern road 	2	36
зоогийн 	1	36
зоогийн газар 	2	35
mandalgovi 	1	34
дунд сургууль 	2	34
автобусны буудал 	2	33
хотхон 	1	33
surguuli 	1	33
дээд 	1	33
орон сууц 	2	33
худалдаа 	1	32
дээд сургууль 	2	32
зөрлөгийн 	1	31
dalanzadgad 	1	31
граж 	1	31
хас банк 	2	30
хөгжлийн 	1	30
петровис 	1	30
school 	1	29
машины 	1	29
сургуулийн 	1	28
зөрлөгийн байр 	2	27
улаанбаатар 	1	27
машины зогсоол 	2	26
авто зогсоол 	2	25
зоог 	1	25
худалдаа хөгжлийн 	2	25
хоолны 	1	25
улсын 	1	25
цагдаагийн 	1	24
шүдний 	1	24
шүдний эмнэлэг 	2	24
мт 	1	24
cafe 	1	24
хоолны газар 	2	23
зах 	1	23
ub 	1	22
шинэ 	1	22
hwy 	1	22
хороолол 	1	22
өрхийн эмнэлэг 	2	22
өрхийн 	1	22
нэгдсэн 	1	22
хувийн сууц 	2	22
машин 	1	22
хуучин 	1	22
ulaanbaatar 	1	21
хувийн байшин 	2	21
хөгжлийн банк 	2	21
the 	1	21
номын 	1	21
худалдаа хөгжлийн банк 	3	21
highway 	1	20
хүүхдийн 	1	20
караоке 	1	20
кафе 	1	19
капитал 	1	19
of 	1	19
капитал банк 	2	19
паб 	1	19
atm 	1	18
өргөө 	1	18
номын сан 	2	18
сүм 	1	18
pizza 	1	18
салбар 	1	18
хийд 	1	18
дүүргийн 	1	17
р 	1	17
эрүүл 	1	17
coffee 	1	17
солонгос 	1	17
хороо 	1	17
их сургууль 	2	17
банкны 	1	17
нэгдсэн эмнэлэг 	2	17
ордон 	1	17
шунхлай 	1	17
худалдааны 	1	17
бага 	1	17
хорооллын 	1	17
club 	1	16
угаалга 	1	16
худалдааны төв 	2	16
хэсэг 	1	16
эцэс 	1	16
khiid 	1	16
бага сургууль 	2	16
бууз 	1	16
suuts 	1	15
барилгын 	1	15
emneleg 	1	15
мэндийн 	1	15
tsetserleg 	1	15
бэлхийн 	1	15
meren-shine-ider-jargalant 	1	15
талбай 	1	15
дотуур 	1	15
бэлхийн гудамж 	2	15
huviin 	1	15
ххк 	1	15
эрүүл мэндийн 	2	15
nuur 	1	15
huviin suuts 	2	15
спорт 	1	15
гудам 	1	14
yurt 	1	14
айлын 	1	14
zuunmod 	1	14
bar 	1	14
орох 	1	14
айл 	1	14
төмөр 	1	14
city 	1	14
орох зам 	2	14
театр 	1	14
karaoke 	1	14
спиртийн 	1	13
дотуур байр 	2	13
холбоо 	1	13
дэнжийн 	1	13
hut 	1	13
түгээх 	1	13
машин зогсоол 	2	13
khaan 	1	13
петровис штс 	2	13
golomt 	1	13
шатахуун 	1	13
bene 	1	13
khermentsav-gurvantes 	1	13
mandalgovi hwy 	2	13
lounge 	1	13
sum 	1	13
хичээлийн 	1	12
хорооллын гудам 	2	12
mandalgobi 	1	12
хяргас 	1	12
park 	1	12
баянгол 	1	12
шатахуун түгээх 	2	12
хорооны 	1	12
банк атм 	2	12
track 	1	12
dalanzadgad-bayandalai 	1	12
авто угаалга 	2	12
хоол 	1	12
dalanzadgad highway 	2	12
нэрэмжит 	1	12
ахлах 	1	12
айлын орон 	2	12
center 	1	12
технологийн 	1	12
food 	1	12
khaan bank 	2	12
станц 	1	11
халуун 	1	11
айлын орон сууц 	3	11
сод монгол 	2	11
нуураас завханы ургамал орох зам 	5	11
завханы ургамал 	2	11
нуураас завханы ургамал 	3	11
завханы 	1	11
зочид 	1	11
алтай 	1	11
гараж 	1	11
гүүр 	1	11
зочид буудал 	2	11
хотын 	1	11
нуураас 	1	11
нуураас завханы ургамал орох 	4	11
завханы ургамал орох зам 	4	11
хяргас нуураас завханы ургамал орох 	5	11
монос 	1	11
хяргас нуураас завханы ургамал 	4	11
нуураас завханы 	2	11
замын 	1	11
сод 	1	11
р байр 	2	11
хэлтэс 	1	11
altai 	1	11
ургамал орох 	2	11
аймгийн 	1	11
хяргас нуураас завханы 	3	11
ургамал 	1	11
хяргас нуураас 	2	11
төмөр замын 	2	11
завханы ургамал орох 	3	11
ургамал орох зам 	3	11
дулаан 	1	10
үйлдвэр 	1	10
bayangol-zuunkharaa 	1	10
ирээдүй 	1	10
bair 	1	10
hgw 	1	10
шутис 	1	10
үндэсний 	1	10
нарны 	1	10
hgw ub 	2	10
building 	1	10
ахлах сургууль 	2	10
tosontsengel 	1	10
and 	1	10
авто машины зогсоол 	3	10
засаг 	1	10
khongoriin 	1	10
бар 	1	10
bench 	1	10
parking 	1	10
өргөн 	1	10
банкны атм 	2	10
авто машины 	2	10
нарны зам 	2	9
өргөн чөлөө 	2	9
алтай хотхон 	2	9
хуушуур 	1	9
хуучин эцэс 	2	9
залуучуудын 	1	9
туслах 	1	9
khad 	1	9
bogd 	1	9
uliastay-altai road 	2	9
чөлөө 	1	9
oyu 	1	9
төв номын 	2	9
els 	1	9
улаанбаатар хотын 	2	9
од 	1	9
mongolian 	1	9
uliastay 	1	9
гурван 	1	9
наран 	1	9
golomt bank 	2	9
hospital 	1	9
mongolia 	1	9
барааны 	1	9
их дэлгүүр 	2	9
nomads 	1	9
uliastay-altai 	1	9
төв номын сан 	3	9
коллеж 	1	8
харуул алтай 	2	8
магнай трейд 	2	8
ulaan-uul-renchinlkhumbe 	1	8
new 	1	8
заал 	1	8
oyu tolgoi-gashuun 	2	8
мт штс 	2	8
meren-ulaan-uul 	1	8
баян 	1	8
тэнгэр 	1	8
харуул алтай хотхон 	3	8
түгээх станц 	2	8
yoliin 	1	8
bakery 	1	8
цогцолбор сургууль 	2	8
кино 	1	8
байрны 	1	8
dalanzadgad track 	2	8
ус 	1	8
харуул 	1	8
уурын 	1	8
магнай 	1	8
хотхоны 	1	8
am 	1	8
ерөнхий 	1	8
els-bulgan 	1	8
трейд 	1	8
khongoriin els-bulgan 	2	8
tolgoi-gashuun 	1	8
negdsen 	1	8
солонгос хоолны 	2	8
шуудан 	1	8
yoliin am 	2	8
гал 	1	8
зочин 	1	8
elziit 	1	8
sukhait 	1	8
car 	1	8
modern nomads 	2	8
hotel 	1	8
mt 	1	8
туслах зам 	2	8
яармагийн 	1	8
erdenet-khyalganat 	1	8
дулаан граж 	2	8
сумын 	1	8
эрдэм 	1	8
modern 	1	8
ирээдүй цогцолбор 	2	8
negdsen emneleg 	2	8
шатахуун түгээх станц 	3	8
tolgoi-gashuun sukhait 	2	8
oyu tolgoi-gashuun sukhait 	3	8
солонгос хоолны газар 	3	8
хүний 	1	8
вагон 	1	7
гол 	1	7
жаст 	1	7
сав 	1	7
христийн 	1	7
irish 	1	7
явган 	1	7
хаан банкны 	2	7
хотын банк 	2	7
энэрэл 	1	7
буянт-ухаа 	1	7
broadway 	1	7
tse 	1	7
колонк 	1	7
тоглоомын 	1	7
caffe 	1	7
плаза 	1	7
bornuur-batsumber 	1	7
түргэн 	1	7
орон байр 	2	7
олимп 	1	7
petrovis 	1	7
олон 	1	7
deed surguuli 	2	7
pizza hut 	2	7
сургалтын 	1	7
материалын 	1	7
алтан 	1	7
явган хүний 	2	7
uliastai 	1	7
монгол улсын 	2	7
нийтийн 	1	7
хүний зам 	2	7
korean restaurant 	2	7
төрөх 	1	7
cafe bene 	2	7
эрдэнэ 	1	7
овоо 	1	7
kfc 	1	7
deed 	1	7
цагдаагийн хэлтэс 	2	7
сббхк-ий 	1	7
барилгын материалын 	2	7
khankhongor-mandal-ovoo 	1	7
явган хүний зам 	3	7
bulgan-bayandalai 	1	7
ерөнхий газар 	2	7
lun-bayan-ender 	1	7
соёлын 	1	7
korean 	1	7
gazar 	1	6
хогийн сав 	2	6
chuluu 	1	6
хүрмэн 	1	6
сөүлийн гудамж 	2	6
усан 	1	6
яам 	1	6
darkhan 	1	6
милая 	1	6
baruun-urt 	1	6
шонхор 	1	6
зүүн 	1	6
гандигийн гудамж 	2	6
сайдын 	1	6
христийн сүм 	2	6
bbq 	1	6
zaluuchin road 	2	6
махатма гандигийн 	2	6
монос эмийн сан 	3	6
өртөөний 	1	6
тоглоомын талбай 	2	6
bekhmeren 	1	6
guanz 	1	6
tdb 	1	6
элчин 	1	6
гандигийн 	1	6
оюутны 	1	6
махатма гандигийн гудамж 	3	6
махатма 	1	6
market 	1	6
оршуулгын 	1	6
намын байр 	2	6
хятад 	1	6
өртөө 	1	6
зуух 	1	6
үйлчилгээний 	1	6
хувийн дулаан граж 	3	6
дарханы оршуулгын 	2	6
сургалт 	1	6
бинзен 	1	6
zaluuchin 	1	6
жаст ойл 	2	6
хан 	1	6
түргэн хоол 	2	6
уурын зуух 	2	6
монгол зоог 	2	6
элчин сайдын 	2	6
сббхк-ий хэсэг 	2	6
tudevtei-yaruu 	1	6
land 	1	6
