phrase	length	count
पथ 	1	457
मार्ग 	1	307
रस्ता 	1	268
महामार्ग 	1	189
मुंबई-पुणे 	1	160
मुंबई-पुणे द्रुतगतीमार्ग 	2	160
द्रुतगतीमार्ग 	1	160
शीव 	1	149
पनवेल महामार्ग 	2	149
पनवेल 	1	149
शीव पनवेल 	2	149
शीव पनवेल महामार्ग 	3	149
ग्रेड सेपरेटर 	2	82
सेपरेटर 	1	82
ग्रेड 	1	82
पूल 	1	69
बँक 	1	53
मंदिर 	1	53
सांता क्रुझ 	2	46
चेंबूर जोडरस्ता 	2	46
चेंबूर 	1	46
क्रुझ 	1	46
जोडरस्ता 	1	46
सांता 	1	46
मुक्तमार्ग 	1	41
पूर्व मुक्तमार्ग 	2	41
पूर्व 	1	41
कर्वे 	1	38
चाकण 	1	37
कर्वे रस्ता 	2	37
सिंहगड 	1	35
कोंढवा 	1	34
सिंहगड रस्ता 	2	34
शाखा 	1	33
उड्डाणपूल 	1	33
महाराज 	1	33
पुणे-मुंबई 	1	30
जुना पुणे-मुंबई 	2	30
जुना पुणे-मुंबई महामार्ग 	3	30
पुणे-मुंबई महामार्ग 	2	30
जुना 	1	30
कोंढवा रस्ता 	2	29
शंकरशेठ मार्ग 	2	27
गोपाळ 	1	27
जगन्नाथ 	1	27
शंकरशेठ 	1	27
संत 	1	26
जगन्नाथ शंकरशेठ मार्ग 	3	25
जगन्नाथ शंकरशेठ 	2	25
विद्यालय 	1	24
आंबेडकर 	1	24
बाबासाहेब 	1	23
ज्ञानेश्वर 	1	22
बाबासाहेब आंबेडकर 	2	22
रुग्णालय 	1	21
संत ज्ञानेश्वर 	2	21
चाकण शिक्रापूर रस्ता 	3	21
ज्ञानेश्वर मार्ग 	2	21
शिक्रापूर 	1	21
संत ज्ञानेश्वर मार्ग 	3	21
शिक्रापूर रस्ता 	2	21
चाकण शिक्रापूर 	2	21
चौक 	1	21
पौड 	1	20
शिंदे 	1	20
महाविद्यालय 	1	20
पौड रस्ता 	2	19
कात्रज 	1	19
सासवड 	1	18
सासवड रस्ता 	2	18
शिळ 	1	18
शिळ रस्ता 	2	18
कल्याण 	1	18
पोलीस 	1	17
बाबासाहेब आंबेडकर मार्ग 	3	17
आंबेडकर मार्ग 	2	17
वीर 	1	17
संभाजी 	1	16
ग. 	1	16
सोलापूर रस्ता 	2	16
तळेगाव चाकण रस्ता 	3	16
सोलापूर 	1	16
नेहरु 	1	16
रोड 	1	16
तळेगाव 	1	16
तळेगाव चाकण 	2	16
चाकण रस्ता 	2	16
नेहरु मार्ग 	2	15
दि 	1	15
जवाहरलाल 	1	15
जवाहरलाल नेहरु मार्ग 	3	15
जवाहरलाल नेहरु 	2	15
हरि 	1	15
कात्रज कोंढवा 	2	14
बोगदा 	1	14
माडगूळकर भुयारी 	2	14
विठ्ठल 	1	14
माडगूळकर भुयारी मार्ग 	3	14
हरि देशमुख 	2	14
माडगूळकर 	1	14
कात्रज कोंढवा रस्ता 	3	14
देशमुख 	1	14
भुयारी मार्ग 	2	14
गोपाळ हरि देशमुख मार्ग 	4	14
टिळक 	1	14
देशमुख मार्ग 	2	14
भवन 	1	14
भुयारी 	1	14
अव्हेन्यू 	1	14
महाराज पथ 	2	14
गुरुजी 	1	14
गोपाळ हरि 	2	14
हरि देशमुख मार्ग 	3	14
गोपाळ हरि देशमुख 	3	14
ग. दि 	2	14
तानाजी 	1	13
शिवाजी 	1	13
जोशी 	1	13
कुलकर्णी 	1	12
मालुसरे पथ 	2	12
चौकी 	1	12
तात्यासाहेब 	1	12
अनंत 	1	12
मालुसरे 	1	12
राजा 	1	12
मारुती 	1	12
नानासाहेब 	1	12
तानाजी मालुसरे 	2	12
तानाजी मालुसरे पथ 	3	12
शाळा 	1	12
सरदार 	1	11
कान्हेरे 	1	11
नॅशनल गेम्स 	2	11
भारतीय 	1	11
चटोपाध्याय पथ 	2	11
चटोपाध्याय 	1	11
गेम्स मार्ग 	2	11
पाम 	1	11
कान्हेरे पथ 	2	11
नॅशनल गेम्स मार्ग 	3	11
पाम बीच मार्ग 	3	11
बंकिमचंद्र चटोपाध्याय पथ 	3	11
ऑफ 	1	11
नॉर्थ 	1	11
पाम बीच 	2	11
अनंत कान्हेरे 	2	11
गांधी 	1	11
नॅशनल 	1	11
अनंत कान्हेरे पथ 	3	11
गुरुजी मार्ग 	2	11
कुलकर्णी पथ 	2	11
पोलीस चौकी 	2	11
बंकिमचंद्र चटोपाध्याय 	2	11
रामचंद्र 	1	11
बँक ऑफ 	2	11
बीच मार्ग 	2	11
डेक्कन 	1	11
बीच 	1	11
लोकमान्य 	1	11
बंकिमचंद्र 	1	11
गेम्स 	1	11
शास्त्री 	1	10
श्री 	1	10
नॉर्थ मेन रोड 	3	10
बलभीम 	1	10
मेन 	1	10
रामजी 	1	10
मेन रोड 	2	10
गोखले 	1	10
गणेश 	1	10
इस्ट 	1	10
पुणे 	1	10
बाजीराव 	1	10
नॉर्थ मेन 	2	10
सातारा रस्ता 	2	10
छत्रपती 	1	10
डॉ 	1	10
शंकर 	1	10
सातारा 	1	10
विठ्ठल रामजी शिंदे 	3	9
कवडे 	1	9
कोथरूड 	1	9
तात्यासाहेब कवडे 	2	9
