phrase	length	count
jalan 	1	38578
lorong 	1	6448
persiaran 	1	2896
indah 	1	1562
simpang 	1	1314
bukit 	1	1199
laluan 	1	1130
jaya 	1	1109
taman 	1	1074
sri 	1	913
sekolah 	1	889
usj 	1	780
masjid 	1	745
sungai 	1	736
kebangsaan 	1	720
jalan usj 	2	716
timur 	1	672
permai 	1	643
baru 	1	610
perdana 	1	610
putra 	1	607
lebuhraya 	1	580
jalan indah 	2	566
utama 	1	560
bunga 	1	558
lebuh 	1	555
jalan bukit 	2	529
seri 	1	528
ss 	1	515
bandar 	1	513
batu 	1	513
desa 	1	509
house 	1	500
kuala 	1	484
jalan ss 	2	478
kampung 	1	472
hala 	1	472
anggerik 	1	471
setia 	1	455
pulai 	1	418
sultan 	1	412
jalan anggerik 	2	407
jalan sri 	2	406
jalan bunga 	2	392
sk 	1	386
petronas 	1	378
emas 	1	378
tun 	1	378
jalan sungai 	2	374
no. 	1	368
pengkalan 	1	367
tasek 	1	363
tanjung 	1	363
house no. 	2	359
jalan putra 	2	350
surau 	1	345
sekolah kebangsaan 	2	336
kota 	1	334
bercham 	1	333
bank 	1	333
raja 	1	332
raya 	1	332
mutiara 	1	332
shell 	1	322
interchange 	1	299
selatan 	1	298
barat 	1	296
to 	1	292
jalan setia 	2	280
damai 	1	279
medan 	1	277
park 	1	274
jalan pulai 	2	273
klebang 	1	272
lama 	1	268
impian 	1	268
utara 	1	265
tingkat 	1	262
haji 	1	260
jalan tun 	2	259
pju 	1	256
kledang 	1	254
jalan sultan 	2	254
jalan pju 	2	250
pasir 	1	250
jalan kuala 	2	249
sutera 	1	249
c 	1	248
abdul 	1	247
besar 	1	247
teratai 	1	244
kemuning 	1	242
alam 	1	241
parking 	1	236
klinik 	1	235
pantai 	1	235
menengah 	1	235
sekolah menengah 	2	234
delima 	1	234
a 	1	231
jalan kampung 	2	230
smk 	1	229
tambun 	1	224
dato 	1	224
pulau 	1	223
ria 	1	219
bk 	1	217
ampang 	1	216
block 	1	214
pandan 	1	213
puteri 	1	210
jln 	1	210
meru 	1	209
permas 	1	209
jalan kemuning 	2	205
restoran 	1	204
jalan bk 	2	201
hang 	1	201
jalan permas 	2	201
car 	1	194
jalan hang 	2	193
jalan teratai 	2	191
tanah 	1	190
dataran 	1	187
datuk 	1	186
merah 	1	186
pasar 	1	183
mawar 	1	183
maju 	1	183
rapat 	1	183
suria 	1	181
lapangan 	1	180
jelapang 	1	179
ipoh 	1	178
highway 	1	178
pjs 	1	177
cantek 	1	177
taman cantek 	2	177
balai 	1	176
menengah kebangsaan 	2	175
sekolah menengah kebangsaan 	3	175
jalan seri 	2	174
perpaduan 	1	173
cempaka 	1	172
hospital 	1	172
jalan kota 	2	171
jalan batu 	2	171
islam 	1	170
merak 	1	170
aman 	1	169
polis 	1	168
car park 	2	168
jalan pandan 	2	167
lengkok 	1	167
expressway 	1	164
perkuburan 	1	163
subang 	1	163
kenanga 	1	163
padang 	1	162
jalan perdana 	2	160
tunku 	1	159
sd 	1	158
persekutuan 	1	158
solok 	1	157
perindustrian 	1	157
gunung 	1	157
minyak 	1	156
nilam 	1	156
station 	1	156
taman cantek house 	3	155
cantek house 	2	155
lintang 	1	155
kempas 	1	154
bahagia 	1	154
kfc 	1	154
cemetery 	1	153
industri 	1	153
shah 	1	152
bs 	1	152
intan 	1	152
jalan bs 	2	152
jalan taman 	2	151
cafe 	1	148
lot 	1	146
puncak 	1	145
jalan tasek 	2	145
lrg 	1	145
apartment 	1	145
perak 	1	144
taman cantek house no. 	4	144
jambu 	1	144
cantek house no. 	3	144
jalan pjs 	2	144
pusat 	1	142
malaysia 	1	141
air 	1	141
lorong bukit 	2	141
jalan bandar 	2	141
tasek timur 	2	141
jalan raja 	2	141
alor 	1	141
jalan mutiara 	2	141
jalan kenanga 	2	141
wira 	1	140
jalan dato 	2	140
lembah 	1	139
restaurant 	1	139
b 	1	139
jalan puj 	2	138
tawas 	1	138
bukit minyak 	2	138
puj 	1	138
bandar baru 	2	138
petron 	1	138
lahat 	1	137
phase 	1	135
jenis 	1	135
jalan sutera 	2	135
ahmad 	1	134
jenis kebangsaan 	2	134
brp 	1	133
jalan brp 	2	133
murni 	1	132
school 	1	132
bayu 	1	131
au 	1	131
ridgeview 	1	131
nuri 	1	131
maybank 	1	130
caltex 	1	129
ara 	1	129
jalan jambu 	2	129
jati 	1	128
menglembu 	1	128
batu nilam 	2	128
matang 	1	127
sekolah jenis 	2	125
cheras 	1	125
ridgeview phase 	2	125
taman ridgeview 	2	125
taman ridgeview phase 	3	125
juru 	1	124
sekolah jenis kebangsaan 	3	124
mewah 	1	124
gadong 	1	124
centre 	1	123
lorong seri 	2	122
jalan desa 	2	122
of 	1	121
johor 	1	121
road 	1	121
melati 	1	120
jalan delima 	2	120
jalan pulau 	2	120
balai polis 	2	120
tengah 	1	118
jalan besar 	2	118
court 	1	118
ulu 	1	118
kg 	1	117
sentosa 	1	117
sdn. 	1	117
lorong batu 	2	117
tanah perkuburan 	2	116
jalan mawar 	2	116
tebrau 	1	116
tk 	1	116
pejabat 	1	116
jalan tk 	2	115
jalan damai 	2	114
wawasan 	1	114
jalan au 	2	114
sjk 	1	113
bunga raya 	2	113
pinang 	1	112
bhd. 	1	112
selangor 	1	112
sdn. bhd. 	2	110
skudai 	1	110
jalan impian 	2	110
bakawali 	1	110
permatang 	1	110
dewan 	1	110
wira jaya 	2	109
jalil 	1	109
church 	1	109
bayan 	1	108
bukit indah 	2	107
ismail 	1	107
lorong desa 	2	106
rahman 	1	106
margosa 	1	105
ciq 	1	104
exit 	1	104
mas 	1	104
jalan industri 	2	104
bulatan 	1	104
klang 	1	103
d 	1	103
silat 	1	103
jalan silat 	2	103
bercham selatan 	2	103
jalan bakawali 	2	102
villa 	1	102
seroja 	1	102
the 	1	102
kenari 	1	101
puchong 	1	101
pari 	1	101
putra permai 	2	101
jalan putra permai 	3	101
jalan haji 	2	101
cina 	1	100
jalan suria 	2	100
padi 	1	100
jalan utama 	2	99
nusa 	1	99
jalan sk 	2	99
mcdonald's 	1	99
garden 	1	99
harmoni 	1	97
tengku 	1	97
halaman 	1	97
link 	1	97
perusahaan 	1	97
dahlia 	1	97
saga 	1	96
pinggiran 	1	96
putih 	1	96
jalan persiaran 	2	96
mahkota 	1	96
kolej 	1	96
hong 	1	96
universiti 	1	95
teluk 	1	95
jalan pasir 	2	95
food 	1	94
laluan klebang 	2	94
pekan 	1	94
ibrahim 	1	94
ilmu 	1	93
molek 	1	93
jalan ara 	2	93
plaza 	1	93
stesen 	1	93
makmur 	1	92
jalan alor 	2	92
bakti 	1	92
abdul rahman 	2	92
jalan tanjung 	2	92
temple 	1	92
jalan wawasan 	2	92
lingkaran 	1	92
meranti 	1	92
gudang 	1	92
kuching 	1	92
jalan saga 	2	92
muda 	1	91
pizza 	1	91
cimb 	1	91
jalan lep 	2	91
lep 	1	91
jalan padi 	2	90
tan 	1	90
silk 	1	90
jalan lembah 	2	90
rapat baru 	2	89
perkasa 	1	89
perintis 	1	89
kapar 	1	89
lorong batu nilam 	3	88
nusa perintis 	2	88
song 	1	87
lorong bunga 	2	87
jalan kenari 	2	86
razak 	1	86
kesihatan 	1	86
kangsar 	1	86
perkuburan islam 	2	86
wisma 	1	85
tinggi 	1	85
condominium 	1	85
enggang 	1	84
saujana 	1	84
pasir gudang 	2	84
lorong datuk 	2	84
rishah 	1	84
setiawangsa 	1	84
lintasan 	1	84
kuala selangor 	2	84
perajurit 	1	84
tiga 	1	83
pegoh 	1	83
jalan nuri 	2	83
tok 	1	82
agama 	1	82
mutiara emas 	2	82
e 	1	82
jalan pengkalan 	2	82
jalan mutiara emas 	3	82
jalan puteri 	2	82
dagang 	1	81
persiaran wira 	2	81
hijau 	1	81
jalan makmur 	2	81
pengkalan barat 	2	81
kiara 	1	81
nibong 	1	81
restu 	1	81
tembaga 	1	80
klebang restu 	2	80
muhibbah 	1	80
persiaran wira jaya 	3	80
pos 	1	80
gemilang 	1	80
wan 	1	79
jalan tpp 	2	79
orkid 	1	79
dalam 	1	79
jalan medan 	2	79
tpp 	1	79
matang jaya 	2	79
parit 	1	79
taman sutera 	2	79
prima 	1	78
nasi 	1	78
jalan permatang 	2	78
angsa 	1	78
setar 	1	78
jalan tunku 	2	78
kuala kangsar 	2	77
palma 	1	77
college 	1	77
kajang 	1	77
jalan raya 	2	77
toa 	1	76
toa payoh 	2	76
payoh 	1	76
damansara 	1	76
market 	1	76
jalan merak 	2	76
rokam 	1	75
to jalan 	2	75
nangka 	1	75
dua 	1	75
jalan kempas 	2	75
kompleks 	1	75
pulai perdana 	2	75
jalan bukit indah 	3	75
chemor 	1	75
sari 	1	75
kee 	1	74
duta 	1	74
kedah 	1	74
regat 	1	74
aranda 	1	74
anggerik aranda 	2	74
lorong song 	2	74
jalan pinggiran 	2	73
klinik kesihatan 	2	73
ayer 	1	73
leong 	1	73
sentul 	1	73
idaman 	1	72
desa ilmu 	2	72
taman meru 	2	72
putri 	1	72
kubur 	1	72
gangsa 	1	72
alor setar 	2	72
jalan gunung 	2	72
bendahara 	1	72
lorong merak 	2	72
jalan meranti 	2	72
ikan 	1	71
limbang 	1	71
kelang 	1	71
ah 	1	71
chinese 	1	71
hilir 	1	71
jalan datuk 	2	71
lorong desa ilmu 	3	70
jalan jaya 	2	70
jalan permai 	2	70
lorong bandar 	2	70
ciku 	1	70
dan 	1	70
jalan anggerik aranda 	3	70
jalan gangsa 	2	70
jalan pulai perdana 	3	70
pulau angsa 	2	69
kp 	1	69
jalan nusa 	2	69
perindustrian bukit 	2	69
perindustrian bukit minyak 	3	69
denai 	1	69
