triq 	1	5584
san 	1	611
ta 	1	449
triq san 	2	347
sqaq 	1	237
dun 	1	202
santa 	1	183
triq ta 	2	139
triq dun 	2	135
sant 	1	117
triq santa 	2	112
pjazza 	1	86
wied 	1	84
marija 	1	73
pawl 	1	73
trejqet 	1	71
misrah 	1	71
il-kbira 	1	67
santa marija 	2	66
triq il-kbira 	2	66
vjal 	1	64
triq sant 	2	64
mikiel 	1	62
san pawl 	2	61
de 	1	56
triq wied 	2	54
sir 	1	52
g 	1	50
caruana 	1	50
knisja 	1	48
patri 	1	47
it-torri 	1	47
misraħ 	1	46
zammit 	1	45
borg 	1	44
gorg 	1	44
triq sir 	2	43
st. 	1	43
pietru 	1	42
anton 	1	41
santu 	1	40
karm 	1	40
il-knisja 	1	38
ġwann 	1	38
tumas 	1	38
bar 	1	37
camilleri 	1	37
il 	1	37
guzepp 	1	36
mifsud 	1	36
triq santa marija 	3	35
a 	1	34
triq it-torri 	2	34
frangisk 	1	34
dawret 	1	33
rokku 	1	33
vella 	1	32
g. 	1	31
triq san pawl 	3	31
dun karm 	2	31
triq il-knisja 	2	30
antonio 	1	30
ġużepp 	1	30
guze 	1	30
cafe 	1	29
ġorġ 	1	29
farrugia 	1	29
galea 	1	29
pawlu 	1	29
ħal 	1	28
il-mitħna 	1	28
triq patri 	2	28
katerina 	1	28
san ġwann 	2	28
luqa 	1	27
il-wied 	1	27
ghajn 	1	27
triq il 	2	27
santa katerina 	2	26
church 	1	26
mons 	1	26
triq il-mitħna 	2	26
triq g 	2	26
franġisk 	1	26
valletta 	1	26
il-madonna 	1	26
hal 	1	25
dingli 	1	25
azzopardi 	1	25
triq dun karm 	3	25
restaurant 	1	25
triq il-wied 	2	24
id-dejqa 	1	24
triq id-dejqa 	2	24
ix-xatt 	1	24
san tumas 	2	24
triq san ġwann 	3	24
triq ħal 	2	23
antnin 	1	23
triq il-madonna 	2	23
muscat 	1	23
santu rokku 	2	23
dwardu 	1	23
ellul 	1	23
station 	1	23
manwel 	1	22
san gorg 	2	22
l-iskola 	1	22
san ġorġ 	2	22
agius 	1	22
police 	1	22
bonnici 	1	22
sqaq ta 	2	22
pace 	1	22
san pietru 	2	22
salvu 	1	22
f 	1	22
xatt 	1	22
gwann 	1	21
attard 	1	21
m 	1	21
maria 	1	21
schembri 	1	21
abela 	1	21
san guzepp 	2	21
san ġużepp 	2	21
bin 	1	21
triq g. 	2	21
nikola 	1	21
andrija 	1	21
piju 	1	20
a. 	1	20
ġużeppi 	1	20
triq santa katerina 	3	20
san mikiel 	2	20
vassalli 	1	20
dahla 	1	20
micallef 	1	20
tal 	1	20
hsbc 	1	19
l-imdina 	1	19
san nikola 	2	19
l-isqof 	1	19
san frangisk 	2	19
triq antonio 	2	19
dimech 	1	19
wistin 	1	19
luigi 	1	19
triq l-iskola 	2	19
pjazza san 	2	19
ghar 	1	19
triq santu 	2	18
il-karmnu 	1	18
triq il-karmnu 	2	18
pharmacy 	1	18
martin 	1	18
buhagiar 	1	18
triq salvu 	2	17
anna 	1	17
cassar 	1	17
filippu 	1	17
john 	1	17
birkirkara 	1	17
mizzi 	1	17
malta 	1	17
triq san ġużepp 	3	17
triq l-imdina 	2	17
triq mons 	2	17
trejqa 	1	17
l-imsida 	1	17
barbara 	1	17
debono 	1	17
madonna 	1	17
tabone 	1	17
preca 	1	16
police station 	2	16
s 	1	16
l-indipendenza 	1	16
mons. 	1	16
grech 	1	16
joseph 	1	16
carmelo 	1	16
st 	1	16
sqaq san 	2	16
gatt 	1	16
mallia 	1	16
qasam 	1	15
s. 	1	15
pisani 	1	15
lapsi 	1	15
triq pawlu 	2	15
parish 	1	15
fenech 	1	15
balzan 	1	15
barrani 	1	15
school 	1	15
vassallo 	1	15
numru 	1	15
u 	1	15
il-belt 	1	15
briffa 	1	14
san gwann 	2	14
il-fortizza 	1	14
triq il-parroċċa 	2	14
anton vassalli 	2	14
triq il-belt 	2	14
l 	1	14
triq l-isqof 	2	14
mikiel anton vassalli 	3	14
triq gorg 	2	14
triq lapsi 	2	14
triq ġużeppi 	2	14
dahlet 	1	14
guzeppi 	1	14
knisja ta 	2	14
margerita 	1	14
giovanni 	1	14
grima 	1	14
chapel 	1	14
psaila 	1	14
il-parroċċa 	1	14
triq san tumas 	3	14
mikiel anton 	2	14
kappella 	1	14
lawrenz 	1	14
v 	1	13
is-salvatur 	1	13
anġlu 	1	13
san franġisk 	2	13
buttigieg 	1	13
mattew 	1	13
san dwardu 	2	13
l-isptar 	1	13
scicluna 	1	13
vincenzo 	1	13
triq san guzepp 	3	13
indri 	1	13
san martin 	2	13
triq il-fortizza 	2	13
civili 	1	13
falzon 	1	13
triq san ġorġ 	3	13
calleja 	1	13
f. 	1	13
ġuże 	1	13
il-kappella 	1	12
dun guzepp 	2	12
anard 	1	12
sciortino 	1	12
il-belt valletta 	2	12
l-antik 	1	12
agata 	1	12
iz-zurrieq 	1	12
triq it-tabib 	2	12
fuq 	1	12
club 	1	12
san anard 	2	12
triq guze 	2	12
spiteri 	1	12
sammut 	1	12
il-mithna 	1	12
triq san mikiel 	3	12
college 	1	12
san lawrenz 	2	12
primary 	1	12
busuttil 	1	12
santu wistin 	2	12
triq san dwardu 	3	12
fra 	1	12
it-tabib 	1	12
cremona 	1	12
magri 	1	12
is-sajjieda 	1	11
palma 	1	11
triq il-belt valletta 	3	11
san filippu 	2	11
vjal l-avjazzjoni civili 	3	11
boffa 	1	11
triq is-salvatur 	2	11
vjal l-avjazzjoni 	2	11
santa margerita 	2	11
xerri 	1	11
il-vitorja 	1	11
l-avjazzjoni civili 	2	11
giuseppe 	1	11
l-qadima 	1	11
triq san gorg 	3	11
il-qasab 	1	11
triq hal 	2	11
dahla ta 	2	11
l-avjazzjoni 	1	11
leonardu 	1	10
pub 	1	10
il-gudja 	1	10
triq il-mithna 	2	10
triq il-mosta 	2	10
gdida 	1	10
bugeja 	1	10
p 	1	10
san ġakbu 	2	10
sciberras 	1	10
il-mosta 	1	10
il-barrieri 	1	10
saliba 	1	10
tal-providenza 	1	10
parish church 	2	10
william 	1	10
zarb 	1	10
vincenz 	1	10
triq mons. 	2	10
triq san franġisk 	3	10
tal-karmnu 	1	10
il-kappillan 	1	10
il-kunsill 	1	10
ħamet 	1	10
triq tumas 	2	10
ġakbu 	1	10
papa 	1	10
mercer 	1	10
triq san frangisk 	3	10
nikol 	1	10
dicembru 	1	10
triq il-vitorja 	2	10
cachia 	1	10
xuereb 	1	10
settembru 	1	10
tal-balal 	1	10
lorenzo 	1	10
mithna 	1	10
triq ix-xatt 	2	10
knisja parrokkjali 	2	10
is-salib 	1	10
