street 	1	867
pagoda 	1	506
road 	1	477
st 	1	390
expressway 	1	379
yangoon-mandalay expressway 	2	379
yangoon-mandalay 	1	379
monastery 	1	329
shwe 	1	154
rd 	1	137
no 	1	129
bank 	1	127
st. 	1	115
of 	1	105
school 	1	100
aung 	1	94
hospital 	1	81
restaurant 	1	76
station 	1	76
gyi 	1	69
taw 	1	68
thar 	1	67
market 	1	66
ministry 	1	63
lane 	1	63
taung 	1	63
u 	1	63
ministry of 	2	61
education 	1	60
min 	1	55
basic 	1	55
basic education 	2	53
tha 	1	46
thu 	1	46
b.e.p.s 	1	45
high 	1	43
mya 	1	43
bo 	1	43
san 	1	42
paya 	1	41
kan 	1	40
high school 	2	39
b.e.h.s 	1	39
university 	1	39
police 	1	38
ln 	1	38
kbz 	1	37
myanmar 	1	37
kyaung 	1	36
thiri 	1	35
pyi 	1	34
ma 	1	33
education high 	2	33
education high school 	3	33
basic education high 	3	32
yan 	1	32
basic education high school 	4	32
cafe 	1	32
police station 	2	31
no. 	1	30
and 	1	29
daw 	1	29
mingalar 	1	29
aye 	1	28
the 	1	28
hinthada 	1	28
chan 	1	27
office 	1	27
pin 	1	26
nyaung 	1	26
kbz bank 	2	25
pan 	1	25
shop 	1	25
bagan 	1	24
yangon 	1	24
naung 	1	24
kha 	1	24
church 	1	23
yar 	1	23
thit 	1	23
temple 	1	23
bridge 	1	23
ye 	1	23
tar 	1	23
yadana 	1	23
pyay 	1	23
myo 	1	23
phaya 	1	23
golden 	1	22
kyaw 	1	22
mon 	1	22
bar 	1	22
atm 	1	21
nat 	1	21
primary 	1	21
embassy 	1	21
maha 	1	21
yeik 	1	21
jalan 	1	21
sein 	1	21
primary school 	2	20
myat 	1	20
agd 	1	20
house 	1	20
oo 	1	20
su 	1	19
si 	1	19
township 	1	19
circular 	1	19
yarza 	1	19
center 	1	19
zay 	1	19
fire 	1	18
agd bank 	2	18
yangon-pathein 	1	18
international 	1	18
cb 	1	18
food 	1	18
ann 	1	18
thein 	1	18
yone 	1	18
jalan kempas baru 	3	17
kempas baru 	2	17
bayint 	1	17
b.e.m.s 	1	17
shin 	1	17
bus 	1	17
baru 	1	17
kempas 	1	17
department 	1	17
bayint naung 	2	17
jalan kempas 	2	17
hall 	1	17
garden 	1	17
housing 	1	17
win 	1	17
circular road 	2	17
fire station 	2	17
ngawin kyuntha 	2	16
yadanar 	1	16
ngawin 	1	16
man 	1	16
kyuntha 	1	16
mandalay 	1	16
la 	1	16
tun 	1	16
pyae 	1	15
padauk 	1	15
mahar 	1	15
ta 	1	15
zedi 	1	15
na 	1	15
maw 	1	15
ni 	1	15
sa 	1	15
gu 	1	15
officer 	1	14
yarza thingaha road 	3	14
to 	1	14
yarza thingaha 	2	14
sin 	1	14
thingaha 	1	14
pathein 	1	14
green 	1	14
moe 	1	14
private 	1	14
cb bank 	2	14
city 	1	14
highway 	1	14
myint 	1	14
war 	1	14
thingaha road 	2	14
khit 	1	13
bypass 	1	13
cherry 	1	13
tan 	1	13
hill 	1	13
htarni 	1	13
university of 	2	13
za 	1	13
myanma 	1	13
middle 	1	13
cinema 	1	13
shwe taung 	2	13
tar st 	2	13
ya 	1	13
shwe pyi 	2	12
bank atm 	2	12
ba 	1	12
gyi street 	2	12
thu kha 	2	12
hlaing 	1	12
behs 	1	12
general 	1	12
yay 	1	12
thazin 	1	12
main 	1	12
hla 	1	12
mu 	1	12
htarni road 	2	12
central 	1	12
mosque 	1	11
myaing 	1	11
thu khit tar st 	4	11
than 	1	11
thu khit 	2	11
myay 	1	11
myoma 	1	11
man aung 	2	11
nan 	1	11
post 	1	11
middle school 	2	11
phyu 	1	11
tea 	1	11
maha thu 	2	11
yae 	1	11
maha thu khit tar 	4	11
khit tar st 	3	11
thiri mon 	2	11
ga 	1	11
bogyoke 	1	11
maha thu khit 	3	11
c 	1	11
b 	1	11
phaung 	1	11
maha thu khit tar st 	5	11
royal 	1	11
khit tar 	2	11
gaw 	1	11
thu khit tar 	3	11
nyaung u 	2	11
economic 	1	11
embassy of 	2	11
kone 	1	10
kyawe 	1	10
ka 	1	10
htun 	1	10
kyar 	1	10
beer 	1	10
sal 	1	10
mon street 	2	10
pagodas 	1	10
kyan 	1	10
new 	1	10
chauk 	1	10
lay 	1	10
nat maw 	2	10
roundabout 	1	10
bypass rd 	2	10
technological 	1	10
thiri mon street 	3	10
dagon 	1	10
yeik thar 	2	10
hnin 	1	10
kyauk 	1	10
development 	1	10
bus station 	2	10
tea shop 	2	10
gyi st 	2	9
heavy-duty 	1	9
gone 	1	9
su taung 	2	9
tharkayta 	1	9
hiway 	1	9
kyaukpadaung road 	2	9
lar 	1	9
heavy-duty vehicle 	2	9
yoe 	1	9
main road 	2	9
education middle school 	3	9
th 	1	9
saw 	1	9
gant 	1	9
kyawe sal 	2	9
yan aung 	2	9
