phrase	length	count
куро 	1	542
проспект 	1	34
покшки 	1	32
иень проспект 	2	27
иень 	1	27
октябрянь 	1	27
школа 	1	26
советской 	1	24
александр невскоень куро 	3	20
советской куро 	2	20
александр 	1	20
невскоень куро 	2	20
александр невскоень 	2	20
невскоень 	1	20
серовонь 	1	19
серовонь куро 	2	19
косаревень 	1	16
косаревень куро 	2	16
лямбирень покшки 	2	15
куроуло 	1	15
лямбирень 	1	15
пролетарской куро 	2	14
севастополень куро 	2	14
севастополень 	1	14
пролетарской 	1	14
коммунистической 	1	13
коммунистической куро 	2	13
ботевградской куро 	2	13
титовонь куро 	2	13
ботевградской 	1	13
титовонь 	1	13
якшамоенксонь-чилисемань 	1	12
полежаевень куро 	2	12
полежаевень 	1	12
гагаринэнь куро 	2	12
гагаринэнь 	1	12
якшамоенксонь-чилисемань покшки 	2	12
якстере 	1	11
васенконь куро 	2	10
васенконь 	1	10
волгоградонь 	1	9
рабочей куро 	2	9
волгоградонь куро 	2	9
большевистской куро 	2	9
рабочей 	1	9
большевистской 	1	9
якстере куро 	2	8
ленинэнь проспект 	2	7
садонь 	1	7
ленинэнь 	1	7
садонь куро 	2	7
инсаронь 	1	6
инсаронь куро 	2	6
изнямонь куро 	2	5
марина расковань 	2	5
расковань 	1	5
богдан хмельницкоень куро 	3	5
изнямонь 	1	5
расковань куро 	2	5
хмельницкоень куро 	2	5
коваленконь 	1	5
марина расковань куро 	3	5
поповонь куро 	2	5
поповонь 	1	5
богдан хмельницкоень 	2	5
строительной 	1	5
хмельницкоень 	1	5
марина 	1	5
александровской 	1	5
коваленконь куро 	2	5
александровской покшки 	2	5
строительной куро 	2	5
богдан 	1	5
