phrase	length	count
vei 	1	5765
gate 	1	5257
veg 	1	2493
gamle 	1	1494
skole 	1	1360
øvre 	1	1022
nedre 	1	996
barnehage 	1	849
kirke 	1	828
nordre 	1	464
terrasse 	1	464
vestre 	1	409
østre 	1	407
storgata 	1	328
og 	1	310
søndre 	1	282
kongevei 	1	258
gamle kongevei 	2	257
ole 	1	252
i 	1	252
statoil 	1	250
olav 	1	246
kirkeveien 	1	242
shell 	1	240
plass 	1	237
kyrkje 	1	232
hans 	1	229
st. 	1	223
videregående 	1	222
as 	1	221
gamleveien 	1	214
videregående skole 	2	209
strandveien 	1	206
mosseveien 	1	205
johan 	1	204
bru 	1	204
gosenveien 	1	200
allé 	1	196
yx 	1	195
alle 	1	194
ungdomsskole 	1	190
trondheimsveien 	1	189
skule 	1	185
pizza 	1	178
fjellveien 	1	177
søre 	1	172
osloveien 	1	166
vestsidevegen 	1	158
esso 	1	158
ringveien 	1	156
kong 	1	152
apotek 	1	150
skjergardsvegen 	1	142
industriveien 	1	123
lpg 	1	123
åsvegen 	1	123
stasjonsveien 	1	122
drammensveien 	1	122
uno-x 	1	122
parkveien 	1	118
skogveien 	1	118
hansens 	1	118
gamlevegen 	1	117
skoleveien 	1	117
fjellvegen 	1	114
ringvei 	1	114
åsveien 	1	113
industrivegen 	1	113
sparebank 	1	113
arne 	1	113
midtre 	1	112
sotraveien 	1	112
henrik 	1	111
barneskole 	1	110
engerdalsveien 	1	108
parkering 	1	108
lille 	1	108
prost 	1	107
sjøliveien 	1	107
ringvegen 	1	107
cafe 	1	107
olavs 	1	106
restaurant 	1	105
javnlie 	1	105
dr. 	1	104
strandgata 	1	104
jærvegen 	1	103
utsikten 	1	103
kirkegata 	1	103
skolegata 	1	102
senter 	1	102
rådhus 	1	100
idrettsveien 	1	100
hovedvei 	1	100
sørlandske 	1	99
kapell 	1	98
bar 	1	98
butikk 	1	98
ytre 	1	98
post 	1	98
foldnesvegen 	1	98
jernbanegata 	1	97
ringeriksveien 	1	97
sarpsborgveien 	1	97
peder 	1	96
i butikk 	2	96
kongsvegen 	1	95
unsetveien 	1	94
indre 	1	93
christian 	1	92
amundsens 	1	92
