phrase	length	count
school 	1	2030
marga 	1	880
marg 	1	774
secondary 	1	737
secondary school 	2	675
shree 	1	407
temple 	1	370
mandir 	1	365
english 	1	357
academy 	1	339
higher 	1	315
higher secondary 	2	301
higher secondary school 	3	288
boarding 	1	268
primary 	1	262
hospital 	1	253
college 	1	249
primary school 	2	242
महेन्द्र 	1	239
राज्मार्ग् 	1	238
महेन्द्र राज्मार्ग् 	2	238
international 	1	228
boarding school 	2	224
nepal 	1	217
house 	1	205
restaurant 	1	184
galli 	1	173
bahadur 	1	156
ganesh 	1	153
cafe 	1	145
english school 	2	145
post 	1	137
sadak 	1	132
rai 	1	132
health 	1	127
police 	1	125
station 	1	125
office 	1	123
center 	1	122
high 	1	117
high school 	2	109
clinic 	1	106
english boarding 	2	106
krishna 	1	97
bal 	1	97
hall 	1	96
english boarding school 	3	94
new 	1	94
campus 	1	91
public 	1	91
pharmacy 	1	91
dental 	1	87
health post 	2	86
medical 	1	84
shiva 	1	78
ghar 	1	76
stupa 	1	75
district 	1	73
hotel 	1	73
devi 	1	72
kumari 	1	70
मार्ग 	1	69
raj 	1	67
home 	1	66
ram 	1	66
montessori 	1	65
jyoti 	1	64
sadan 	1	64
narayan 	1	63
चक्रपथ 	1	63
kathmandu 	1	62
english secondary 	2	61
bahadur rai 	2	60
pump 	1	59
international school 	2	58
english secondary school 	3	58
petrol 	1	58
rajmarg 	1	56
gompa 	1	56
national 	1	56
khaja 	1	55
petrol pump 	2	54
m. 	1	54
hostel 	1	53
khaja ghar 	2	53
food 	1	53
raj marga 	2	53
buddha 	1	52
care 	1	52
police station 	2	51
residential 	1	51
bus 	1	51
mahadev 	1	50
memorial 	1	49
chowk 	1	49
arniko 	1	49
arniko raj marga 	3	48
arniko raj 	2	48
community 	1	48
binayak 	1	47
rajmarga 	1	46
राजमार्ग 	1	45
himalayan 	1	45
international college 	2	45
secondary boarding school 	3	43
club 	1	43
multiple 	1	43
secondary boarding 	2	43
friendship 	1	42
shop 	1	42
medical hall 	2	41
finance 	1	41
om 	1	41
vidya 	1	40
star 	1	40
public school 	2	40
jana 	1	40
everest 	1	39
water 	1	39
kalika 	1	38
niwas 	1	38
polyclinic 	1	38
shanti 	1	38
tole 	1	38
ltd 	1	37
party 	1	37
niketan 	1	37
friendship hostel 	2	37
store 	1	37
saraswati 	1	37
karnali 	1	36
model 	1	36
shrestha 	1	36
ganesh temple 	2	36
building 	1	36
bar 	1	36
church 	1	35
majhi 	1	35
kitchen 	1	35
karnali rajmarg 	2	34
ratna 	1	34
saraswoti 	1	34
radio 	1	34
education 	1	34
kids 	1	33
kendra 	1	32
durga 	1	32
ganga 	1	32
international academy 	2	31
मेची राजमार्ग 	2	31
boarding high 	2	31
palace 	1	31
मेची 	1	31
ganesh mandir 	2	31
boarding high school 	3	31
fast food 	2	31
world 	1	31
fast 	1	31
multiple campus 	2	30
pashupati 	1	30
library 	1	30
pre-school 	1	30
pharma 	1	30
chandra 	1	30
nagar 	1	28
krishna mandir 	2	28
bus station 	2	28
laxmi 	1	28
gyan 	1	28
bhagwati 	1	28
siddhartha 	1	27
bhimsen 	1	27
momo 	1	27
money 	1	27
madi-thori 	1	27
prasad 	1	27
radha 	1	27
block 	1	27
adarsha 	1	26
shiva mandir 	2	26
kumal 	1	26
balkumari 	1	26
party palace 	2	26
oil 	1	26
mahendra 	1	25
koshi 	1	25
pasal 	1	25
cinema 	1	25
bakery 	1	25
nava 	1	25
thapa 	1	25
sai 	1	25
sikshya 	1	25
kumar 	1	25
rastriya 	1	25
monastery 	1	24
mount 	1	24
hanuman 	1	24
ltd. 	1	24
bikash 	1	24
newari 	1	24
gumba 	1	24
vi 	1	24
city 	1	24
sub 	1	24
guest house 	2	23
foundation 	1	23
paradise 	1	23
manakamana 	1	23
eye 	1	23
guest 	1	23
dental clinic 	2	23
ward 	1	22
shiva temple 	2	22
dhara 	1	22
tea 	1	22
janakpur 	1	22
mhp 	1	22
parking 	1	22
post office 	2	22
araniko 	1	21
bhairab 	1	21
pragati 	1	21
complex 	1	21
sagarmatha 	1	21
kindergarten 	1	21
nagar marga 	2	21
co-operative 	1	21
drinking 	1	21
surya 	1	21
drinking water 	2	21
koshi rajmarga 	2	21
bhawan 	1	21
bihar 	1	21
bazaar 	1	20
children 	1	20
gorusinge-sandhikharka 	1	20
chitwan 	1	20
engineering 	1	20
gorusinge-sandhikharka rajmarga 	2	20
cinema hall 	2	20
sahid 	1	20
devkota 	1	20
maya 	1	20
sewa 	1	20
