de 	1	53295
van 	1	42461
oude 	1	8721
burgemeester 	1	8345
jan 	1	6201
het 	1	5692
sint 	1	4764
der 	1	4559
t 	1	4240
nieuwe 	1	4137
van der 	2	3947
willem 	1	3746
prins 	1	3735
laan 	1	3470
den 	1	3309
kerkstraat 	1	3303
rijksweg 	1	3279
grote 	1	3160
weg 	1	2931
pastoor 	1	2906
doctor 	1	2799
dorpsstraat 	1	2794
steenweg 	1	2589
provincialeweg 	1	2551
molenstraat 	1	2450
lange 	1	2386
prinses 	1	2333
laan van 	2	2229
koningin 	1	2114
kleine 	1	2098
schoolstraat 	1	1983
pieter 	1	1856
stationsstraat 	1	1822
baan 	1	1812
molenweg 	1	1804
hoge 	1	1779
noord 	1	1733
jan van 	2	1728
hoofdstraat 	1	1643
korte 	1	1640
albert 	1	1640
meester 	1	1626
jacob 	1	1626
graaf 	1	1611
op 	1	1589
burgemeester van 	2	1578
ter 	1	1564
markt 	1	1519
parallelweg 	1	1495
nieuwstraat 	1	1483
dokter 	1	1482
frans 	1	1461
en 	1	1436
zuid 	1	1417
van de 	2	1385
hoofdweg 	1	1381
oost 	1	1369
hof 	1	1369
johan 	1	1344
industrieweg 	1	1341
professor 	1	1317
van den 	2	1262
julianastraat 	1	1261
dreef 	1	1212
karel 	1	1207
wethouder 	1	1197
sportlaan 	1	1176
stationsweg 	1	1153
west 	1	1153
rabobank 	1	1139
hendrik 	1	1133
verlengde 	1	1085
randweg 	1	1072
rondweg 	1	1061
groene 	1	1050
wilhelminastraat 	1	1047
koning 	1	1038
cornelis 	1	1033
monseigneur 	1	1022
europalaan 	1	1014
lage 	1	1005
stationsplein 	1	998
kerkweg 	1	987
rijksstraatweg 	1	984
hoogstraat 	1	980
ten 	1	945
kruisweg 	1	920
dijk 	1	903
kruisstraat 	1	895
bernhardstraat 	1	885
klein 	1	861
europaweg 	1	858
julianalaan 	1	853
kerk 	1	852
beukenlaan 	1	851
j. 	1	844
kennedylaan 	1	834
kloosterstraat 	1	825
singel 	1	815
park 	1	801
parklaan 	1	796
naar 	1	786
beatrixstraat 	1	782
kastanjelaan 	1	782
kanaalweg 	1	780
witte 	1	780
louis 	1	779
broekstraat 	1	776
anna 	1	768
eikenlaan 	1	767
wilhelminalaan 	1	765
bosstraat 	1	762
middenweg 	1	759
pater 	1	758
dominee 	1	751
willem de 	2	750
veldstraat 	1	747
generaal 	1	746
la 	1	736
henri 	1	736
achter 	1	731
kanaaldijk 	1	728
piet 	1	724
hogeweg 	1	715
steenstraat 	1	710
restaurant 	1	709
it 	1	705
bernhardlaan 	1	704
zandstraat 	1	695
zeedijk 	1	691
in 	1	684
brugstraat 	1	683
kapelstraat 	1	682
nieuweweg 	1	678
johannes 	1	677
groenstraat 	1	676
café 	1	675
paul 	1	672
bosweg 	1	669
aan 	1	665
gerard 	1	659
langeweg 	1	654
ringlaan 	1	653
steenweg op 	2	649
jozef 	1	649
berkenlaan 	1	647
beatrixlaan 	1	639
bergstraat 	1	631
oud 	1	629
baron 	1	626
raadhuisstraat 	1	625
postweg 	1	623
margrietstraat 	1	622
hendrikstraat 	1	616
emmastraat 	1	615
maria 	1	611
boulevard 	1	611
jacob van 	2	606
lindenlaan 	1	599
dorpstraat 	1	597
president 	1	597
rode 	1	593
ring 	1	592
kerkplein 	1	582
groeneweg 	1	581
havenstraat 	1	578
a 	1	574
beekstraat 	1	573
irenestraat 	1	572
tweede 	1	570
john 	1	570
plein 	1	569
eerste 	1	569
rozenstraat 	1	556
basisschool 	1	555
guido 	1	555
a. 	1	555
prins bernhardstraat 	2	555
molendijk 	1	554
j 	1	553
haven 	1	551
weg naar 	2	550
hugo 	1	548
spoorstraat 	1	545
leopold 	1	540
rembrandtlaan 	1	538
pastoor van 	2	537
provinciale 	1	532
apotheek 	1	530
hertog 	1	530
oranjestraat 	1	529
hof van 	2	528
h. 	1	524
willem van 	2	520
prins bernhardlaan 	2	515
nicolaas 	1	514
herenweg 	1	514
brusselsesteenweg 	1	509
dr. 	1	506
heide 	1	506
veldweg 	1	505
beethovenlaan 	1	498
langestraat 	1	498
nassaulaan 	1	496
kasteelstraat 	1	493
brink 	1	493
achterweg 	1	491
mechelsesteenweg 	1	490
kerklaan 	1	490
antwerpsesteenweg 	1	490
groot 	1	487
boslaan 	1	487
st. 	1	486
frederik 	1	483
blauwe 	1	478
oranjelaan 	1	477
torenstraat 	1	477
straat 	1	475
simon 	1	473
achter de 	2	471
dijkstraat 	1	471
veerweg 	1	469
grotestraat 	1	465
herman 	1	463
boudewijnlaan 	1	461
op de 	2	460
dirk 	1	456
paulus 	1	455
maasdijk 	1	455
nijverheidsweg 	1	452
da 	1	450
f. 	1	449
westelijke 	1	446
nassaustraat 	1	445
college 	1	444
cafe 	1	441
voorstraat 	1	440
nachtegaalstraat 	1	439
maasstraat 	1	436
provinciale weg 	2	432
rijnstraat 	1	431
aan de 	2	429
vincent 	1	429
leuvensesteenweg 	1	426
acacialaan 	1	426
westzijde 	1	426
lindestraat 	1	424
leeuwerikstraat 	1	423
nieuw 	1	420
tiendweg 	1	419
leliestraat 	1	419
dorp 	1	419
meidoornstraat 	1	419
schans 	1	418
robert 	1	417
deken 	1	414
akker 	1	414
esdoornlaan 	1	409
hofstraat 	1	409
deventerweg 	1	405
kanaalstraat 	1	404
kasteel 	1	403
vincent van 	2	402
oude rijksweg 	2	402
burgemeester de 	2	402
waterstraat 	1	402
