jana 	1	12239
aleja 	1	10828
kościół 	1	9262
w 	1	9059
józefa 	1	8090
nr 	1	7694
stanisława 	1	6452
pw. 	1	6275
generała 	1	6161
władysława 	1	6022
i 	1	5460
plac 	1	5230
leśna 	1	4862
kościół pw. 	2	4853
szkoła 	1	4697
tadeusza 	1	4637
osiedle 	1	4602
polna 	1	4486
stefana 	1	4379
świętego 	1	4362
im. 	1	4138
pawła 	1	3918
podstawowa 	1	3901
szkoła podstawowa 	2	3876
maja 	1	3791
św. 	1	3631
ii 	1	3627
księdza 	1	3522
szkolna 	1	3488
henryka 	1	3471
kościuszki 	1	3333
adama 	1	3280
słoneczna 	1	3280
tadeusza kościuszki 	2	3238
jana pawła 	2	3131
pawła ii 	2	3084
polskiego 	1	3082
jana pawła ii 	3	3079
ogrodowa 	1	2988
dojazd 	1	2961
pożarowy 	1	2902
dojazd pożarowy 	2	2867
bolesława 	1	2808
zespół 	1	2787
wojska 	1	2763
wojska polskiego 	2	2759
przedszkole 	1	2758
ulica 	1	2710
mikołaja 	1	2678
rondo 	1	2670
marii 	1	2642
bank 	1	2638
ignacego 	1	2593
piłsudskiego 	1	2575
kolejowa 	1	2504
rynek 	1	2504
józefa piłsudskiego 	2	2497
kazimierza 	1	2461
szkół 	1	2459
lipowa 	1	2458
mickiewicza 	1	2447
adama mickiewicza 	2	2379
wolności 	1	2379
krótka 	1	2369
zespół szkół 	2	2351
armii 	1	2351
kościelna 	1	2234
warszawska 	1	2112
powstańców 	1	2066
urząd 	1	2054
autostrada 	1	2042
łąkowa 	1	2015
podstawowa nr 	2	1997
parkowa 	1	1990
szkoła podstawowa nr 	3	1990
wiejska 	1	1973
krajowej 	1	1959
osp 	1	1946
zielona 	1	1945
armii krajowej 	2	1938
dworcowa 	1	1933
juliusza 	1	1909
brzozowa 	1	1899
gimnazjum 	1	1888
bankomat 	1	1881
kaplica 	1	1870
karola 	1	1863
straż 	1	1846
kwiatowa 	1	1836
sportowa 	1	1812
sienkiewicza 	1	1771
apteka 	1	1770
pożarna 	1	1767
straż pożarna 	2	1754
długa 	1	1749
pod 	1	1737
henryka sienkiewicza 	2	1737
sosnowa 	1	1701
ochotnicza 	1	1676
generała władysława 	2	1668
ochotnicza straż 	2	1668
ochotnicza straż pożarna 	3	1661
poznańska 	1	1655
droga 	1	1646
na 	1	1637
słowackiego 	1	1630
spacerowa 	1	1593
juliusza słowackiego 	2	1581
wincentego 	1	1577
krakowska 	1	1575
akacjowa 	1	1566
franciszka 	1	1565
piotra 	1	1541
marszałka 	1	1538
dębowa 	1	1533
matki 	1	1517
główna 	1	1508
