rua 	1	695265
de 	1	142284
avenida 	1	112861
da 	1	72067
do 	1	59305
josé 	1	40221
travessa 	1	29610
dos 	1	29016
joão 	1	28888
rua josé 	2	22083
são 	1	22004
estrada 	1	21710
rodovia 	1	21388
antônio 	1	21377
das 	1	20358
silva 	1	18304
doutor 	1	18019
rua do 	2	17329
rua da 	2	17046
rua joão 	2	15732
francisco 	1	15149
maria 	1	13864
e 	1	13135
pedro 	1	12983
da silva 	2	12733
rua doutor 	2	12619
rua antônio 	2	11406
santos 	1	11361
rua são 	2	11284
oliveira 	1	11266
rua das 	2	11083
rua dos 	2	10768
santa 	1	10128
alameda 	1	9653
rio 	1	9382
pereira 	1	9328
escola 	1	9313
manoel 	1	9191
praça 	1	8877
de oliveira 	2	8687
carlos 	1	8501
souza 	1	8491
alves 	1	8406
costa 	1	8272
ferreira 	1	8119
luiz 	1	7874
joaquim 	1	7718
rua francisco 	2	7298
professor 	1	7291
padre 	1	7251
municipal 	1	7146
paulo 	1	7039
dos santos 	2	6976
rua maria 	2	6949
rua de 	2	6875
igreja 	1	6733
de souza 	2	6703
a 	1	6683
dom 	1	6608
rodrigues 	1	6532
ribeiro 	1	6253
gomes 	1	5975
lima 	1	5968
santo 	1	5832
rua manoel 	2	5773
rua pedro 	2	5723
presidente 	1	5584
senhora 	1	5564
rua padre 	2	5443
coronel 	1	5431
carvalho 	1	5321
nossa 	1	5267
almeida 	1	5257
rua professor 	2	5253
rua santa 	2	5233
brasil 	1	5134
nossa senhora 	2	5101
dias 	1	4979
martins 	1	4977
filho 	1	4876
rua joaquim 	2	4748
governador 	1	4656
barbosa 	1	4642
mário 	1	4593
rua rio 	2	4577
vieira 	1	4319
machado 	1	4290
sebastião 	1	4265
posto 	1	4250
gonçalves 	1	4202
miguel 	1	4179
rua coronel 	2	4070
acesso 	1	4008
augusto 	1	3989
lopes 	1	3987
nova 	1	3986
branco 	1	3970
cruz 	1	3939
batista 	1	3920
castro 	1	3915
pinto 	1	3912
vicente 	1	3881
marechal 	1	3879
beco 	1	3857
de são 	2	3813
de almeida 	2	3811
da costa 	2	3811
rosa 	1	3752
campos 	1	3700
rua luiz 	2	3583
rua carlos 	2	3562
b 	1	3557
largo 	1	3553
soares 	1	3510
jorge 	1	3496
via 	1	3476
rua dom 	2	3425
centro 	1	3400
vereador 	1	3396
engenheiro 	1	3381
sul 	1	3376
barros 	1	3354
fernandes 	1	3343
antónio 	1	3336
general 	1	3326
rocha 	1	3324
domingos 	1	3298
dona 	1	3284
caminho 	1	3232
cunha 	1	3223
manuel 	1	3169
avenida doutor 	2	3151
conjunto 	1	3145
c 	1	3121
r. 	1	3103
henrique 	1	3099
teixeira 	1	3071
andrade 	1	3065
melo 	1	3056
de carvalho 	2	3041
maio 	1	3031
estrada do 	2	3022
afonso 	1	2998
luís 	1	2993
porto 	1	2973
de maio 	2	2972
moreira 	1	2954
vargas 	1	2936
alberto 	1	2919
d 	1	2917
josé de 	2	2896
benedito 	1	2808
neves 	1	2807
rodovia governador 	2	2773
ramos 	1	2698
alfredo 	1	2682
araújo 	1	2621
jesus 	1	2619
professora 	1	2617
fernando 	1	2614
freitas 	1	2565
restaurante 	1	2553
marques 	1	2528
grande 	1	2522
rua vereador 	2	2521
banco 	1	2514
vila 	1	2511
estrada da 	2	2502
geraldo 	1	2500
castelo 	1	2492
norte 	1	2488
capitão 	1	2478
sete 	1	2477
mendes 	1	2464
escola municipal 	2	2460
setembro 	1	2452
de setembro 	2	2443
monteiro 	1	2442
um 	1	2438
vinte 	1	2430
barão 	1	2424
cardoso 	1	2424
bento 	1	2421
servidão 	1	2420
prefeito 	1	2403
silveira 	1	2397
i 	1	2395
dois 	1	2374
o 	1	2367
avenida josé 	2	2362
café 	1	2355
bar 	1	2346
avenida presidente 	2	2340
guimarães 	1	2334
coelho 	1	2323
de lima 	2	2319
nunes 	1	2316
monte 	1	2310
de barros 	2	2307
borges 	1	2287
travessa da 	2	2284
ponte 	1	2275
de castro 	2	2268
travessa do 	2	2264
leite 	1	2260
rua general 	2	2255
pinheiro 	1	2246
rua dona 	2	2246
são joão 	2	2238
júlio 	1	2232
assis 	1	2230
casa 	1	2221
rua sebastião 	2	2209
do sul 	2	2200
para 	1	2193
eduardo 	1	2181
neto 	1	2178
avenida joão 	2	2170
peixoto 	1	2164
hospital 	1	2161
roberto 	1	2134
paula 	1	2130
rua paulo 	2	2117
rua a 	2	2116
reis 	1	2113
rua marechal 	2	2110
antonio 	1	2107
parque 	1	2107
covas 	1	2095
da cunha 	2	2090
saúde 	1	2085
rua santo 	2	2084
três 	1	2067
moraes 	1	2065
marginal 	1	2059
