phrase	length	count
strada 	1	56562
bl. 	1	5438
biserica 	1	4004
str. 	1	3370
aleea 	1	3330
bulevardul 	1	3270
bloc 	1	3069
de 	1	2541
calea 	1	1564
ул. 	1	1527
nicolae 	1	1457
șoseaua 	1	1409
ion 	1	1281
intrarea 	1	1214
gheorghe 	1	1124
școala 	1	1112
mihai 	1	1097
piața 	1	1036
parcare 	1	944
nr. 	1	869
alexandru 	1	862
strada nicolae 	2	834
strada ion 	2	792
vasile 	1	786
cel 	1	768
ștefan 	1	766
mare 	1	757
bank 	1	753
strada mihai 	2	721
biserică 	1	711
constantin 	1	689
strada gheorghe 	2	681
decembrie 	1	613
a 	1	608
vodă 	1	600
drumul 	1	594
unirii 	1	593
ortodoxă 	1	577
ioan 	1	576
sfântul 	1	558
george 	1	555
strada alexandru 	2	553
sc.a 	1	550
mănăstirea 	1	547
sc.b 	1	546
valea 	1	530
cel mare 	2	525
traian 	1	523
tudor 	1	516
banca 	1	502
generală 	1	500
și 	1	498
eminescu 	1	497
restaurant 	1	489
farmacia 	1	486
strada ștefan 	2	483
liceul 	1	480
la 	1	480
ștefan cel mare 	3	479
ștefan cel 	2	479
școala generală 	2	474
strada vasile 	2	474
grădinița 	1	470
gării 	1	464
mihail 	1	460
mihai eminescu 	2	459
biserica ortodoxă 	2	451
transilvania 	1	443
republicii 	1	443
casa 	1	440
doctor 	1	439
vladimirescu 	1	429
strada george 	2	424
cuza 	1	422
general 	1	420
mai 	1	418
tudor vladimirescu 	2	417
bucurești 	1	416
iancu 	1	403
bălcescu 	1	397
b 	1	393
strada constantin 	2	391
petrom 	1	386
aurel 	1	372
strada tudor 	2	369
libertății 	1	369
nicolae bălcescu 	2	369
spitalul 	1	367
centura 	1	364
brd 	1	356
strada doctor 	2	355
strada mihai eminescu 	3	355
independenței 	1	351
пер. 	1	345
strada gării 	2	345
strada valea 	2	343
petru 	1	342
strada general 	2	339
colegiul 	1	333
viilor 	1	328
sf. 	1	324
fundătura 	1	324
primăria 	1	323
victoriei 	1	321
strada ștefan cel mare 	4	320
strada ștefan cel 	3	320
vlaicu 	1	319
autostrada 	1	319
lukoil 	1	316
strada tudor vladimirescu 	3	313
avram 	1	312
strada mihail 	2	311
cu 	1	310
strada traian 	2	302
aurel vlaicu 	2	301
dimitrie 	1	299
avram iancu 	2	298
drum 	1	298
decebal 	1	290
strada nicolae bălcescu 	3	289
viteazul 	1	285
bcr 	1	284
tineretului 	1	284
florilor 	1	283
banca transilvania 	2	282
rompetrol 	1	281
garaj 	1	276
eroilor 	1	272
i 	1	271
strada avram 	2	269
mihai viteazul 	2	268
strada unirii 	2	265
soarelui 	1	265
strada libertății 	2	264
strada avram iancu 	3	261
grigore 	1	257
principală 	1	257
strada principală 	2	254
raiffeisen 	1	253
trandafirilor 	1	253
generală nr. 	2	250
alecsandri 	1	246
școala generală nr. 	3	246
creangă 	1	243
c 	1	242
primăverii 	1	242
str-la 	1	242
coșbuc 	1	240
ion creangă 	2	237
mircea 	1	237
titulescu 	1	234
vasile alecsandri 	2	233
andrei 	1	233
george coșbuc 	2	231
morii 	1	231
strada viilor 	2	227
calea bucurești 	2	224
mărășești 	1	224
sc.c 	1	223
i. 	1	221
strada florilor 	2	221
din 	1	219
farmacie 	1	218
strada republicii 	2	218
cloșca 	1	214
cafe 	1	211
nicolae titulescu 	2	210
strada primăverii 	2	209
auto 	1	209
doja 	1	209
kogălniceanu 	1	209
griviței 	1	208
centrul 	1	208
pizza 	1	206
oficiul 	1	206
gheorghe doja 	2	204
strada gheorghe doja 	3	204
c. 	1	204
crișan 	1	203
strada petru 	2	203
național 	1	202
poștal 	1	202
acces 	1	201
mihail kogălniceanu 	2	200
teilor 	1	199
oituz 	1	198
strada vasile alecsandri 	3	198
club 	1	196
poliția 	1	194
păcii 	1	193
raiffeisen bank 	2	193
dumitru 	1	192
strada independenței 	2	191
iorga 	1	191
matei 	1	190
școlii 	1	189
strada morii 	2	189
cuza vodă 	2	187
strada ion creangă 	3	186
strada aurel 	2	186
lui 	1	185
zorilor 	1	185
nicolae iorga 	2	185
câmpului 	1	185
carol 	1	184
bulevardul republicii 	2	183
profesor 	1	182
domnului 	1	181
elena 	1	180
strada victoriei 	2	180
dacia 	1	180
ing 	1	179
strada oituz 	2	178
oficiul poștal 	2	178
maior 	1	178
strada trandafirilor 	2	178
petre 	1	177
strada dimitrie 	2	176
strada decebal 	2	175
strada george coșbuc 	3	175
mol 	1	175
luca 	1	173
ioan cuza 	2	172
stadionului 	1	172
strada ioan 	2	171
caragiale 	1	171
strada mihai viteazul 	3	171
teoretic 	1	171
strada eroilor 	2	170
strada mihail kogălniceanu 	3	170
centură 	1	170
strada cloșca 	2	170
strada mărășești 	2	170
șoseaua de 	2	169
sfânta 	1	169
alexandru ioan 	2	169
alexandru ioan cuza 	3	169
cantemir 	1	168
liceul teoretic 	2	168
strada tineretului 	2	167
basarab 	1	167
brătianu 	1	167
strada câmpului 	2	167
sfinții 	1	166
lazăr 	1	166
barbu 	1	166
cec 	1	161
bar 	1	160
pictor 	1	160
radu 	1	160
podul 	1	160
casa de 	2	159
liliacului 	1	158
ana 	1	158
strada cuza vodă 	3	157
strada cuza 	2	157
universitatea 	1	157
strada crișan 	2	156
