улица 	1	593138
переулок 	1	68704
проспект 	1	20058
школа 	1	17895
детский 	1	17332
сад 	1	16853
детский сад 	2	16329
шоссе 	1	14553
проезд 	1	14415
ленина 	1	11766
советская 	1	9410
советская улица 	2	9133
центральная 	1	8862
улица ленина 	2	7990
сбербанк 	1	7642
центральная улица 	2	7334
садовая 	1	7322
набережная 	1	7207
садовая улица 	2	7137
мира 	1	6969
церковь 	1	6553
отделение 	1	6402
школьная 	1	6243
школьная улица 	2	6102
октябрьская 	1	6078
молодёжная 	1	5962
молодёжная улица 	2	5894
октябрьская улица 	2	5887
линия 	1	5745
ул. 	1	5701
гагарина 	1	5392
лесная 	1	5368
новая 	1	5357
площадь 	1	5316
победы 	1	5229
лесная улица 	2	5078
набережная улица 	2	5043
комсомольская 	1	5032
улица мира 	2	4978
комсомольская улица 	2	4849
аптека 	1	4742
лет 	1	4619
кирова 	1	4613
первомайская 	1	4471
новая улица 	2	4390
первомайская улица 	2	4367
поликлиника 	1	4177
пушкина 	1	4039
горького 	1	4024
зелёная 	1	3833
улица гагарина 	2	3830
дорога 	1	3808
центр 	1	3784
зелёная улица 	2	3714
полевая 	1	3674
карла 	1	3648
дом 	1	3643
калинина 	1	3641
связи 	1	3615
полевая улица 	2	3576
улица кирова 	2	3536
и 	1	3487
заречная 	1	3486
больница 	1	3473
заречная улица 	2	3410
автомагистраль 	1	3368
средняя 	1	3244
луговая 	1	3243
детская 	1	3226
луговая улица 	2	3189
маркса 	1	3183
северная 	1	3167
улица пушкина 	2	3099
карла маркса 	2	3028
отделение связи 	2	3026
банк 	1	3009
пролетарская 	1	2995
шевченко 	1	2962
пролетарская улица 	2	2943
северная улица 	2	2937
октября 	1	2882
улица калинина 	2	2863
железнодорожная 	1	2842
пионерская 	1	2792
чапаева 	1	2787
улица карла 	2	2770
пионерская улица 	2	2724
железнодорожная улица 	2	2717
солнечная 	1	2702
красноармейская 	1	2637
на 	1	2634
бульвар 	1	2615
строителей 	1	2598
красноармейская улица 	2	2598
библиотека 	1	2588
храм 	1	2557
южная 	1	2551
солнечная улица 	2	2539
заводская 	1	2464
восточная 	1	2403
заводская улица 	2	2387
юбилейная 	1	2379
южная улица 	2	2378
дзержинского 	1	2330
лукойл 	1	2327
городская 	1	2322
азс 	1	2318
улица карла маркса 	3	2302
юбилейная улица 	2	2301
восточная улица 	2	2257
улица горького 	2	2229
лет октября 	2	2225
красная 	1	2208
степная 	1	2174
московская 	1	2166
чкалова 	1	2161
администрация 	1	2133
степная улица 	2	2124
улица чапаева 	2	2093
фрунзе 	1	2070
улица победы 	2	2069
маяковского 	1	2064
московская улица 	2	2057
мичурина 	1	1987
средняя школа 	2	1977
колхозная 	1	1966
им. 	1	1951
к 	1	1949
гоголя 	1	1946
культуры 	1	1944
свердлова 	1	1944
парковая 	1	1943
колхозная улица 	2	1920
парковая улица 	2	1895
дружбы 	1	1886
свободы 	1	1883
тракт 	1	1880
дон 	1	1876
мая 	1	1867
лермонтова 	1	1861
рабочая 	1	1823
рынок 	1	1818
вокзальная 	1	1797
корпус 	1	1784
улица строителей 	2	1784
рабочая улица 	2	1783
большая 	1	1773
столовая 	1	1772
спортивная 	1	1747
марта 	1	1726
улица дзержинского 	2	1722
ивана 	1	1708
вокзальная улица 	2	1682
береговая 	1	1671
зимник 	1	1669
аллея 	1	1639
пункт 	1	1635
некрасова 	1	1634
островского 	1	1615
улица чкалова 	2	1612
береговая улица 	2	1610
района 	1	1602
часть 	1	1599
тупик 	1	1598
подъезд 	1	1595
речная 	1	1590
спортивная улица 	2	1589
пожарная 	1	1583
красная улица 	2	1577
озёрная 	1	1565
речная улица 	2	1565
космонавтов 	1	1563
чехова 	1	1547
толстого 	1	1540
озёрная улица 	2	1535
в 	1	1531
россии 	1	1522
шевченко улица 	2	1507
