phrase	length	count
mawatha 	1	2039
sri 	1	575
school 	1	434
temple 	1	432
vidyalaya 	1	422
kovil 	1	397
maha 	1	389
house 	1	372
viharaya 	1	353
college 	1	341
station 	1	274
hospital 	1	261
church 	1	256
office 	1	241
post 	1	195
post office 	2	185
maha vidyalaya 	2	172
building 	1	143
st. 	1	140
police 	1	136
maha viharaya 	2	129
raja 	1	120
bus 	1	108
primary 	1	102
police station 	2	101
boc 	1	94
market 	1	93
mosque 	1	92
raja maha 	2	91
raja maha viharaya 	3	89
lanka 	1	83
primary school 	2	79
national 	1	77
hnb 	1	76
filling 	1	75
sub 	1	74
filling station 	2	73
sub post office 	3	70
sub post 	2	70
shop 	1	67
restaurant 	1	67
public 	1	66
national school 	2	63
vidyalayam 	1	61
road 	1	59
perera 	1	59
dharmapala 	1	58
library 	1	57
b 	1	57
base 	1	56
ceypetco 	1	56
purana 	1	56
stand 	1	56
st 	1	55
uyana 	1	55
hall 	1	55
base hospital 	2	55
center 	1	55
al 	1	54
sammanthurai 	1	53
nsb 	1	53
bus stand 	2	53
de 	1	52
balika 	1	52
jumma 	1	49
amman 	1	48
pharmacy 	1	48
samagi 	1	47
rajamaha 	1	46
pillayar 	1	46
pillayar kovil 	2	45
para 	1	44
girls 	1	44
dharmapala mawatha 	2	44
ioc 	1	44
rajamaha viharaya 	2	42
hindu 	1	42
jayanthi 	1	42
hotel 	1	41
senanayake 	1	40
ananda 	1	40
jaya 	1	40
vidyalam 	1	40
veethy 	1	39
samagi mawatha 	2	38
masjid 	1	37
jaya mawatha 	2	37
depot 	1	37
vihara 	1	37
silva 	1	36
amman kovil 	2	36
pizza 	1	34
balika vidyalaya 	2	34
cafe 	1	34
public library 	2	34
bandaranayake 	1	34
muslim 	1	34
jayanthi mawatha 	2	34
perera mawatha 	2	34
hut 	1	33
s 	1	33
c 	1	33
mihindu 	1	32
new 	1	32
divisional 	1	32
pirivena 	1	31
silva mawatha 	2	31
buddhist 	1	31
purana viharaya 	2	31
city 	1	31
bauddhaloka 	1	30
maha vidyalayam 	2	30
n 	1	30
pedesa 	1	30
international 	1	29
factory 	1	29
vihara mawatha 	2	29
gampaha 	1	29
panadura-rathnapura 	1	29
kanishta 	1	29
jayawardenapura 	1	28
tamil 	1	28
fuel 	1	28
jumma mosque 	2	28
bauddhaloka mawatha 	2	27
complex 	1	27
peiris 	1	27
sri jayawardenapura 	2	27
pre school 	2	26
buddha 	1	26
gama 	1	26
bus station 	2	26
mihindu mawatha 	2	26
pre 	1	26
school building 	2	26
pillaiyar 	1	26
ladies 	1	26
statue 	1	25
junior 	1	25
sammanthurai national 	2	25
royal 	1	25
food 	1	25
council 	1	25
service 	1	25
kanishta vidyalaya 	2	25
sammanthurai national school 	3	25
sons 	1	25
fair 	1	25
sri jayawardenapura mawatha 	3	24
home 	1	24
cinema 	1	24
fuel station 	2	24
jayawardenapura mawatha 	2	24
convent 	1	24
pizza hut 	2	24
junior school 	2	24
peiris mawatha 	2	24
paradise 	1	23
senanayake mawatha 	2	23
r 	1	23
sir 	1	23
medical 	1	23
vidyala 	1	22
kfc 	1	22
d 	1	22
tea 	1	22
town 	1	22
colombo 	1	22
mary's 	1	22
bandaranaike 	1	22
bodhi 	1	22
perth 	1	21
de silva 	2	21
ward 	1	21
siri 	1	21
olcott 	1	21
ctb 	1	21
lanka filling station 	3	21
perth paradise 	2	21
st.mary's 	1	21
lanka filling 	2	21
olcott mawatha 	2	21
lanka ioc 	2	20
lin 	1	20
sammanthurai national school building 	4	20
ndb 	1	20
national school building 	3	20
veediya 	1	20
raja mawatha 	2	20
r. 	1	20
bar 	1	20
bandaranaike mawatha 	2	19
pradeshiya 	1	19
clinic 	1	19
o 	1	19
buddha statue 	2	19
rajasinghe 	1	19
stores 	1	19
international school 	2	19
quarters 	1	18
bus depot 	2	18
family 	1	18
ltd 	1	18
bandaranayake mawatha 	2	18
atm 	1	18
dr. 	1	18
anthony's 	1	18
gas 	1	18
collage 	1	18
de silva mawatha 	3	18
o c 	2	18
anagarika dharmapala 	2	17
rural 	1	17
anagarika dharmapala mawatha 	3	17
mahinda 	1	17
public market 	2	17
joseph's 	1	17
bakers 	1	17
h 	1	17
sumangala 	1	17
anagarika 	1	17
pvt 	1	17
maha vidyalam 	2	17
murugan 	1	17
hindu college 	2	17
technical 	1	17
grocery 	1	17
jumma masjid 	2	17
vidyala mawatha 	2	17
district 	1	17
kumaratunga 	1	16
murugan kovil 	2	16
bodhiraja 	1	16
technical college 	2	16
pillaiyar kovil 	2	16
watta 	1	16
srimath 	1	16
zahira 	1	16
jaffna 	1	16
b o c 	3	16
st. joseph's 	2	16
b o 	2	16
municipal 	1	16
mel 	1	16
rajasinghe mawatha 	2	16
fernando 	1	16
de mel 	2	16
store 	1	16
mel mawatha 	2	15
thakshila 	1	15
secretariat 	1	15
divisional hospital 	2	15
badulla 	1	15
garage 	1	15
kumaratunga mawatha 	2	15
vairavar 	1	15
eliya 	1	15
suhada 	1	15
methodist 	1	15
gas station 	2	15
ii 	1	15
grand 	1	15
parking 	1	15
devalaya 	1	15
de mel mawatha 	3	15
buddhist temple 	2	14
tea factory 	2	14
sangaraja 	1	14
high 	1	14
parakum 	1	14
town hall 	2	14
sivan 	1	14
vairavar kovil 	2	14
suhada mawatha 	2	14
masjidul 	1	14
isuru 	1	14
negombo 	1	14
gamini 	1	14
rkm 	1	14
municipal council 	2	14
st. mary's 	2	14
boys 	1	14
crose 	1	14
mv 	1	14
sampath 	1	14
weera 	1	14
rahula 	1	14
asiri 	1	14
rural hospital 	2	14
theatre 	1	13
girls school 	2	13
gunasekara 	1	13
aingarika dharmapala 	2	13
t 	1	13
sri maha 	2	13
robert 	1	13
medical center 	2	13
sri lanka 	2	13
a 	1	13
divisional secretariat 	2	13
sangaraja mawatha 	2	13
district hospital 	2	13
hsbc 	1	13
fernando mawatha 	2	13
d. 	1	13
