phrase	length	count
ulica 	1	8251
cesta 	1	5157
na 	1	1019
pot 	1	864
pri 	1	749
trg 	1	532
vas 	1	490
pod 	1	434
ob 	1	425
sv. 	1	396
bar 	1	367
dom 	1	346
v 	1	345
gostilna 	1	333
petrol 	1	316
sveti 	1	296
cerkev 	1	286
šola 	1	281
cesta na 	2	276
vrh 	1	276
ljubljanska 	1	267
ljubljana-maribor 	1	244
pgd 	1	210
maribor-ljubljana 	1	206
vrtec 	1	201
osnovna 	1	201
osnovna šola 	2	199
obvoznica 	1	190
za 	1	190
pošta 	1	184
naselje 	1	171
sovče 	1	169
spodnja 	1	164
in 	1	161
zgornja 	1	161
spodnje 	1	160
nad 	1	160
ljubljanska cesta 	2	160
ljubljana-koper 	1	157
tržaška 	1	152
partizanska 	1	150
na pohorju 	2	149
pohorju 	1	149
oš 	1	149
koper-ljubljana 	1	142
pokopališče 	1	142
zgornje 	1	139
viadukt 	1	135
dol 	1	133
pot na 	2	132
cesta v 	2	130
tržaška cesta 	2	128
prešernova 	1	127
polje 	1	126
stara 	1	126
omv 	1	122
slivnica 	1	118
cerkev sv. 	2	118
kidričeva 	1	115
lekarna 	1	115
kolodvorska 	1	111
mariborska 	1	111
zgornji 	1	110
spodnji 	1	109
gradiška 	1	106
ljubljana 	1	104
karavanke-ljubljana 	1	104
log 	1	102
nova 	1	102
mariborska cesta 	2	98
ljubljana-karavanke 	1	98
partizanska cesta 	2	98
gameljne 	1	98
dolina 	1	98
draženci 	1	98
bratov 	1	97
gora 	1	96
okrepčevalnica 	1	96
center 	1	95
kot 	1	93
prešernova ulica 	2	93
ptujska 	1	90
maja 	1	90
cankarjeva 	1	89
zdravstveni 	1	88
postaja 	1	88
zdravstveni dom 	2	87
rožna 	1	85
k 	1	83
svetega 	1	83
bistrica 	1	82
pirniče 	1	82
ulica bratov 	2	82
vežica 	1	80
selo 	1	79
breg 	1	78
ptujska cesta 	2	75
maribor 	1	74
gregorčičeva 	1	73
koroška 	1	73
cankarjeva ulica 	2	73
pizzeria 	1	72
mala 	1	71
rošpoh 	1	71
gorice 	1	71
banka 	1	71
južna 	1	70
talcev 	1	69
gregorčičeva ulica 	2	69
gasilski 	1	68
gasilski dom 	2	67
restavracija 	1	67
dunajska 	1	67
kajuhova 	1	67
heroja 	1	66
hiša 	1	66
šolska 	1	66
kidričeva ulica 	2	66
moste 	1	65
