phrase	length	count
via 	1	83
w. 	1	61
byadhabo 	1	29
w. byadhabo 	2	29
school 	1	17
fuel-station 	1	15
masjid 	1	15
restaurant 	1	14
shiikh 	1	13
cali 	1	13
xasan 	1	11
hospital 	1	11
masaajid 	1	9
police 	1	9
jidka 	1	8
university 	1	8
national 	1	7
afgooye 	1	7
w. afgooye 	2	7
guriga 	1	7
station 	1	7
w. marka 	2	6
shekh 	1	6
market 	1	6
via shekh 	2	6
office 	1	6
waddada 	1	6
gollis 	1	6
waaberi 	1	6
gollis university 	2	6
w. waaberi 	2	6
marka 	1	6
road 	1	5
airport 	1	5
ebigabo 	1	5
gesire 	1	5
house 	1	5
via gesire 	2	5
moxamed 	1	5
shiraaqle 	1	5
airport road 	2	5
cadde 	1	5
via ebigabo 	2	5
ugaas 	1	5
