phrase	length	count
rruga 	1	2563
e 	1	958
rruga e 	2	356
i 	1	204
bar 	1	191
bulevardi 	1	131
kafe 	1	116
shkolla 	1	105
bar kafe 	2	99
mehmet 	1	76
autostrada 	1	67
bank 	1	67
sheshi 	1	57
pashë 	1	50
plaku 	1	46
autostrada tiranë-elbasan 	2	46
tiranë-elbasan 	1	46
ali 	1	44
unaza 	1	43
kisha 	1	43
pashë plaku 	2	41
bulevardi mehmet pashë 	3	41
bulevardi mehmet 	2	41
mehmet pashë 	2	41
bulevardi mehmet pashë plaku 	4	41
mehmet pashë plaku 	3	41
hoxha 	1	35
hotel 	1	33
lavazh 	1	33
qemal 	1	32
universiteti 	1	32
restorant 	1	31
elbasanit 	1	29
tirana 	1	29
ura 	1	29
ismail 	1	29
qafa 	1	28
rruga qafa 	2	28
qafa e 	2	28
xhamia 	1	28
rruga qafa e 	3	28
hasan 	1	27
rruga qemal 	2	27
ura e 	2	26
frashëri 	1	26
kisha e 	2	26
ibrahim 	1	26
zogu 	1	26
isuf 	1	25
demokracia 	1	25
zef 	1	25
shën 	1	25
zogu i 	2	25
restaurant 	1	25
at 	1	24
e re 	2	24
farmaci 	1	24
re 	1	24
gjergj 	1	24
rruga e elbasanit 	3	23
e elbasanit 	2	23
hysen 	1	23
bajram 	1	22
shkolla e 	2	22
abdulla 	1	22
bulevardi zogu i 	3	22
rruga at 	2	22
bulevardi zogu 	2	22
dëshmorët 	1	20
peqin 	1	20
cafe 	1	20
elbasan 	1	20
kavajës 	1	20
nr. 	1	20
adem 	1	20
posta 	1	19
skënderbeu 	1	19
curri 	1	19
ë 	1	19
mustafa 	1	19
sokoli 	1	19
gjon 	1	19
unazës 	1	19
rruga e unazës 	3	19
fishta 	1	19
e unazës 	2	19
dr. 	1	19
kazazi 	1	18
mihal 	1	18
fakulteti 	1	18
xhamia e 	2	18
kongresi 	1	18
unaza ë 	2	18
rruga ibrahim 	2	18
bajram curri 	2	18
unaza ë rë 	3	18
tiranë 	1	18
studenti 	1	18
rruga dr. 	2	18
rë 	1	18
fakulteti i 	2	18
kongresi i 	2	18
ë rë 	2	18
formula e 	2	17
rruga ali 	2	17
ahmet 	1	17
rruga ismail 	2	17
rruga qafa e bishtkazit 	4	17
e pagëzimit 	2	17
durrësit 	1	17
formula 	1	17
te 	1	17
nëntori 	1	17
qafa e bishtkazit 	3	17
e bishtkazit 	2	17
pagëzimit 	1	17
formula e pagëzimit 	3	17
rruga hysen 	2	17
bishtkazit 	1	17
vila 	1	17
rruga isuf 	2	17
shkolla e mesme 	3	16
maqedonisë 	1	16
kadri 	1	16
durrës 	1	16
e mesme 	2	16
mesme 	1	16
bashkia 	1	16
sheshi demokracia 	2	16
oil 	1	16
qendra 	1	16
bushati 	1	16
rruga hasan 	2	16
kodra 	1	15
riza 	1	15
gjovalin gjadri 	2	15
shehu 	1	15
gjergj fishta 	2	15
sulejman 	1	15
gjovalin 	1	15
andon 	1	15
shen 	1	15
vasil 	1	15
gjadri 	1	15
universiteti i 	2	15
e shën 	2	15
hamit 	1	15
dhe 	1	15
e maqedonisë 	2	15
rruga qemal draçini 	3	14
e shegave 	2	14
shegave 	1	14
jani 	1	14
rruga e shegave 	3	14
gjimnazi 	1	14
kol 	1	14
rruga ethem 	2	14
posta e 	2	14
abdyl 	1	14
rruga studenti 	2	14
rruga kole 	2	14
sul 	1	14
krashnica 	1	14
qemal draçini 	2	14
stacioni 	1	14
posta e maqedonisë 	3	14
abdulla krashnica 	2	14
dëshmorët e 	2	14
rruga shtate 	2	14
ethem 	1	14
poliçan-mbrakull 	1	14
spitali 	1	14
shtate 	1	14
martin 	1	14
rruga mehmet 	2	14
draçini 	1	14
shaljanet 	1	14
nikgjonaj 	1	14
e durrësit 	2	14
agron 	1	14
rruga nikgjonaj 	2	14
rruga shtate shaljanet 	3	14
varrezat 	1	14
qazim 	1	14
nentori 	1	14
thoma 	1	14
selim 	1	14
gega 	1	14
shtate shaljanet 	2	14
kole 	1	14
egnatia 	1	13
muhamet 	1	13
koço 	1	13
rruga agron 	2	13
peshkopi 	1	13
rruga pazarit 	2	13
rruga adem 	2	13
shëtitorja 	1	13
e kavajës 	2	13
center 	1	13
camaj 	1	13
rruga martin 	2	13
rruga sulejman 	2	13
pallati 	1	13
pazarit 	1	13
martin camaj 	2	13
rruga martin camaj 	3	13
rruga e kavajës 	3	13
rilindja 	1	13
stafa 	1	13
rruga kol 	2	13
pasha 	1	13
poligoni 	1	13
autostrada tiranë 	2	13
musa 	1	13
arben 	1	13
varrezat e 	2	13
gostime 	1	12
gostime gjyrale 	2	12
rruga hoxha 	2	12
marin 	1	12
rruga zef 	2	12
bulevardi bajram curri 	3	12
rruga gjon 	2	12
tiranës 	1	12
rruga nr. 	2	12
pogej 	1	12
rruga selim 	2	12
bulevardi skënderbeu 	2	12
raiffeisen 	1	12
qemal stafa 	2	12
gjyrale 	1	12
kastrati 	1	12
gurakuqi 	1	12
parking 	1	12
coffe 	1	12
bulevardi bajram 	2	12
bar coffe 	2	12
rruga gostime gjyrale 	3	12
rruga pogej 	2	12
haxhi 	1	12
rruga gostime 	2	12
dibrës 	1	11
sotir 	1	11
shetitorja 	1	11
rruga ing. gjovalin gjadri 	4	11
dervish 	1	11
mbreti 	1	11
buzuku 	1	11
gjon buzuku 	2	11
rruga ethem kazazi 	3	11
pjetër 	1	11
ing. 	1	11
idromeno 	1	11
rruga ing. gjovalin 	3	11
noli 	1	11
rruga ing. 	2	11
tasim 	1	11
petrela 	1	11
rruga e durrësit 	3	11
hoxha tasim 	2	11
of 	1	11
ing. gjovalin 	2	11
park 	1	11
rruga mustafa 	2	11
kisha e shën 	3	11
marku 	1	11
ethem kazazi 	2	11
ing. gjovalin gjadri 	3	11
rruga hoxha tasim 	3	11
bujar 	1	11
astrit 	1	10
rruga fier-tiranë 	2	10
kuvendi 	1	10
xoxa 	1	10
aliu 	1	10
bar restaurant 	2	10
qemali 	1	10
dardania 	1	10
detit 	1	10
demi 	1	10
bekteshi 	1	10
arben broci 	2	10
karl 	1	10
rugova 	1	10
rruga qemal stafa 	3	10
naim 	1	10
transbalkanika 	1	10
byrekë 	1	10
sali 	1	10
levizja 	1	10
shqiptare 	1	10
godina 	1	10
rruga transbalkanika 	2	10
rruga sulejman delvina 	3	10
ismail qemali 	2	10
nikolla 	1	10
rinia 	1	10
zogajve 	1	10
broci 	1	10
rruga e zogajve 	3	10
rruga kol idromeno 	3	10
delvina 	1	10
kukes 	1	10
jashari 	1	10
kol idromeno 	2	10
muharrem 	1	10
raiffeisen bank 	2	10
fier-tiranë 	1	10
pal 	1	10
ibrahim rugova 	2	10
luigj 	1	10
rruga kadri 	2	10
sulejman delvina 	2	10
faik 	1	10
stacioni i 	2	10
anton 	1	10
e zogajve 	2	10
pashe 	1	9
kombit 	1	9
e kombit 	2	9
shirokes 	1	9
tirana bank 	2	9
rruga e semanit 	3	9
bashkia e 	2	9
levizja e 	2	9
sul starovari 	2	9
gjuhadol 	1	9
rruga arben 	2	9
sami 	1	9
kurti 	1	9
qazimi 	1	9
rruga ibrahim rugova 	3	9
starovari 	1	9
levizja e postribes 	3	9
gjin 	1	9
lidhja 	1	9
vjetër 	1	9
semanit 	1	9
vore 	1	9
rruga e shirokes 	3	9
podgorica 	1	9
hamit dollani 	2	9
ridvan 	1	9
dollani 	1	9
fan 	1	9
rruga levizja 	2	9
postribes 	1	9
ridvan qazimi 	2	9
bashkimi 	1	9
e shirokes 	2	9
rruga musa 	2	9
xhorxh 	1	9
unaza nuredin 	2	9
vaso 	1	9
rruga levizja e postribes 	4	9
frasheri 	1	9
rruga levizja e 	3	9
rruga gjuhadol 	2	9
e postribes 	2	9
bar restorant 	2	9
nuredin 	1	9
jakov 	1	9
school 	1	9
kodra e 	2	9
unaza nuredin aliu 	3	9
lezhe 	1	9
zenel 	1	9
nuredin aliu 	2	9
e semanit 	2	9
vangjel 	1	9
haki 	1	8
gjykata 	1	8
bulevardi bujar 	2	8
syri i 	2	8
pjeter 	1	8
ali pashe 	2	8
engjelli 	1	8
rruga arben broci 	3	8
dhimiter 	1	8
w. 	1	8
bush 	1	8
rruga e re 	3	8
arkitekt 	1	8
cerrik-elbasan 	1	8
shkëmbi i 	2	8
shkodra 	1	8
bishanaku 	1	8
trenit 	1	8
bujar bishanaku 	2	8
shkëmbi 	1	8
fan noli 	2	8
ramiz 	1	8
kristaq 	1	8
xhemal 	1	8
republika 	1	8
isuf sokoli 	2	8
korçës 	1	8
teatri 	1	8
club 	1	8
road 	1	8
filip 	1	8
zef jubani 	2	8
kraja 	1	8
rruga kongresi 	2	8
rruga tepe 	2	8
elda 	1	8
hasan podgorica 	2	8
bogdani 	1	8
mujo 	1	8
rruga hasan podgorica 	3	8
heqimi 	1	8
union 	1	8
kosova 	1	8
justin 	1	8
petro 	1	8
gani 	1	8
diellit 	1	8
hekali 	1	8
tepe 	1	8
jubani 	1	8
airport 	1	8
adem jashari 	2	8
rruga kole heqimi 	3	8
pizza 	1	8
w. bush 	2	8
liqeni 	1	8
ii 	1	8
dentare 	1	8
piceri 	1	8
rruga vasil 	2	8
bulevardi bujar bishanaku 	3	8
rruga kongresi i 	3	8
ymer 	1	8
e dibrës 	2	8
rruga isuf sokoli 	3	8
kole heqimi 	2	8
enver 	1	8
banka 	1	8
rruga mihal 	2	8
syri 	1	8
