phrase	length	count
пут 	1	721
e 	1	636
булевар 	1	617
bt 	1	372
петра 	1	369
војводе 	1	352
rruga 	1	347
трг 	1	307
николе 	1	298
i 	1	291
краља 	1	273
јована 	1	272
ош 	1	271
милоша 	1	259
браће 	1	247
школа 	1	242
магистрала 	1	228
црква 	1	224
саве 	1	219
стевана 	1	218
ибарска 	1	218
бранка 	1	211
цара 	1	203
ибарска магистрала 	2	200
милана 	1	198
вука 	1	193
светог 	1	191
др 	1	188
јовановића 	1	187
душана 	1	183
караџића 	1	180
ђуре 	1	178
вука караџића 	2	176
светозара 	1	172
кнеза 	1	171
рибара 	1	163
карађорђева 	1	163
иве 	1	157
поповића 	1	153
бригада 	1	149
нова 	1	148
и 	1	147
марковића 	1	146
димитрија 	1	143
тесле 	1	142
ивана 	1	142
александра 	1	141
николе тесле 	2	139
змај 	1	137
за 	1	136
лоле 	1	135
петровића 	1	133
petrol 	1	132
лоле рибара 	2	132
put 	1	131
војвођанска 	1	130
марка 	1	128
дом 	1	128
владимира 	1	127
краља петра 	2	126
жарка 	1	125
plužine 	1	122
лазара 	1	120
милутина 	1	120
utca 	1	120
обилазница 	1	119
радничка 	1	118
мишића 	1	117
ђорђа 	1	116
shkolla 	1	114
маршала 	1	113
васе 	1	111
змај јовина 	2	110
јовина 	1	110
jadranska 	1	110
ослобођења 	1	110
ulica 	1	110
jadranska magistrala 	2	109
magistrala 	1	109
restaurant 	1	108
железничка 	1	107
ковачевића 	1	105
радичевића 	1	104
бранка радичевића 	2	104
јанка 	1	104
зрењанина 	1	103
вртић 	1	103
београдска 	1	102
polje 	1	102
октобра 	1	102
жарка зрењанина 	2	102
bar 	1	100
михајла 	1	100
вељка 	1	99
михаила 	1	98
венац 	1	98
његошева 	1	98
партизанска 	1	97
rruga e 	2	96
станица 	1	96
стефана 	1	94
јула 	1	93
тита 	1	92
šćepan 	1	92
šćepan polje 	2	92
bank 	1	91
маршала тита 	2	91
дунавска 	1	91
лазе 	1	90
иве лоле 	2	89
иве лоле рибара 	3	89
војводе мишића 	2	89
цара душана 	2	89
bulevar 	1	88
пошта 	1	88
банка 	1	87
косовска 	1	87
светозара марковића 	2	86
степе 	1	86
јакшића 	1	86
маја 	1	84
првомајска 	1	83
пијаца 	1	83
туцовића 	1	82
основна 	1	82
хајдук 	1	81
banka 	1	81
илића 	1	81
илије 	1	79
бригаде 	1	79
саве ковачевића 	2	79
основна школа 	2	79
улица 	1	79
боре 	1	78
ресторан 	1	78
димитрија туцовића 	2	77
немањина 	1	77
rr. 	1	77
здравља 	1	77
омладинска 	1	76
зорана 	1	76
косте 	1	76
јурија гагарина 	2	76
