phrase	length	count
кӯчаи 	1	275
кучаи 	1	145
куч. 	1	65
хиёбони 	1	55
road 	1	46
roshtqala 	1	45
roshtqala road 	2	41
мактаби 	1	41
rd 	1	39
школа 	1	39
алишер 	1	38
улица 	1	35
valley 	1	34
valley rd 	2	33
навоӣ 	1	31
алишер навоӣ 	2	31
bartang valley 	2	31
кӯчаи алишер 	2	31
bartang 	1	31
кӯчаи алишер навоӣ 	3	31
к.ҳисор 	1	31
bartang valley rd 	3	30
неъмат 	1	30
бинои 	1	30
шерозӣ 	1	28
н.қарабоев 	1	26
кучаи н.қарабоев 	2	26
максум 	1	24
ул. 	1	23
айни 	1	22
фирдавси 	1	22
нусратулло максум 	2	21
нусратулло 	1	21
беморхонаи 	1	20
кӯчаи нусратулло 	2	20
кӯчаи нусратулло максум 	3	20
кучаи айни 	2	19
кв. 	1	19
бофанда 	1	19
кв. бофанда 	2	19
ба 	1	18
номи 	1	18
кӯчаи хувайдуллаев 	2	17
карабоев 	1	17
ул.вахдат 	1	17
ба номи 	2	17
хувайдуллаев 	1	17
неъмат карабоев 	2	16
кучаи неъмат карабоев 	3	16
нфс 	1	16
маркази 	1	16
кучаи неъмат 	2	16
к.а.навои 	1	15
school 	1	15
богчаи 	1	14
ул.дж.румй 	1	14
қаробоев 	1	13
хиёбони ҳофизи 	2	13
средняя школа 	2	13
кафе 	1	13
ҳофизи шерозӣ 	2	13
неъмат қаробоев 	2	13
ҳофизи 	1	13
хиёбони ҳофизи шерозӣ 	3	13
средняя 	1	13
точикистон 	1	12
ошхонаи 	1	12
к 	1	11
федина 	1	11
карамов 	1	11
кӯчаи неъмат 	2	11
хонаи 	1	11
проезд 	1	11
кӯчаи карамов 	2	11
т. 	1	10
хиёбони ҷомӣ 	2	10
кӯчаи неъмат қаробоев 	3	10
ҷаббор расулов 	2	10
к фирдавси 	2	10
тракт 	1	10
исмоили сомонӣ 	2	10
ул.бахор 	1	10
к.б.ғафуров 	1	10
сомонӣ 	1	10
к.айни 	1	10
расулов 	1	10
ҷаббор 	1	10
исмоили 	1	10
ҷомӣ 	1	10
памирский 	1	10
памирский тракт 	2	10
и 	1	9
вахдат 	1	9
абдулаҳад қаҳҳоров 	2	9
кӯчаи абдулаҳад қаҳҳоров 	3	9
азс 	1	9
кӯчаи ҷаббор 	2	9
улица вахдат 	2	9
бинокорон 	1	9
ошхона 	1	9
қаҳҳоров 	1	9
боғчаи 	1	9
кучаи бинокорон 	2	9
кӯчаи ҷаббор расулов 	3	9
абдулаҳад 	1	9
дом 	1	9
street 	1	9
department 	1	9
хатлон 	1	9
кӯчаи абдулаҳад 	2	9
куч. т. 	2	9
давлатии 	1	8
маяковский 	1	8
к.клагенфурт 	1	8
саъдии шерозӣ 	2	8
асири 	1	8
anzobpass 	1	8
автомойка 	1	8
хиёбони саъдии 	2	8
куч. т. асири 	3	8
кӯчаи федина 	2	8
саъдии 	1	8
closed 	1	8
old 	1	8
борбад 	1	8
хиёбони саъдии шерозӣ 	3	8
хиёбони исмоили 	2	8
т. асири 	2	8
хакимов 	1	8
хиёбони исмоили сомонӣ 	3	8
вилояти 	1	8
донишгохи 	1	8
а. 	1	7
больница 	1	7
им. 	1	7
умари 	1	7
умари хайём 	2	7
кӯчаи темурмалик 	2	7
алишер навои 	2	7
поликлиника 	1	7
проезд ул. 	2	7
ва 	1	7
кӯчаи умари 	2	7
навои 	1	7
кӯчаи шерозӣ 	2	7
ул. гастелло 	2	7
проезд ул. гастелло 	3	7
гастелло 	1	7
кӯчаи умари хайём 	3	7
кучаи фирдавси 	2	7
ддтт 	1	7
темурмалик 	1	7
хайём 	1	7
ленина 	1	6
rudaki 	1	6
кӯчаи низомии ганҷавӣ 	3	6
боло 	1	6
ford 	1	6
хиёбони ваҳдат 	2	6
набиев 	1	6
ул. ленина 	2	6
кӯчаи низомии 	2	6
str. 	1	6
to 	1	6
кинотеатр 	1	6
айнӣ 	1	6
ганҷавӣ 	1	6
office 	1	6
низомии ганҷавӣ 	2	6
кудакон 	1	6
ваҳдат 	1	6
н.гончи 	1	6
низомии 	1	6
банк 	1	6
х. 	1	6
касбии 	1	6
хонаи хакимов 	2	6
эсхата 	1	6
абдуллоев 	1	5
кохи 	1	5
бозори 	1	5
дехи боло 	2	5
кӯчаи айнӣ 	2	5
литсейи 	1	5
масҷиди 	1	5
оби 	1	5
сад 	1	5
к.тунис 	1	5
ханжин 	1	5
рудаки 	1	5
дехи 	1	5
кӯчаи маяковский 	2	5
мтму 	1	5
hospital 	1	5
детский сад 	2	5
фароз 	1	5
of 	1	5
center 	1	5
детский 	1	5
тарабхонаи 	1	5
садик 	1	5
тиббии 	1	5
стоянка 	1	5
н. 	1	5
station 	1	5
bank 	1	5
кучаи ханжин 	2	5
