phrase	length	count
köçesi 	1	769
kocesi 	1	168
road 	1	150
to 	1	148
şaýoly 	1	145
exit 	1	131
frontage 	1	117
frontage road 	2	117
exit to 	2	117
sayoly 	1	82
bitarap 	1	72
eje 	1	64
andalyb 	1	59
gurban 	1	55
soltan 	1	54
soltan eje 	2	53
gurban soltan eje 	3	52
atamyrat 	1	52
gurban soltan 	2	52
geçelgesi 	1	51
abadancylyk 	1	50
ramp 	1	50
oguzhan 	1	49
on 	1	47
on ramp 	2	46
arcabil 	1	43
nurmuhammet 	1	42
nyýazow 	1	40
koçesi 	1	37
nurmuhammet andalyb 	2	37
magtymguly 	1	35
nurmuhamed 	1	33
türkmenbaşy 	1	33
saparmurat 	1	32
atamyrat nyýazow 	2	32
traffic circle 	2	31
watan 	1	31
traffic 	1	31
circle 	1	31
mekdep 	1	31
of 	1	29
watan koçesi 	2	28
street 	1	27
bitarap frontage 	2	26
bitarap frontage road 	3	26
arçabil 	1	25
kuliyew 	1	25
baba 	1	24
bekrewe 	1	24
gagarin 	1	24
beýik saparmurat türkmenbaşy 	3	23
beýik saparmurat 	2	23
saparmurat türkmenbaşy 	2	23
beýik 	1	23
görögly 	1	23
exit to frontage road 	4	21
exit to frontage 	3	21
embassy 	1	21
to frontage 	2	21
abadancylyk frontage road 	3	21
to frontage road 	3	21
cafe 	1	21
abadancylyk frontage 	2	21
yyl abadancylyk 	2	20
hotel 	1	20
yyl 	1	20
respublikanskaýa 	1	20
andalib 	1	19
respublikanskaya 	1	19
gorogly 	1	19
aşgabat 	1	18
to arcabil 	2	18
yoly 	1	18
atamyrat nyyazow 	2	18
gagarin köçesi 	2	18
parking 	1	18
nyyazow 	1	18
nurmuhamed andalyb 	2	18
bazar 	1	17
candybil 	1	17
kemine 	1	16
ramp to 	2	16
annanow 	1	16
bitarap türkmenistan 	2	16
altyn 	1	16
turkmenistan 	1	16
türkmenistan 	1	16
hoja 	1	16
embassy of 	2	16
east 	1	15
mollanepes 	1	15
ул. 	1	15
bagy 	1	15
on ramp to 	3	15
turkmenbasy 	1	15
baba annanow 	2	15
restaurant 	1	15
nurmuhamed andalib 	2	15
kuliýew 	1	15
driveway 	1	15
to gurban 	2	14
gokdepe yoly 	2	14
caution 	1	14
gokdepe 	1	14
ataturk 	1	14
turkmen 	1	14
garassyzlyk 	1	14
школа 	1	14
to gurban soltan 	3	14
center 	1	14
bitarap turkmenistan 	2	14
to gurban soltan eje 	4	14
merkezi 	1	14
west 	1	14
bank 	1	14
kafe 	1	13
galkynyş 	1	13
exit to gurban soltan eje 	5	13
çandybil 	1	13
to kuliyew 	2	13
bina 	1	13
abadançylyk 	1	13
south 	1	13
çandybil şaýoly 	2	13
ahmet 	1	13
ýyl 	1	13
exit to gurban soltan 	4	13
azatlyk 	1	13
ýyl abadançylyk 	2	13
exit to gurban 	3	13
ýoly 	1	13
aşgabat köçesi 	2	13
on ramp to arcabil 	4	13
ramp to arcabil 	3	13
hoja ahmet 	2	13
north 	1	12
no 	1	12
lot 	1	12
ýasawy 	1	12
hoja ahmet ýasawy 	3	12
parking lot 	2	12
ahmet ýasawy 	2	12
exit to kuliyew 	3	12
saýoly 	1	12
çagalar 	1	11
garaşsyzlyk 	1	11
candybil frontage 	2	11
candybil frontage road 	3	11
car 	1	11
çagalar bagy 	2	11
bitarap on ramp 	3	11
abadancylyk on 	2	11
abadancylyk on ramp 	3	11
yyl abadancylyk on ramp 	4	11
bitarap on 	2	11
mausoleum 	1	11
yyl abadancylyk on 	3	11
gurbansoltan eje 	2	10
gurbansoltan 	1	10
alty 	1	10
bagtyýarlyk 	1	10
bazary 	1	10
school 	1	10
beyik saparmurat 	2	9
to abadancylyk 	2	9
shagadam street 	2	9
house 	1	9
and 	1	9
emre 	1	9
beyik saparmurat turkmenbasy 	3	9
beyik 	1	9
gas station 	2	9
institute 	1	9
binasy 	1	9
exit to abadancylyk 	3	9
ankara 	1	9
s. 	1	9
saparmurat turkmenbasy 	2	9
gas 	1	9
shagadam 	1	9
station 	1	9
azadi 	1	8
mollanepes köçesi 	2	8
geçelge 	1	8
gündogar 	1	8
eje köçesi 	2	8
saglyk 	1	8
galkynyş köçesi 	2	8
hotel driveway 	2	8
magtymguly köçesi 	2	8
atabayew 	1	8
mekdebi 	1	8
gökdepe 	1	8
pothole 	1	8
bitaraplyk 	1	8
orta 	1	8
lebap 	1	8
şayoly 	1	8
gurbansoltan eje köçesi 	3	8
teliýa 	1	8
to choganly 	2	7
