phrase	length	count
ย	1	43
อ	1	30
ซอย	3	24
ซ	1	24
ซอ	2	24
อย	2	24
า	1	22
ร	1	21
ิ	1	20
ต	1	19
พ	1	15
พร	2	15
ิต	2	13
์	1	12
แยก	3	10
แย	2	10
ก	1	10
ยก	2	10
แ	1	10
้	1	8
ยลาด	4	8
าด	2	8
้าว	3	8
อยลาด	5	8
ลาด	3	8
ดพร้	4	8
อยล	3	8
ล	1	8
ดพร	3	8
ลาดพร	5	8
ดพ	2	8
ร้า	3	8
ว	1	8
ดพร้า	5	8
ด	1	8
ลาดพ	4	8
อยลา	4	8
ยลา	3	8
าว	2	8
ซอยลา	5	8
ยลาดพ	5	8
ร้	2	8
าดพร	4	8
พร้า	4	8
้า	2	8
ร้าว	4	8
พร้	3	8
าดพร้	5	8
ซอยล	4	8
พร้าว	5	8
าดพ	3	8
ยล	2	8
ลา	2	8
ยฐิติ	5	7
ิติ	3	7
ิพ	2	7
ซอยฐ	4	7
ฐิติ	4	7
ิติพร	5	7
ติพร	4	7
ติพ	3	7
อยฐ	3	7
ฐิ	2	7
ติ	2	7
ซอยฐิ	5	7
ฐ	1	7
ฐิต	3	7
อยฐิต	5	7
ิติพ	4	7
อยฐิ	4	7
ยฐ	2	7
ยฐิต	4	7
ฐิติพ	5	7
ิพร	3	7
ยฐิ	3	7
์อาร	4	6
จิต	3	6
รีย์	4	6
์อ	2	6
อยจิ	4	6
ารีย์	5	6
ยจิต	4	6
ซอยจ	4	6
ารี	3	6
จิตต์	5	6
์อารี	5	6
ีย	2	6
รี	2	6
ตต์	3	6
อยจิต	5	6
จ	1	6
อาร	3	6
ิตต์	4	6
ี	1	6
์อา	3	6
ตต	2	6
อา	2	6
ยจิตต	5	6
รีย	3	6
าร	2	6
ยจ	2	6
ีย์	3	6
จิตต	4	6
ารีย	4	6
จิ	2	6
อารีย	5	6
ิตต์อ	5	6
ต์อาร	5	6
ต์	2	6
ซอยจิ	5	6
อยจ	3	6
อารี	4	6
ิตต	3	6
ตต์อ	4	6
ย์	2	6
ยจิ	3	6
ตต์อา	5	6
ต์อ	3	6
ต์อา	4	6
ช	1	6
