phrase	length	count
hala 	1	161
gps 	1	33
tonga 	1	24
school 	1	20
high 	1	16
o 	1	16
e 	1	13
high school 	2	13
hall 	1	10
o e 	2	8
e taki lelei 	3	7
taki 	1	7
hala namoa 	2	7
namoa 	1	7
lelei 	1	7
o e taki lelei 	4	7
o e taki 	3	7
e taki 	2	7
taki lelei 	2	7
loto 	1	6
tupou 	1	6
hala loto 	2	6
fwc 	1	5
hala mateialona 	2	5
college 	1	5
sālote 	1	5
niuafo'ou 	1	5
he 	1	5
ngutungutu 	1	5
hala sālote 	2	5
mo'ui 	1	5
hala ngutungutu 	2	5
ki 	1	5
police 	1	5
cafe 	1	5
mateialona 	1	5
