phrase	length	count
sokak 	1	21069
yolu 	1	17899
sk 	1	11460
caddesi 	1	8445
sk. 	1	4300
cami 	1	2759
cd 	1	2040
otoyolu 	1	1590
bulvarı 	1	1486
sokağı 	1	1103
cad. 	1	1080
eczanesi 	1	1022
lisesi 	1	949
cd. 	1	929
anadolu 	1	879
camii 	1	856
sok. 	1	844
atatürk 	1	663
okulu 	1	652
cadde 	1	643
hastanesi 	1	627
sitesi 	1	615
ilkokulu 	1	535
ve 	1	520
mehmet 	1	516
ilköğretim 	1	514
adana-şanlıurfa otoyolu 	2	512
adana-şanlıurfa 	1	512
blv. 	1	510
ilköğretim okulu 	2	487
üniversitesi 	1	463
paşa 	1	456
şehit 	1	452
köyü 	1	450
ahmet 	1	448
ali 	1	444
merkezi 	1	440
ankara 	1	426
izmir 	1	402
ortaokulu 	1	378
yeni 	1	374
çevre 	1	361
bankası 	1	356
anadolu lisesi 	2	350
cafe 	1	329
fatih 	1	326
çıkmazı 	1	326
istanbul-samsun 	1	321
istanbul-samsun yolu 	2	321
çevre yolu 	2	319
mustafa 	1	317
sultan 	1	307
cumhuriyet 	1	305
hacı 	1	300
fakültesi 	1	293
gazi 	1	291
kemal 	1	290
devlet 	1	289
sok 	1	288
meslek 	1	283
restaurant 	1	275
atm 	1	266
barajı 	1	265
anadolu otoyolu 	2	264
atatürk caddesi 	2	253
petrol 	1	247
belediyesi 	1	242
devlet hastanesi 	2	240
samsun-ordu yolu 	2	235
samsun-ordu 	1	235
eski 	1	235
efendi 	1	234
sağlık 	1	232
özel 	1	231
istanbul 	1	231
hasan 	1	228
merkez 	1	224
taksi 	1	222
ankara-tarsus 	1	220
ankara-tarsus otoyolu 	2	220
inönü 	1	219
blok 	1	219
köyü yolu 	2	219
yol 	1	212
bey 	1	211
sanayi 	1	206
iş 	1	204
ceyhan-iskenderun otoyolu 	2	202
ceyhan-iskenderun 	1	202
park 	1	202
amasya-ercincan 	1	201
amasya-ercincan yolu 	2	201
adnan 	1	199
meslek lisesi 	2	199
metrobüs 	1	193
teknik 	1	191
osman 	1	189
blv 	1	187
ziraat 	1	187
eğitim 	1	185
dr. 	1	183
ptt 	1	183
nolu 	1	182
otopark 	1	179
yunus 	1	177
çevreyolu 	1	169
shell 	1	168
fevzi 	1	166
turgut 	1	164
imam 	1	164
sivas-erzincan yolu 	2	160
sivas-erzincan 	1	160
ibrahim 	1	160
emre 	1	159
çanakkale 	1	158
yapi 	1	158
bulvari 	1	154
müdürlüğü 	1	154
çeşme 	1	153
s. 	1	152
trabzon-gümüşhane yolu 	2	149
trabzon-gümüşhane 	1	149
şht. 	1	148
bar 	1	147
hatip 	1	146
bank 	1	145
izmir-uşak 	1	143
çakmak 	1	143
izmir-uşak yolu 	2	143
cumhuriyet caddesi 	2	142
kültür 	1	142
antalya-mersin yolu 	2	141
